start_year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1990,1.43224,1.50989,1.55788,1.59036,1.61674,1.64773,1.67778,1.70835,1.73861,1.76804,1.80277,1.83467,1.86712,1.90368,1.94625,1.99125,2.04087,2.09227,2.14688,2.20659,2.26487,2.32563,2.38984,2.45089,2.50639,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,1.43892,1.47439,1.49906,1.51258,1.52401,1.53931,1.55618,1.57362,1.58855,1.60327,1.62552,1.63844,1.65131,1.66553,1.67786,1.68833,1.6989,1.71045,1.72199,1.73211,1.7444,1.75632,1.76821,1.78085,1.79206,1.80474,1.81746,1.83229,1.84726,1.86354,1.8841,1.90318,1.92298,1.94346,1.96274,1.98515,2.00796,2.03134,2.05454,2.0786,2.10569,2.13204,2.15934,2.18846,2.22095,2.25793,2.30131,2.3432,2.38329,2.42871,2.47058
1955,1.43978,1.48603,1.50289,1.51669,1.53071,1.54513,1.55417,1.56598,1.57668,1.58487,1.59789,1.61012,1.62521,1.63796,1.65005,1.66108,1.67021,1.68055,1.68953,1.69827,1.70564,1.71435,1.72359,1.73126,1.73994,1.74789,1.75605,1.76209,1.77021,1.77903,1.78787,1.79638,1.80447,1.81381,1.82224,1.83352,1.84493,1.85668,1.86828,1.87965,1.89244,1.9066,1.92116,1.93579,1.9505,1.9674,1.98355,2.0014,2.01918,2.03883,2.06176
2005,1.64279,1.72848,1.78616,1.83511,1.88038,1.92016,1.96365,2.00805,2.0494,2.08751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1.52302,1.59939,1.6485,1.6912,1.73635,1.77783,1.8218,1.86783,1.91593,1.96935,2.01688,2.06513,2.11407,2.16045,2.20208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1.85146,1.93655,1.9986,2.04182,2.07746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,1.41739,1.48233,1.5197,1.54266,1.56718,1.58748,1.60384,1.62022,1.63659,1.65012,1.66449,1.68002,1.69456,1.70795,1.72158,1.73596,1.74967,1.76296,1.77619,1.79036,1.80426,1.81979,1.83533,1.85022,1.86655,1.8854,1.90683,1.928,1.94932,1.96983,1.99262,2.01717,2.04137,2.06465,2.08672,2.11052,2.13355,2.15645,2.1803,2.20557,2.23379,2.26587,2.29673,2.32693,2.36039,2.39211,2.42968,2.47093,2.50628,2.53737,
1980,1.41855,1.47652,1.51165,1.5338,1.55397,1.57224,1.5902,1.60798,1.62764,1.64691,1.67225,1.69475,1.71824,1.74199,1.76599,1.79289,1.8208,1.85017,1.88028,1.90949,1.94264,1.97256,2.0034,2.03648,2.07458,2.11392,2.15769,2.20022,2.24404,2.29229,2.33764,2.38603,2.43694,2.4841,2.52528,,,,,,,,,,,,,,,,
1985,1.39698,1.46605,1.5106,1.5434,1.57084,1.59923,1.62672,1.65339,1.67937,1.70519,1.73492,1.76475,1.79598,1.82711,1.85766,1.88971,1.9207,1.95237,1.98609,2.02539,2.06645,2.11145,2.15649,2.20225,2.25244,2.30132,2.35361,2.40983,2.4627,2.51002,,,,,,,,,,,,,,,,,,,,,
1970,1.44854,1.48785,1.51118,1.52887,1.5444,1.55858,1.57228,1.58555,1.60022,1.61421,1.63143,1.64668,1.66129,1.67528,1.6899,1.70573,1.72241,1.74075,1.75863,1.77693,1.80084,1.82276,1.84655,1.86966,1.89292,1.91944,1.94744,1.97578,2.00556,2.03299,2.06478,2.09492,2.12543,2.15812,2.19513,2.2346,2.27909,2.32255,2.36561,2.41425,2.45931,2.50819,2.55927,2.60907,2.64967,,,,,,
1995,1.44774,1.53443,1.59116,1.63366,1.66761,1.70145,1.7299,1.76034,1.79337,1.83319,1.87673,1.92269,1.97033,2.02149,2.0745,2.12721,2.18464,2.24473,2.30081,2.35157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,1.43042,1.48515,1.5182,1.54151,1.5596,1.57642,1.5946,1.61223,1.62689,1.64188,1.65667,1.67285,1.68965,1.70798,1.72682,1.74797,1.77027,1.79291,1.81508,1.83706,1.86219,1.88864,1.91511,1.94172,1.96679,1.99431,2.02131,2.04899,2.07769,2.10864,2.14066,2.17587,2.2115,2.24646,2.28452,2.31901,2.3564,2.39738,2.4338,2.46485,,,,,,,,,,,
1950,1.52057,1.56437,1.58129,1.58859,1.58815,1.58748,1.59125,1.59406,1.59915,1.60279,1.61413,1.6174,1.62501,1.62841,1.63368,1.64203,1.65145,1.6628,1.67334,1.68595,1.69781,1.70671,1.71606,1.72409,1.73126,1.73877,1.74573,1.75271,1.75966,1.7663,1.77487,1.78206,1.78758,1.79414,1.79976,1.80653,1.81348,1.82117,1.83026,1.83882,1.84984,1.86168,1.87358,1.8872,1.90125,1.91661,1.93327,1.95134,1.96937,1.98758,2.00926
