Paper publish year,All Authors Female Percentage,First Authors Female Percentage,Last Authors Female Percentage
1872,,,
1874,0,0,0
1875,0,0,0
1876,0,0,0
1877,0,0,0
1878,0.166667,0.2,0.2
1879,0,0,0
1880,0,0,0
1881,0,0,0
1882,0,0,0
1883,0,0,0
1884,,,
1885,,,
1886,0,0,0
1887,0,0,0
1888,0,0,0
1889,0,0,0
1890,0,0,0
1891,0,0,0
1892,0,0,0
1893,0,0,0
1894,0,0,0
1895,0.0263158,0.0344828,0
1896,0,0,0
1897,0,0,0
1898,0,0,0
1899,0,0,0
1900,0.05,0.047619,0.0681818
1901,0.03125,0.0212766,0.0465116
1902,0.0135135,0.0166667,0.0169492
1903,0.046875,0.06,0.0408163
1904,0.0377358,0.0512821,0.027027
1905,0.0149254,0,0.02
1906,0.0263158,0.0172414,0.0357143
1907,0.01,0.0142857,0
1908,0.0470588,0.0535714,0.0517241
1909,0.025974,0.0350877,0.0338983
1910,0.0337079,0.0169492,0.0322581
1911,0,0,0
1912,0.0114943,0,0
1913,0.0654206,0.0441176,0.0882353
1914,0.043956,0.0149254,0.0461538
1915,0.0240964,0.0163934,0.0169492
1916,0.025,0.031746,0.0322581
1917,0.047619,0.016129,0.0645161
1918,0.047619,0.0327869,0.0625
1919,0.0777778,0,0.0882353
1920,0.0833333,0.0731707,0.0731707
1921,0.057554,0.0119048,0.0705882
1922,0.0416667,0.0140845,0.0769231
1923,0.0447761,0.037037,0.0769231
1924,0.0731707,0,0.104478
1925,0.0661157,0.0135135,0.0933333
1926,0.0825688,0.015625,0.0588235
1927,0.0952381,0.0454545,0.0895522
1928,0.0666667,0.0405405,0.0724638
1929,0.124031,0.101449,0.15493
1930,0.0992366,0.056338,0.1
1931,0.0808081,0.0597015,0.0677966
1932,0.0909091,0.0958904,0.111111
1933,0.0583942,0.056338,0.0405405
1934,0.109489,0.0921053,0.12987
1935,0.0679612,0.0454545,0.0952381
1936,0.128205,0.109589,0.147059
1937,0.145161,0.142857,0.178082
1938,0.0810811,0.0793651,0.137931
1939,0.115385,0.09375,0.138462
1940,0.10101,0.111111,0.133333
1941,0.056,0.0285714,0.0735294
1942,0.0731707,0.0759494,0.0810811
1943,0.0564516,0.0724638,0.0694444
1944,0.0642202,0.0793651,0.0862069
1945,0.0877193,0.0571429,0.0967742
1946,0.0818182,0.0447761,0.057971
1947,0.0714286,0.0307692,0.0615385
1948,0.148148,0.08,0.210526
1949,0.101852,0.0333333,0.078125
1950,0.0775862,0.0677966,0.0806452
1951,0.1,0.134615,0.111111
1952,0.0582524,0.0701754,0.047619
1953,0.11,0.0961538,0.0925926
1954,0.0813008,0.0606061,0.0571429
1955,0.0430108,0.0344828,0.0350877
1956,0.0882353,0.0714286,0.0508475
1957,0.0425532,0.0204082,0.0652174
1958,0.08,0.0588235,0.0862069
1959,0.0614035,0.0588235,0.0350877
1960,0.0763359,0.0714286,0.0980392
1961,0.0344828,0.016129,0.046875
1962,0.0512821,0.016129,0.0806452
1963,0.0625,0.0740741,0.0689655
1964,0.0792079,0.0740741,0.109091
1965,0.0515464,0.0535714,0.02
1966,0.111111,0.0555556,0.140625
1967,0.0614035,0.0566038,0.0535714
1968,0.0661157,0.0634921,0.0508475
1969,0.0806452,0.078125,0.0491803
1970,0.0983607,0.0625,0.111111
1971,0.079646,0.0819672,0.031746
1972,0.0567376,0.0166667,0.028169
1973,0.0808824,0.0526316,0.0178571
1974,0.0533333,0.0307692,0.0428571
1975,0.112583,0.0895522,0.126761
1976,0.0571429,0.056338,0.0588235
1977,0.107595,0.0746269,0.046875
1978,0.0860927,0.0517241,0.0166667
1979,0.144654,0.084507,0.114286
1980,0.120805,0.0724638,0.109589
1981,0.136126,0.109589,0.0945946
1982,0.13,0.0724638,0.0869565
1983,0.154589,0.0972222,0.0921053
1984,0.108491,0.0641026,0.0547945
1985,0.0939227,0.0921053,0.0657895
1986,0.140777,0.125,0.123457
1987,0.15311,0.0921053,0.135135
1988,0.113537,0.103896,0.0864198
1989,0.151111,0.115385,0.1
1990,0.088,0.0684932,0.0540541
1991,0.124555,0.0632911,0.0675676
1992,0.120567,0.0759494,0.121622
1993,0.204969,0.153846,0.0987654
1994,0.15,0.131579,0.0793651
1995,0.372845,0.097561,0.0886076
1996,0.171196,0.112676,0.0769231
1997,0.149091,0.0864198,0.0864198
1998,0.206759,0.0649351,0.028169
1999,0.201613,0.2,0.0804598
2000,0.212121,0.101449,0.123288
2001,0.197464,0.135135,0.103896
2002,0.201493,0.153846,0.151899
2003,0.235521,0.162162,0.0963855
2004,0.209746,0.152778,0.125
2005,0.238004,0.15942,0.131579
2006,0.208243,0.128205,0.0731707
2007,0.234652,0.202532,0.141026
2008,0.229911,0.140845,0.115942
2009,0.237168,0.171875,0.169014
2010,0.227273,0.205479,0.119403
2011,0.254237,0.228571,0.142857
2012,0.251479,0.234375,0.229508
2013,0.218557,0.147541,0.134328
2014,0.245614,0.2,0.15873
2015,0.243011,0.212121,0.2
2016,0.298361,0.296875,0.222222
2017,0,0,0
