Paper publish year,zero_citation_percentage_1,zero_citation_percentage_no_self_1,zero_citation_percentage_3,zero_citation_percentage_no_self_3,zero_citation_percentage_5,zero_citation_percentage_no_self_5,zero_citation_percentage_10,zero_citation_percentage_no_self_10
2013,0.451881,0.514159,,,,,,
2012,0.462572,0.525271,,,,,,
2011,0.488555,0.555111,0.292828,0.337159,,,,
2010,0.468997,0.538111,0.277665,0.322596,,,,
2009,0.482921,0.553692,0.286355,0.334418,0.225467,0.260218,,
2008,0.484492,0.561101,0.283441,0.33487,0.221157,0.258169,,
2007,0.485986,0.563556,0.279461,0.332663,0.214832,0.252839,,
2006,0.497371,0.577075,0.284971,0.339435,0.221151,0.260543,,
2005,0.492334,0.57214,0.270492,0.324229,0.205861,0.243605,,
2004,0.503779,0.583112,0.273611,0.326133,0.207598,0.243966,0.151551,0.173215
2003,0.510744,0.589798,0.272993,0.326334,0.204497,0.240803,0.147533,0.16853
2002,0.531431,0.61222,0.290695,0.346267,0.215174,0.252758,0.154131,0.175624
2001,0.542554,0.625532,0.300917,0.359391,0.221574,0.261146,0.15509,0.177138
2000,0.548475,0.631613,0.302932,0.362073,0.223694,0.263821,0.151762,0.173937
1999,0.551035,0.63608,0.307028,0.367578,0.227574,0.269807,0.154837,0.178257
1998,0.575612,0.661736,0.324904,0.389245,0.24336,0.289752,0.166886,0.192565
1997,0.599773,0.688525,0.348018,0.416872,0.264325,0.314766,0.182996,0.212321
1996,0.631039,0.720344,0.373494,0.445691,0.2804,0.334406,0.195189,0.227894
1995,0.631396,0.720909,0.373602,0.445926,0.283327,0.337493,0.20304,0.236482
1994,0.633983,0.722111,0.375246,0.4468,0.286511,0.340385,0.208902,0.243862
1993,0.636249,0.722349,0.379296,0.449586,0.28986,0.343458,0.213349,0.24856
1992,0.633665,0.71874,0.380307,0.448735,0.290319,0.342604,0.213626,0.248027
1991,0.630013,0.716114,0.388551,0.456424,0.297842,0.349166,0.220788,0.254718
1990,0.629443,0.712864,0.383826,0.450408,0.295563,0.346723,0.218897,0.252738
1989,0.63688,0.719382,0.385143,0.449985,0.30136,0.351068,0.226647,0.259902
1988,0.639374,0.719466,0.384045,0.447288,0.299564,0.347635,0.226059,0.258439
1987,0.642524,0.722947,0.385789,0.448618,0.297408,0.344287,0.2255,0.256989
1986,0.638503,0.718268,0.383749,0.44568,0.294367,0.341037,0.221481,0.252312
1985,0.638143,0.718105,0.378773,0.440007,0.291367,0.337397,0.217792,0.248545
1984,0.638557,0.717013,0.382996,0.443013,0.296295,0.341718,0.223866,0.253885
1983,0.636946,0.713321,0.383203,0.441219,0.296434,0.340041,0.22358,0.252239
1982,0.640487,0.713617,0.386854,0.443849,0.300086,0.342769,0.224984,0.253651
1981,0.641746,0.715733,0.386735,0.441764,0.30042,0.341444,0.22605,0.25409
1980,0.637515,0.709016,0.385491,0.437413,0.29785,0.336998,0.223599,0.249273
1979,0.631268,0.70224,0.38015,0.432178,0.292029,0.330311,0.218868,0.243984
1978,0.633586,0.702653,0.381363,0.432605,0.2966,0.335326,0.222833,0.248651
1977,0.628667,0.696022,0.37636,0.424825,0.292888,0.328302,0.218742,0.242449
1976,0.637949,0.702827,0.392015,0.439027,0.30349,0.338168,0.228603,0.252219
1975,0.638243,0.70136,0.396198,0.441639,0.309827,0.343692,0.23542,0.257575
1974,0.647784,0.709305,0.408676,0.452167,0.324973,0.358643,0.243753,0.266731
1973,0.646148,0.706887,0.40654,0.451563,0.323094,0.355835,0.243102,0.265359
1972,0.649087,0.706688,0.414989,0.457278,0.331206,0.362368,0.250111,0.270917
1971,0.663341,0.716737,0.436218,0.475018,0.348536,0.378019,0.266635,0.287302
1970,0.66998,0.721614,0.439055,0.477527,0.354901,0.383955,0.271146,0.290443
1969,0.678612,0.728739,0.44863,0.485758,0.360762,0.389518,0.276944,0.296001
1968,0.685322,0.731871,0.466765,0.501841,0.380644,0.407,0.294446,0.312546
1967,0.685806,0.732306,0.467223,0.501263,0.37979,0.405052,0.295311,0.312353
1966,0.673049,0.720946,0.453585,0.487183,0.368719,0.395987,0.290033,0.307598
1965,0.665704,0.714164,0.441236,0.473732,0.354789,0.380038,0.270097,0.286062
1964,0.681502,0.732365,0.455896,0.490898,0.36983,0.395596,0.282292,0.298822
1963,0.680923,0.726786,0.461945,0.493777,0.370974,0.394584,0.284001,0.298559
1962,0.671314,0.725966,0.466986,0.506928,0.380431,0.411221,0.291909,0.310469
1961,0.673979,0.728087,0.463551,0.502312,0.378652,0.409641,0.294934,0.314806
1960,0.678269,0.72878,0.46305,0.502471,0.380696,0.411552,0.288459,0.308115
1959,0.682958,0.735287,0.489253,0.527124,0.401996,0.43411,0.309621,0.329452
1958,0.693373,0.746981,0.489691,0.526657,0.404418,0.434462,0.317084,0.336082
1957,0.703729,0.757138,0.483037,0.521162,0.39738,0.427276,0.312227,0.33171
1956,0.727688,0.770314,0.513606,0.546527,0.428544,0.453473,0.337774,0.35509
1955,0.735541,0.780176,0.516136,0.555532,0.426236,0.45767,0.333822,0.354149
1954,0.730334,0.77409,0.53589,0.573746,0.451573,0.482055,0.349066,0.368977
