----  Field Name Acoustics: 
----  Field Level 1.0: 
----  Field Papers Number 90134:
----  All time max citation paper: A Computational Approach to Edge Detection, 1986, (6540.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1932|1.0|1.0|Electrical Engineering|The Time Factor in Telephone Transmission
1938|3.0|3.0|Journal of Chemical Physics|InfraRed and Raman Spectra of Polyatomic Molecules. V. Cyclopropane and Ethylene Oxide
1939|18.0|6.5|Journal of Chemical Physics|InfraRed and Raman Spectra of Polyatomic Molecules. VII. C2D6
1940|3.0|2.0|Journal of Chemical Physics|InfraRed and Raman Spectra of Polyatomic Molecules XII. Methyl Acetylene
1941|2.0|2.0|Journal of Chemical Physics|The Fundamental Frequencies of Certain Halomethanes. II. The Raman Spectrum of Fluoroform
1943|0|0.0|Journal of Chemical Physics|InfraRed and Raman Spectra of Polyatomic Molecules XVIII. Trideuteronitromethane
1944|9.0|5.5|Journal of Chemical Physics|The Molecular Structure and Thermodynamics of Propane The Vibration Frequencies, Barrier to Internal Rotation, Entropy, and Heat Capacity
1945|4.0|4.0|Journal of Chemical Physics|Force Constants of Triatomic Molecules
1946|1.0|1.0||The analysis of vibration problems
1947|8.0|4.0|Journal of Chemical Physics|InfraRed Absorption Spectra of the C2 to C4 MonoOlefins and of 2Methyl2Butene
1948|6.0|3.0|Journal of Chemical Physics|The InfraRed Absorption Spectrum of Hexafluoroethane Gas
1949|11.0|3.0|Journal of Chemical Physics|Vibrational Analysis of the 3400A TripletSinglet Emission of Benzene
1950|3.0|1.0|Journal of Chemical Physics|Motions of Molecules in Condensed Systems. VI. The InfraRed Spectra for Vapor, Liquid, and Two Solid Phases of Methyl Chloroform
1951|10.0|3.0|Journal of Chemical Physics|The Vibrational Spectra of Diborane and Some of its Isotopic Derivatives
1952|14.0|4.0|Journal of Chemical Physics|The Potential Constants of Ethane
1953|8.0|4.5|Journal of Chemical Physics|SUBSTITUTED METHANES. XIV. VIBRATIONAL SPECTRA, POTENTIAL CONSTANTS, AND CALCULATED THERMODYNAMIC PROPERTIES OF BROMOCHLOROMETHANE
1954|8.0|1.0|Journal of Chemical Physics|Infrared Spectrum of S16O18O and the Potential Constants of SO2
1955|18.0|1.0|Journal of Chemical Physics|Electronic States of the Naphthalene Crystal
1956|15.0|3.0|Journal of Chemical Physics|Vibration Spectra of Some Mixed Halides of Boron
1957|17.0|3.0|Journal of Chemical Physics|Ultraviolet Absorption of Pyrazine Vapor Due to n   Transition
1958|14.0|3.0|Journal of Chemical Physics|Vibrational Spectrum of Nickel Carbonyl
1959|17.0|2.0|Journal of Chemical Physics|CALCULATION OF REACTION PROFILES BEHIND STEADY STATE SHOCK WAVES. II. THE DISSOCIATION OF AIR
1960|53.0|6.0|Virology|The morphology of herpes virus
1961|10.0|1.0|Journal of Chemical Physics|VIBRONIC COUPLING. I. MATHEMATICAL TREATMENT FOR TWO ELECTRONIC STATES
1962|32.0|1.0|Nuclear Physics|Spectroscopic study of low energy vibrational states of spherical neuclei
1963|27.0|3.0|Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy|Vibrational analysis of the n-paraffinsI: Assignments of infrared bands in the spectra of C3H8 through n-C19H40
1964|16.0|1.5|Journal of Geophysical Research|Whistler determination of electron energy and density distributions in the magnetosphere
1965|25.0|1.0|Journal of Geophysical Research|A mechanism for energizing electrons in the magnetosphere
1966|16.0|1.0|Journal of Geophysical Research|Gravity waves in a realistic atmosphere
1967|15.0|1.0|Journal of Geophysical Research|Acousticgravity waves in the upper atmosphere due to a nuclear detonation and an earthquake
1968|22.0|1.0|Journal of Atmospheric and Solar-Terrestrial Physics|HF Doppler studies of traveling ionospheric disturbances
1969|29.0|2.0|Journal of Sound and Vibration|Acoustic wave propagation in a sheared fluid contained in a duct
1970|24.0|2.0|IEEE Spectrum|Synthetic voices for computers
1971|35.0|1.0|Journal of Fluid Mechanics|Orderly structure in jet turbulence
1972|49.0|2.0|Journal of Geophysical Research|Correlated satellite measurements of lowenergy electron precipitation and groundbased observations of a visible auroral arc
1973|27.0|1.0|Journal of Verbal Learning and Verbal Behavior|Lexical access and naming time
1974|19.0|1.0|Journal of Geophysical Research|High frequency induced enhancements of the incoherent scatter spectrum at Arecibo, 2
1975|67.0|2.0|Electroencephalography and Clinical Neurophysiology|Two varieties of long-latency positive waves evoked by unpredictable auditory stimuli in man.
1976|36.0|2.0|Journal of Geophysical Research|coherent generation of VLF hiss
1977|36.0|2.0|Journal of Geophysical Research|Plasma wave electric fields in the solar wind: Initial results from Helios 1
1978|30.0|1.0|Journal of Geophysical Research|Ion acoustic waves in the solar wind
1979|20.0|2.0|Journal of Fluid Mechanics|Attenuation of sound in a low Mach number nozzle flow
1980|76.0|1.0|ACM Computing Surveys|The Hearsay-II Speech-Understanding System: Integrating Knowledge to Resolve Uncertainty
1981|37.0|1.0|Journal of Geophysical Research|The electromagnetic ion beam instability upstream of the earth's bow shock
1982|27.0|1.0|Experimental Brain Research|Microstimulation of the supplementary motor area (SMA) in the awake monkey
1983|32.0|2.0|Applied Physics Letters|Photothermal Spectroscopy Using a Pyroelectric Thin Film Detector.
1984|73.0|2.0|Journal of Geophysical Research|The plasma sheet boundary layer
1985|65.0|2.0|Vision Research|A theory of the primitive spatial code in human vision
1986|160.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|A Computational Approach to Edge Detection
1987|56.0|2.0|Artificial Intelligence|Bayesian and non-Bayesian evidential updating
1988|50.0|1.0|Behavioral and Brain Sciences|Numerical competence in animals: definitional issues, current evidence, and a new research agenda
1989|156.0|2.0|Proceedings of the IEEE|Time-frequency distributions-a review
1990|57.0|2.0|Planetary and Space Science|Dust-acoustic waves in dusty plasmas
1991|131.0|1.0|Machine Learning|Instance-Based Learning Algorithms
1992|106.0|2.0|international symposium on physical design|Testing for nonlinearity in time series: the method of surrogate data
1993|51.0|2.0|Iee Proceedings F Radar and Signal Processing|Blind beamforming for non-Gaussian signals
1994|77.0|2.0|IEEE Transactions on Speech and Audio Processing|RASTA processing of speech
1995|85.0|2.0|Physics of Plasmas|Laboratory observation of the dustacoustic wave mode
1996|92.0|2.0|IEEE Transactions on Communications|Subspace-based channel estimation for code division multiple access communication systems
1997|79.0|2.0|Journal of Engineering Mechanics-asce|STRUCTURAL CONTROL: PAST, PRESENT, AND FUTURE
1998|120.0|3.0|IEEE Transactions on Medical Imaging|Design and construction of a realistic digital brain phantom
1999|681.0|3.0|IEEE Transactions on Information Theory|Space-time block codes from orthogonal designs
2000|241.0|3.0|Magnetic Resonance in Medicine|In vivo fiber tractography using DTMRI data
2001|173.0|3.0|Physiological Reviews|Mechanics of the mammalian cochlea.
2002|155.0|4.0|Biosensors and Bioelectronics|Application of conducting polymers to biosensors
2003|377.0|4.0|IEEE Journal on Selected Areas in Communications|Capacity limits of MIMO channels
2004|242.0|4.0|Cognition|Dorsal and ventral streams: a framework for understanding aspects of the functional anatomy of language
2005|307.0|4.0|ad hoc networks|Underwater acoustic sensor networks: research challenges
2006|333.0|4.0|Gut|Diagnosis of cirrhosis by transient elastography (FibroScan): a prospective study.
2007|495.0|3.0|Journal of Vision|Some observations on the pedestal effect
2008|730.0|2.0|Journal of Vision|The statistical determinants of adaptation rate in human reaching
2009|749.0|2.0|Journal of Vision|Meaningful auditory information enhances perception of visual biological motion
2010|702.0|3.0|Journal of Vision|Orientation tuning of contrast masking caused by motion streaks
