----  Field Name Aeronautics: 
----  Field Level 1.0: 
----  Field Papers Number 1882:
----  All time max citation paper: Short-Term Synaptic Plasticity, 2003, (912.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1962|0|0.0|Progress in Aerospace Sciences|Meteorological and aeronautical aspects of atmospheric turbulence
1963|8.0|8.0|Journal of Geophysical Research|THE ENHANCEMENT OF THE EQUATORIAL ELECTROJET DURING POLAR MAGNETIC SUBSTORMS
1965|11.0|11.0|Electroencephalography and Clinical Neurophysiology|Visually evoked response correlates of perceptual masking and enhancement
1966|2.0|1.5||RESPONSE OF A BURNING PROPELLANT SURFACE TO EROSIVE TRANSIENTS.
1968|2.0|1.0|Applied Physics Letters|LASER BACKSCATTER CORRELATION WITH TURBULENT REGIONS OF THE ATMOSPHERE
1969|4.0|2.5|Journal of Geophysical Research|Magnetic field fluctuations near the Moon
1973|11.0|11.0|Journal of Geophysical Research|Xenoliths in maars and diatremes with inferences for the moon, Mars, and Venus.
1974|1.0|1.0|IEEE Transactions on Computers|State Minimization of Incompletely Specified Sequential Machines
1975|9.0|4.5|Reviews of Geophysics|The Role of Ballistic Erosion and Sedimentation in Lunar Stratigraphy
1976|0|0.0||FORECAST OF THE GENERAL AVIATION AIR TRAFFIC CONTROL ENVIRONMENT FOR THE 1980'S
1980|15.0|15.0|Icarus|Formation of complex impact craters: Evidence from Mars and other planets
1981|9.0|5.0|Journal of Geophysical Research|Volcanic eruptions on Io
1982|12.0|8.0|Electronics Letters|Monte Carlo particle simulation of GaAs submicron n+-i-n+ diode
1983|4.0|3.0|IEEE Transactions on Acoustics, Speech, and Signal Processing|Adaptive enhancement of finite bandwidth signals in white Gaussian noise
1984|5.0|1.0|Environmental Mutagenesis|Enhanced sensitivity of the C3H/10T1/2 cell transformation system to alkylating and chemotherapeutic agents by treatment with 12Otetradecanoylphorbol13acetate
1985|3.0|0.0|International Journal of Impact Engineering|Normal and Oblique Impact of Cylindro-Conical and Cylindrical Projectiles on Metallic Plates
1986|5.0|1.0|Physics of Fluids|Propagation of an ionacoustic soliton in an inhomogeneous plasma
1987|6.0|1.0|Management Science|Scheduling Ocean Transportation of Crude Oil
1988|7.0|1.0|Journal of Cellular Biochemistry|Correlation of immunomodulatory and therapeutic activities of interferon and interferon inducers in metastatic disease
1989|16.0|2.0||TINA: a probabilistic syntactic parser for speech understanding systems
1990|25.0|3.0|European Journal of Neuroscience|Electrophysiology and Pharmacology of the Corticothalamic Input to Lateral Thalamic Nuclei: an Intracellular Study in the Cat
1991|26.0|2.0|IEEE Transactions on Electron Devices|Field-emitter arrays for vacuum microelectronics
1992|9.0|1.5|Entomologia Experimentalis Et Applicata|The effect of host size on quality attributes of the egg parasitoid, Trichogramma pretiosum
1993|26.0|3.0|AIDS Research and Human Retroviruses|Summary Report: Workshop on the Potential Risks of Antibody-Dependent Enhancement in Human HIV Vaccine Trials
1994|18.0|6.0|computer vision and pattern recognition|Projective and object space geometry for monocular building extraction
1995|17.0|5.0|JAMA Internal Medicine|Physiological predictors of increasing total and central adiposity in aging men and women.
1996|24.0|2.5|American Journal of Ophthalmology|Optic Nerve Head Topography in Ocular Hypertensive Eyes Using Confocal Scanning Laser Ophthalmoscopy
1997|45.0|2.5|Applied Physics Letters|Bulk metallic glass matrix composites
1998|36.0|3.0|The Lancet|Coeliac disease hidden by cryptogenic hypertransaminasaemia
1999|16.0|3.0|Journal of Geophysical Research|Cloud liquid water, mean droplet radius, and number density measurements using a Raman lidar
2000|71.0|5.0|Vision Research|Spatial covert attention increases contrast sensitivity across the CSF: support for signal enhancement
2001|202.0|2.0|IEEE Computer Graphics and Applications|Recent advances in augmented reality
2002|75.0|5.0|Remote Sensing of Environment|MODIS Snow-Cover Products
2003|323.0|4.0|Annual Review of Physiology|Short-Term Synaptic Plasticity
2004|47.0|6.0|Sleep Medicine|Augmentation and tolerance with long-term pramipexole treatment of restless legs syndrome (RLS)
2005|61.0|5.0|JAMA Pediatrics|Prevention of the epidemic increase in child risk of overweight in low-income schools: the El Paso coordinated approach to child health.
2006|98.0|5.0|Thorax|Study of modifiable risk factors for asthma exacerbations : virus infection and allergen exposure increase the risk of asthma hospital admissions in children
2007|146.0|7.0|Biological Control|Mycoinsecticides and Mycoacaricides: A comprehensive list with worldwide coverage and international classification of formulation types
2008|86.0|5.0|Global Change Biology|Effects of elevated CO2 on the protein concentration of food crops : a meta-analysis
2009|240.0|5.0|The International Journal of Aviation Psychology|The Evolution of Crew Resource Management Training in Commercial Aviation
2010|64.0|5.0|Science|MESSENGER Observations of Extreme Loading and Unloading of Mercurys Magnetic Tail
