----  Field Name Aerospace Engineering: 
----  Field Level 1.0: 
----  Field Papers Number 38174:
----  All time max citation paper: A theory for multiresolution signal decomposition: the wavelet representation, 1989, (6734.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1941|0|0.0||The problem of cooling an air-cooled cylinder on an aircraft engine
1952|0|0.0||A Simple Method for Calculating the Span and Chordwise Loading on Straight and Swept Wings of any Given Aspect Ratio at Subsonic Speeds.
1956|0|0.0||Theoretical pressure distributions for some slender wing-body combinations at zero lift
1958|1.0|1.0||Hypersonic Viscous Flow over Slender Cones
1959|1.0|0.5||SPACE VEHICLE ENVIRONMENT,
1960|8.0|0.0|Journal of Chemical Physics|ELECTRON SPIN RESONANCE STUDIES OF THE POTASSIUM SALT OF m-DINITROBENZENE NEGATIVE ION
1961|1.0|0.0|Proceedings of The Institute of Radio Engineers|Oscillations and Noise in Low-Pressure DC Discharges
1962|1.0|0.5||RECENT ADVANCES IN ASTRODYNAMICS, 1961
1963|9.0|0.0|AIAA Journal|Experimental heat-transfer studies of hypervelocity flight in planetary atmospheres
1964|0|0.0|AIAA Journal|Broadside radar echoes from ionized trails
1965|3.0|0.0|Tellus A|THE INFLUENCE OF HAZE ON INFRARED RADIATION MEASUREMENTS DETECTED BY SPACE VEHICLES.
1966|20.0|0.0|Electroencephalography and Clinical Neurophysiology|Comprehensive spectral analysis of human EEG generators in posterior cerebral regions
1967|6.0|0.0|Proceedings of the IEEE|An introduction to computer graphic terminals
1968|7.0|1.0|Agricultural Meteorology|Wind-tunnel modelling of convection of heat between air and broad leaves of plants
1969|11.0|1.0|Journal of Geophysical Research|Composition and temperature of the neutral tropic lower thermosphere
1970|10.0|1.0|International Journal of Solids and Structures|Bending, vibration and buckling of simply supported thick orthotropic rectangular plates and laminates
1971|11.0|2.0|Journal of Geophysical Research|The hydrodynamic instability of water drops falling at terminal velocity in vertical electric fields
1972|16.0|1.0|Planetary and Space Science|Thermospheric observations combining chemical seeding and ground-based techniques. I - Winds, turbulence and the parameters of the neutral atmosphere.
1973|42.0|1.0|Journal of Geophysical Research|Twin payload observations of incident and backscattered auroral electrons
1974|20.0|2.0|Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology|The influence of proprioceptive feedback on Locust flight co-ordination
1975|14.0|2.0|Journal of Geophysical Research|Simultaneous measurements of auroral particles and electric currents by a rocketborne instrument system: Introductory remarks
1976|22.0|2.0|Icarus|Saltation threshold on Mars: The effect of interparticle force, surface roughness, and low atmospheric density
1977|31.0|1.0|Experimental Neurology|Extrapersonal spatial orientation: The role of posterior parietal, anterior frontal, and inferotemporal cortex
1978|39.0|1.0|Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology|Proprioceptive input on the locust flight motor revealed by muscle stimulation
1979|18.0|1.0|Journal of Geophysical Research|Gravity model improvement using Geos 3 (GEM 9 and 10)
1980|31.0|1.0|Journal of Geophysical Research|Geoid height versus age for symmetric spreading ridges
1981|28.0|2.0|Journal of Fluid Mechanics|New aspects of turbulent boundary-layer structure
