----  Field Name Biological system: 
----  Field Level 1.0: 
----  Field Papers Number 8749:
----  All time max citation paper: Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans, 1998, (7096.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1940|2.0|2.0|Biological Reviews|THE FINE STRUCTURE OF BIOLOGICAL SYSTEMS
1941|0|0.0|Bulletin of Mathematical Biology|Statistical distribution of impedance elements in biological systems
1950|2.0|2.0|Bulletin of Mathematical Biology|The steady state kinetics of some biological systems: III. Thermodynamic aspects
1951|2.0|2.0||EFFECTS OF RADIATIONS ON BIOLOGICAL SYSTEMS
1952|0|0.0|Nature|Total Synthesis of Flavin-adenine-dinucleotide
1954|0|0.0|Nature|Origin of Glycine and Serine in Bakers' Yeast
1957|1.0|1.0|Journal of Cellular and Comparative Physiology|Macromolecular fabrics in biological systems; their structural and physiological significance
1959|20.0|0.0|Virology|A study of gene action in ultraviolet-irradiated bacteriophage T4
1960|9.0|0.5|Analytical Biochemistry|The determination of glyoxylic acid in biological systems
1961|2.0|2.0|Journal of Cellular and Comparative Physiology|Reversibility of X irradiationinduced effects in dry biological systems
1962|1.0|1.0|Journal of Investigative Dermatology|Absorption of X-Rays in Psoriatic Parakeratotic Horny Layers1
1963|14.0|14.0|Journal of Chemical Physics|Direct Determination of Exciton Interactions for Triplet States of Organic Crystals
1964|7.0|6.0|Journal of Dairy Science|Calcein as an Indicator for the Determination of Total Calcium and Magnesium and Calcium Alone in the Same Aliquot of Milk
1965|2.0|0.0|Immunochemistry|The chemistry and use of cellulose derivatives for the study of biological systems.
1966|3.0|1.5|Journal of Theoretical Biology|Segmental differential approximation and biological systems: An analysis of a metabolic process
1967|5.0|0.0|IEEE Spectrum|Waveform generation by enzymatic oscillators
1968|11.0|2.0|Proceedings of the IEEE|The oculomotor control system: A review
1969|20.0|2.5|Journal of Colloid and Interface Science|Applications of monolayer techniques to biological systems: Symptoms of specific lipid-protein interactions
1970|8.0|1.5|Bellman Prize in Mathematical Biosciences|On a semi-stochastic model arising in a biological system
1971|15.0|0.0|Chemico-Biological Interactions|Singlet oxygen and biological systems
1972|17.0|0.0|Cryobiology|Mechanism of cryoinjury in biological systems
1973|11.0|2.0|Biochimica et Biophysica Acta|The determination of inorganic orthophosphate in biological systems
1974|12.0|0.5|Information & Computation|Closure properties of some families of languages associated with biological systems
1975|61.0|2.0|Biological Cybernetics|A model of the central and reflex inhibition of inspiration in the cat
1976|31.0|1.0|Analytical Biochemistry|The use of ion-exchange resins for studying ion transport in biological systems
1977|37.0|2.0|Biological Cybernetics|Open loop analysis of a feedback mechanism controlling leg position in the stick insect Carausius morosus: Comparison between experiment and simulation
1978|23.0|2.0|Journal of Magnetic Resonance|The measurement of cross-relaxation effects in the proton NMR spin-lattice relaxation of water in biological systems: Hydrated collagen and muscle
1979|30.0|2.0|Quarterly Reviews of Biophysics|Lanthanides as probes for calcium in biological systems
1980|39.0|2.0|Geochimica et Cosmochimica Acta|Paleoreconstruction by Biological Markers
1981|19.0|2.0|Nature|Unique transforming gene in carcinogen-transformed mouse cells
1982|17.0|1.5|Life Sciences|The measurement of protein synthesis in biological systems
1983|13.0|0.0|International Journal of Pharmaceutics|Enthalpy-entropy compensation analysis of pharmaceutical, biochemical and biological systems
1984|47.0|2.0|Quarterly Reviews of Biophysics|Calculations of electrostatic interactions in biological systems and in solutions
1985|31.0|2.0|Biological Cybernetics|A theoretical model of phase transitions in human hand movements
1986|103.0|3.0|Photochemistry and Photobiology|PHTHALOCYANINES AS PHOTOSENSITIZERS IN BIOLOGICAL SYSTEMS AND FOR THE PHOTODYNAMIC THERAPY OF TUMORS
1987|29.0|2.0|Progress in Neurobiology|Why are so many biological systems periodic?
1988|51.0|4.5|Trends in Biochemical Sciences|Aluminum ion in biological systems
1989|56.0|3.0|Biological Cybernetics|A neural network model for limb trajectory formation
1990|119.0|2.0|Trends in Biochemical Sciences|THE MEASUREMENT AND MECHANISM OF LIPID PEROXIDATION IN BIOLOGICAL SYSTEMS
1991|116.0|2.0|international joint conference on artificial intelligence|Intelligence Without Reason
1992|26.0|2.5|Integrative Physiological and Behavioral Science|Application of chaos theory to biology and medicine.
1993|19.0|1.0|Annals of Biomedical Engineering|Identification of nonlinear biological systems using laguerre expansions of kernels
1994|69.0|2.0|Soil Biology & Biochemistry|Functional diversity of microbial communities: A quantitative approach
1995|101.0|3.0|Molecular and Cellular Biology|Correlation of two-hybrid affinity data with in vitro measurements.
1996|114.0|2.0|Chemical Reviews|The Mononuclear Molybdenum Enzymes.
1997|102.0|5.0|Nature|On/off blinking and switching behaviour of single molecules of green fluorescent protein
1998|1081.0|5.0|Nature|Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans
1999|117.0|5.0|Circulation Research|Nitric Oxide as a Bifunctional Regulator of Apoptosis
2000|504.0|5.0|Nature|The large-scale organization of metabolic networks
2001|220.0|7.0|Genome Biology|A basis for a visual language for describing, archiving and analyzing functional models of complex biological systems
2002|384.0|8.0|Nature Biotechnology|A variant of yellow fluorescent protein with fast and efficient maturation for cell-biological applications
2003|712.0|8.0|Nature|Global analysis of protein expression in yeast
2004|543.0|7.0|Nature Biotechnology|The use of nanocrystals in biological detection
2005|290.0|8.0|Nature|Effective leadership and decision-making in animal groups on the move
2006|993.0|6.0|Nucleic Acids Research|From genomics to chemical genomics: new developments in KEGG
2007|449.0|7.0|Analytical and Bioanalytical Chemistry|Quantitative mass spectrometry in proteomics: a critical review.
2008|1129.0|7.0|Nucleic Acids Research|KEGG for linking genomes to life and the environment.
2009|468.0|7.0|Nature Reviews Molecular Cell Biology|Mechanisms of Polycomb gene silencing: knowns and unknowns
2010|1340.0|8.0|PLOS ONE|Influence of climate warming on arctic mammals? New insights from ancient DNA studies of the collared lemming Dicrostonyx torquatus.
