----  Field Name Calculus: 
----  Field Level 1.0: 
----  Field Papers Number 63626:
----  All time max citation paper: Bootstrap Methods: Another Look at the Jackknife, 1979, (5087.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1925|0|0.0|Journal of Dairy Science|Relative Rates of Secretion of Various Milk Constituents
1933|0|0.0|Protoplasma|Aldehydes as cytological fixatives
1936|2.0|2.0|Journal of Chemical Physics|The Absolute Rates of Reaction of Hydrogen with the Halogens
1939|3.0|1.5|Journal of Chemical Physics|Some QuantumMechanical Considerations in the Theory of Reactions Involving an Activation Energy
1940|1.0|1.0|JAMA|Adipose Tissue, A Neglected Subject.
1945|3.0|3.0|Journal of Dairy Science|The Methylene-Blue Reduction Test and its Relation to Other Measures of Quality in Bull Semen
1947|6.0|6.0|Journal of Chemical Physics|The Mechanism of Processes Initiated by Excited Atoms III. PhotoSensitized Hydrocarbon Reactions
1949|14.0|0.5|Journal of Chemical Physics|The Relative Reaction Velocities of Isotopic Molecules
1951|1.0|1.0|Journal of Chemical Physics|The Relative Rates of Reaction of Hydrogen and Tritium Hydride with Chlorine
1952|1.0|1.0|Journal of Chemical Physics|The Third Virial Coefficient of a LennardJones Gas by Kihara's Method with Tables for the 69 Potential
1953|1.0|1.0|Transactions of the American Mathematical Society|Singular points of functional equations
1954|0|0.0|Journal of the American Oil Chemists' Society|Analytical methods and composition of fatty materials
1955|2.0|1.0|Journal of Chemical Physics|Free Electron Theory, Finite Differences, and LCAO Molecular Orbitals
1956|5.0|2.0|Journal of Chemical Physics|Relative Rates of Isomerization of Cyclopropane and Cyclopropanet1
1957|16.0|1.0|Journal of Chemical Physics|SUBSTITUTED BENZENE SPECTRA,
1958|8.0|4.5|Journal of Chemical Physics|Additivity Rules for the Estimation of Molecular Properties. Thermodynamic Properties
1959|17.0|5.0|Journal of Chemical Physics|CALCULATION OF REACTION PROFILES BEHIND STEADY STATE SHOCK WAVES. II. THE DISSOCIATION OF AIR
1960|8.0|2.0|Journal of Genetics|Optimum mutation rate and degree of dominance as determined by the principle of minimum genetic load.
1961|19.0|2.5|Journal of Mathematical Analysis and Applications|VARIATIONAL METHODS IN PROBLEMS OF CONTROL AND PROGRAMMING
1962|8.0|2.0|Physics of Fluids|Collision Integrals for the Transport Properties of Dissociating Air at High Temperatures
1963|13.0|4.0|Journal of Geophysical Research|Trapped electron time histories for L = 1.18 to L = 1.30
1964|17.0|2.0|Journal of Chemical Physics|AUTOMATIC CALCULATION OF THE TRANSPORT COLLISION INTEGRALS WITH TABLES FOR THE MORSE POTENTIAL,
1965|16.0|1.0|Limnology and Oceanography|EXCRETION OF SOME ORGANIC COMPOUNDS BY MARINE PHYTOPLANKTON1
1966|20.0|1.0|Bulletin of the American Mathematical Society|The solution by iteration of linear functional equations in Banach spaces
1967|16.0|1.0|Proceedings of the IEEE|Matrix methods for field problems
1968|26.0|4.0|IEEE Transactions on Power Apparatus and Systems|Optimal Power Flow Solutions
1969|15.0|3.0|Geochimica et Cosmochimica Acta|The origin of meteorites and the constrained equilibrium condensation theory
1970|51.0|2.0|Journal of Geophysical Research|Thermal regime of a downgoing slab and new global tectonics
1971|26.0|2.0|Journal of Geophysical Research|Origin of paired metamorphic belts and crustal dilation in island arc regions
1972|31.0|1.5|Journal of Geophysical Research|Focal mechanisms and plate tectonics of the southwest Pacific
1973|39.0|1.0|Journal of Geophysical Research|Nonlinear model of highspeed solar wind streams
1974|34.0|1.0|Journal of Fluid Mechanics|The Solution of Viscous Incompressible Jet and Free Surface Flows Using Finite Element Methods.
1975|39.0|2.0|Journal of Neurochemistry|THE ISOLATION AND CHARACTERIZATION OF A PLASMA MEMBRANE AND A MYELIN FRACTION DERIVED FROM OLIGODENDROGLIA OF CALF BRAIN1
1976|38.0|1.5|Journal of Molecular Biology|A simplified representation of protein conformations for rapid simulation of protein folding.
1977|24.0|2.0|Journal of Chemical Physics|Theory of the magnetic field modulated geminate recombination of radical ion pairs in polar solvents: Application to the pyreneN,Ndimethylaniline system
1978|42.0|2.0|Journal of Chemical Physics|Optimization of orbitals for multiconfigurational reference states
1979|64.0|1.0|Annals of Statistics|Bootstrap Methods: Another Look at the Jackknife
1980|33.0|2.0|Journal of Chemical Physics|A quadratically convergent multiconfigurationselfconsistent field method with simultaneous optimization of orbitals and CI coefficients
1981|108.0|2.0|Journal of Geophysical Research|Gradients in silicic magma chambers: Implications for lithospheric magmatism
1982|34.0|2.0|Archive for Rational Mechanics and Analysis|Convergence of Approximate Solutions to Conservation Laws
1983|44.0|2.0|Journal of Chemical Physics|Chemistry in noninteger dimensions between two and three. II. Fractal surfaces of adsorbents
1984|62.0|2.0|Journal of Chemical Physics|Study of an F center in molten KCl
1985|43.0|1.0|Electrochimica Acta|Fractal dimension and fractional power frequency-dependent impedance of blocking electrodes
1986|364.0|3.0||Learning internal representations by error propagation
1987|64.0|2.0|Journal of Chemical Physics|Analytic evaluation of energy gradients for the single and double excitation coupled cluster (CCSD) wave function: Theory and application
1988|79.0|3.0|Journal of Chemical Physics|A multicenter numerical integration scheme for polyatomic molecules
1989|63.0|2.0|international conference on computer graphics and interactive techniques|A Ray tracing algorithm for progressive radiosity
1990|158.0|2.0|Journal of Chemical Physics|An allelectron numerical method for solving the local density functional for polyatomic molecules
1991|89.0|2.0|international joint conference on artificial intelligence|Where the really hard problems are
1992|122.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Characterization of signals from multiscale edges
1993|147.0|2.0|IEEE Transactions on Information Theory|Universal approximation bounds for superpositions of a sigmoidal function
1994|133.0|2.0|Journal of Animal Ecology|Directions in conservation biology
1995|140.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Shape modeling with front propagation: a level set approach
1996|91.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Region competition: unifying snakes, region growing, and Bayes/MDL for multiband image segmentation
1997|336.0|2.0|Journal of Computational Physics|High resolution schemes for hyperbolic conservation laws
1998|77.0|2.0|BMJ|Adverse socioeconomic conditions in childhood and cause specific adult mortality: prospective observational study
1999|161.0|3.0|Circulation|Increased NADH-OxidaseMediated Superoxide Production in the Early Stages of Atherosclerosis Evidence for Involvement of the Renin-Angiotensin System
2000|170.0|3.0|JAMA|A 3-Level Prognostic Classification in Septic Shock Based on Cortisol Levels and Cortisol Response to Corticotropin
2001|395.0|3.0|IEEE Transactions on Image Processing|Active contours without edges
2002|255.0|4.0|NeuroImage|IMPROVED OPTIMIZATION FOR THE ROBUST AND ACCURATE LINEAR REGISTRATION AND MOTION CORRECTION OF BRAIN IMAGES
2003|621.0|4.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Kernel-based object tracking
2004|311.0|4.0|Journal of Machine Learning Research|Learning the Kernel Matrix with Semidefinite Programming
2005|857.0|4.0|Journal of Computational Chemistry|GROMACS: Fast, flexible, and free
2006|202.0|4.0|Proceedings of the National Academy of Sciences of the United States of America|Direct protein interaction underlies gene-for-gene specificity and coevolution of the flax resistance genes and flax rust avirulence genes
2007|552.0|3.0|Magnetic Resonance in Medicine|Sparse MRI: The application of compressed sensing for rapid MR imaging.
2008|493.0|4.0|Nature Genetics|Genome-wide association scan in women with systemic lupus erythematosus identifies susceptibility variants in ITGAM, PXK, KIAA1542 and other loci
2009|473.0|4.0|Annals of Neurology|Cerebrospinal fluid biomarker signature in Alzheimer's disease neuroimaging initiative subjects
2010|963.0|4.0|Journal of Statistical Software|Solving Differential Equations in R: Package deSolve
