----  Field Name Cancer research: 
----  Field Level 1.0: 
----  Field Papers Number 21163:
----  All time max citation paper: Mutations of the BRAF gene in human cancer, 2002, (4122.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1982|5.0|5.0|Cancer and Metastasis Reviews|Themotaxis of metastatic tumor cells
1984|9.0|5.5|Nature|42,000-molecular weight EGF receptor has protein kinase activity
1985|32.0|22.0|Cell|The Drosophila EGF receptor gene homolog: Conservation of both hormone binding and kinase domains
1986|94.0|9.0|Nature|Similarity of protein encoded by the human c-erb-B-2 gene to epidermal growth factor receptor.
1988|99.0|15.0|Science|Blocking of EGF-dependent cell proliferation by EGF receptor kinase inhibitors
1989|2.0|2.0|Clinical & Experimental Metastasis|Characterization of thrombospondin synthesis, secretion and cell surface expression by human tumor cells
1990|130.0|7.0|Cell|The trkB tyrosine protein kinase gene codes for a second neurogenic receptor that lacks the catalytic kinase domain
1991|18.0|7.0|Journal of Cell Biology|The NSR1 gene encodes a protein that specifically binds nuclear localization sequences and has two RNA recognition motifs.
1992|49.0|11.0|Genomics|Genomic organization, chromosomal localization, and independent expression of human cyclin D genes
1993|61.0|13.5|European Journal of Immunology|APO1 mediated apoptosis or proliferation in human chronic B lymphocytic leukemia: Correlation with bcl2 oncogene expression
1994|488.0|12.0|Cell|Cyclins and cancer II: Cyclin D and CDK inhibitors come of age
1995|170.0|12.0|Cell|Alternative reading frames of the INK4a tumor suppressor gene encode two unrelated proteins capable of inducing cell cycle arrest
1996|204.0|12.0|Cell|A Putative Chemokine Receptor, BLR1, Directs B Cell Migration to Defined Lymphoid Organs and Specific Anatomic Compartments of the Spleen
1997|326.0|15.0|Cell|The IB Kinase Complex (IKK) Contains Two Kinase Subunits, IKK and IKK, Necessary for IB Phosphorylation and NF-B Activation
1998|360.0|16.0|Cell|ARF Promotes MDM2 Degradation and Stabilizes p53: ARF-INK4a Locus Deletion Impairs Both the Rb and p53 Tumor Suppression Pathways
1999|135.0|12.0|Cell|Structure of CheA, a Signal-Transducing Histidine Kinase
2000|346.0|9.0|Cancer Research|The Pezcoller Lecture: Cancer Cell Cycles Revisited
2001|208.0|15.0|Cell|-Catenin Controls Hair Follicle Morphogenesis and Stem Cell Differentiation in the Skin
2002|984.0|10.0|Nature|Mutations of the BRAF gene in human cancer
2003|731.0|11.0|Nature|DNA damage activates ATM through intermolecular autophosphorylation and dimer dissociation
2004|382.0|12.0|Cell|Mechanism of Activation of the RAF-ERK Signaling Pathway by Oncogenic Mutations of B-RAF
2005|914.0|14.0|Nature|A unique clonal JAK2 mutation leading to constitutive signalling causes polycythaemia vera
2006|417.0|18.0|Molecular Cancer|Analysis of gene expression and chemoresistance of CD133+ cancer stem cells in glioblastoma
2007|651.0|18.0|Nature|Identification of the transforming EML4|[ndash]|ALK fusion gene in non-small-cell lung cancer
2008|342.0|22.0|Nature|Identification of ALK as a major familial neuroblastoma predisposition gene
2009|479.0|24.0|Nature|Structural insight into the autoinhibition mechanism of AMP-activated protein kinase
2010|609.0|32.5|Nature|RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth
