----  Field Name Combinatorics: 
----  Field Level 1.0: 
----  Field Papers Number 92586:
----  All time max citation paper: Collective dynamics of 'small-world' networks, 1998, (10030.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1941|1.0|1.0|Journal of Allergy|Skin testing methods: Multiple single sitting vs. serial small group tests
1942|0|0.0|Transactions of the American Mathematical Society|Ergodic theorems for Abelian semigroups
1945|1.0|1.0|Transactions of the American Mathematical Society|Remarks on ergodic theorems
1949|2.0|2.0|Transactions of the American Mathematical Society|Abstract ergodic theorems and weak almost periodic functions
1950|0|0.0|Bulletin of the American Mathematical Society|Self-dual configurations and regular graphs
1951|1.0|0.5|Proceedings of the American Mathematical Society|An ergodic theorem for a noncommutative semigroup of linear operators
1952|2.0|1.5|Psychometrika|The closure factors related to other cognitive processes
1953|4.0|4.0|Journal of Chemical Physics|On the Theory of the Virial Development of the Equation of State of Monoatomic Gases
1954|4.0|4.0|Journal of Chemical Physics|The Box Model and Electron Densities in Conjugated Systems
1955|3.0|1.5|Transactions of the American Mathematical Society|The number of linear, directed, rooted, and connected graphs
1958|0|0.0|Bulletin of the American Mathematical Society|Von Neumann on measure and ergodic theory
1959|3.0|3.0|Management Science|Graph Theoretic Methods in the Management Sciences
1960|3.0|2.5|Colloid and Polymer Science|The Isotropy of Gaussian Molecular Networks and the Stress-Birefringence Relations for Rubberlike Materials Cross-Linked in Stressed States
1961|3.0|1.0|Proceedings of The Institute of Radio Engineers|Time-Varying Networks, I
1962|2.0|2.0|Journal of Mathematical Analysis and Applications|The probabilistic method for problems of radiative transfer XIII. Diffusion matrix
1963|9.0|1.0|Pacific Journal of Mathematics|Strongly regular graphs, partial geometries and partially balanced designs.
1964|15.0|1.0|Journal of Chemical Physics|Molecular Distributions at Equilibrium. I. Theory of Equilibria in Scrambling Reactions and Interpretation of NMR Spectra
1965|10.0|4.5|Journal of Geophysical Research|The infrared limb darkening of Venus
1966|7.0|3.5|Mathematische Annalen|Ergodic theory and virtual groups
