----  Field Name Computational physics: 
----  Field Level 1.0: 
----  Field Papers Number 2190:
----  All time max citation paper: Unified Analysis of Discontinuous Galerkin Methods for Elliptic Problems, 2001, (854.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1971|3.0|3.0|Communications of The ACM|Applications of symbol manipulation in theoretical physics
1978|13.0|13.0|Bulletin of the American Mathematical Society|Quasi-Monte Carlo methods and pseudo-random numbers
1981|2.0|2.0|Mathematics of Computation|Discontinuous Galerkin methods for ordinary differential equations
1982|1.0|1.0|Computer Physics Communications|On number theoretical methods for multidimensional numerical integration
1984|20.0|20.0|Computer Methods in Applied Mechanics and Engineering|Finite element methods for linear hyperbolic problems
1985|2.0|1.5|Transactions of the American Mathematical Society|Homomorphisms between generalized Verma modules
1987|23.0|23.0|International Journal for Numerical Methods in Fluids|Recent progress in the development and understanding of SUPG methods with special reference to the compressible Euler and NavierStokes equations
1989|0|0.0|Computational Mechanics|Space-time discontinuous finite element approximations for multi-dimensional nonlinear hyperbolic systems
1990|11.0|2.0|Mathematics of Computation|The Runge-Kutta local projection discontinuous Galerkin finite element method for conservation laws. IV. The multidimensional case
1991|4.0|2.0|Mathematics of Computation|A quasi-Monte Carlo method for the Boltzmann equation
1992|15.0|0.0|ACM Transactions on Modeling and Computer Simulation|Implementation and tests of low-discrepancy sequences
1993|12.0|3.0|Computer Methods in Applied Mechanics and Engineering|Discontinuous Galerkin finite element methods for second order hyperbolic problems
1994|17.0|11.5|Siam Review|Quasi-random methods for estimating integrals using relatively small samples
1995|9.0|1.0||Quasi-Monte Carlo Methods for Particle Transport Problems
1996|20.0|6.0|Management Science|Quasi-Monte Carlo methods in numerical finance
1997|68.0|3.0|Journal of Economic Dynamics and Control|Monte Carlo methods for security pricing
1998|51.0|4.0|Journal of Computational Physics|A discontinuous hp finite element method for diffusion problems
1999|29.0|5.0||The development of discontinuous Galerkin methods
2000|56.0|3.0|Physics Reports|Colossal Magnetoresistant Materials: The Key Role of Phase Separation
2001|127.0|3.0|SIAM Journal on Numerical Analysis|Unified Analysis of Discontinuous Galerkin Methods for Elliptic Problems
2002|101.0|5.0|Journal of Scientific Computing|RungeKutta Discontinuous Galerkin Methods for Convection-Dominated Problems
2003|62.0|4.0|Transportation Research Part B-methodological|Simulation estimation of mixed discrete choice models using randomized and scrambled Halton sequences
2004|84.0|6.0|The International Journal of Robotics Research|On the Relationship between Classical Grid Search and Probabilistic Roadmaps
2005|62.0|5.0|IEEE Aerospace and Electronic Systems Magazine|Nonlinear filters: beyond the Kalman filter
2006|66.0|5.0|Geophysical Journal International|An arbitrary highorder discontinuous Galerkin method for elastic waves on unstructured meshes  I. The twodimensional isotropic case with external source terms
2007|60.0|6.0|Journal of Scientific Computing|Spectral Difference Method for Unstructured Grids II: Extension to the Euler Equations
2008|77.0|6.0|Journal of Computational Physics|A unified framework for the construction of one-step finite volume and discontinuous Galerkin schemes on unstructured meshes
2009|89.0|6.0|Journal of Computational Physics|Nodal discontinuous Galerkin methods on graphics processors
2010|77.0|7.0|Journal of Computational Physics|On maximum-principle-satisfying high order schemes for scalar conservation laws
