----  Field Name Computer hardware: 
----  Field Level 1.0: 
----  Field Papers Number 22207:
----  All time max citation paper: Scale-space and edge detection using anisotropic diffusion, 1990, (4356.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1964|3.0|2.5|IEEE Transactions on Reliability|Digital Circuit Redundancy
1965|0|0.0|IEEE Transactions on Parts, Materials and Packaging|P-N Junction Electroluminescence and Diode Lasers
1966|7.0|4.0|Proceedings of the IEEE|A user machine in a time-sharing system
1967|6.0|3.5|Proceedings of the IEEE|An introduction to computer graphic terminals
1968|1.0|1.0|IEEE Spectrum|Human enhancement: Beyond the machine age
1969|5.0|5.0|IEEE Transactions on Computers|Translation of a DDL Digital System Specification to Boolean Equations
1970|6.0|3.5|IEEE Transactions on Audio and Electroacoustics|Designing simple, effective digital filters
1971|9.0|2.0|IEEE Transactions on Circuit Theory|Effect of finite word length on the accuracy of digital filters--a review
1972|9.0|7.0|Proceedings of the IEEE|Effects of finite register length in digital filtering and the fast Fourier transform
1973|25.0|1.0|IEEE Transactions on Computers|On The Advantages of Tagged Architecture
1974|5.0|0.0|IEEE Transactions on Computers|An Algorithm for High-Speed Digital Filters
1975|4.0|2.0|Proceedings of the IEEE|Modern central processor architecture
1976|43.0|2.0|IEEE Transactions on Information Theory|New directions in cryptography
1977|11.0|2.0|IEEE Transactions on Computers|On the Effective Bandwidth of Parallel Memories
1978|36.0|1.0|Proceedings of the IEEE|An introduction to local area networks
1979|17.0|3.0|design automation conference|SABLE: A Tool for Generating Structured, Multi-Level Simulations
1980|11.0|2.0|IEEE Transactions on Communications|DNA: The Digital Network Architecture
1981|31.0|2.0|IEEE Transactions on Computers|Trace Scheduling: A Technique for Global Microcode Compaction
1982|33.0|3.0|IEEE Transactions on Computers|The Extra Stage Cube: A Fault-Tolerant Interconnection Network for Supersystems
1983|35.0|2.0|IEEE Transactions on Computers|A Combinatorial Limit to the Computing Power of VLSI Circuits
1984|39.0|4.0|IEEE Design & Test of Computers|A Survey of Hardware Accelerators Used in Computer-Aided Design
1985|34.0|2.0|Gene|Conversion of the Fok I endonuclease to a universal restriction enzyme: cleavage of phage M13mp7 DNA at predetermined sites
1986|43.0|2.0|design automation conference|Using Bottom-Up Design Techniques in the Synthesis of Digital Hardware from Abstract Behavioral Descriptions
1987|119.0|5.0|IEEE Computer|No Silver Bullet Essence and Accidents of Software Engineering
1988|101.0|3.0|architectural support for programming languages and operating systems|A VLIW architecture for a trace scheduling compiler
1989|57.0|3.0|IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems|Algorithms for hardware allocation in data path synthesis
1990|164.0|2.0|Proceedings of the IEEE|The high-level synthesis of digital systems
1991|95.0|2.0|IEEE Transactions on Software Engineering|The x-Kernel: an architecture for implementing network protocols
1992|206.0|3.0|IEEE Computer|The Stanford Dash multiprocessor
1993|93.0|2.0|IEEE Transactions on Parallel and Distributed Systems|A new theory of deadlock-free adaptive routing in wormhole networks
1994|135.0|2.0|international symposium on computer architecture|Tempest and typhoon: user-level shared memory
1995|142.0|3.0|international symposium on microarchitecture|A case for NOW (Networks of Workstations)
1996|157.0|2.0|IEEE Computer|TreadMarks: shared memory computing on networks of workstations
1997|209.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Pfinder: real-time tracking of the human body
1998|224.0|3.0|IEEE Transactions on Software Engineering|Understanding code mobility
1999|223.0|4.0|IEEE Transactions on Evolutionary Computation|Multiobjective evolutionary algorithms: a comparative case study and the strength Pareto approach
2000|263.0|3.0|international conference on software engineering|Bandera: extracting finite-state models from Java source code
2001|115.0|4.0|high performance computer architecture|Dynamic thermal management for high-performance microprocessors
2002|324.0|4.0|IEEE Computer|SimpleScalar: an infrastructure for computer system modeling
2003|149.0|5.0|international symposium on computer architecture|SMARTS: accelerating microarchitecture simulation via rigorous statistical sampling
2004|148.0|4.0|IEEE Computer|Composing adaptive software
2005|494.0|3.0|information processing in sensor networks|Telos: enabling ultra-low power wireless research
2006|157.0|3.0|wireless communications and networking conference|Research challenges and applications for underwater sensor networking
2007|422.0|3.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|MonoSLAM: Real-Time Single Camera SLAM
2008|234.0|2.0|ieee international symposium on workload characterization|STAMP: Stanford Transactional Applications for Multi-Processing
2009|275.0|2.0|IEEE Pervasive Computing|The Case for VM-Based Cloudlets in Mobile Computing
2010|176.0|2.0|IEEE Transactions on Control Systems and Technology|A Survey of Fault Detection, Isolation, and Reconfiguration Methods
