----  Field Name Computer security: 
----  Field Level 1.0: 
----  Field Papers Number 120987:
----  All time max citation paper: Perceived usefulness, perceived ease of use, and user acceptance of information technology, 1989, (10379.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1928|2.0|2.0|Transactions of The British Mycological Society|The life-history and cytology of a new species of Olpidium; Olpidium radicale sp. nov.
1935|1.0|0.5|Journal of Genetics|A review of genetic studies on the transplantation of tumors.
1938|1.0|1.0|Parasitology|Diploscapter coronata as a facultative parasite of man, with a general review of vertebrate parasitism by rhabditoid worms.
1940|2.0|0.0|JAMA Pediatrics|Dietary and Metabolic Studies of Eskimo Children with and without Dental Caries including Studies of the Metabolic Balances of Calcium, Phosphorus and Nitrogen.
1941|0|0.0|Transactions of The British Mycological Society|Studies on Sclerotinia and Botrytis. I.
1942|0|0.0|American Journal of Botany|Tomato ringspot on Currant.
1944|5.0|5.0|Annals of Applied Biology|A two years' survey of the potato aphides in the Northern Agricultural Advisory Province
1947|2.0|1.0|Biological Reviews|The physiology of tapeworms.
1948|1.0|1.0|Annals of Applied Biology|Observations on a Virus Disease of certain Crucifers in Trinidad.
1949|3.0|3.0|Parasitology|The Ecology of the Sheep Tick, Ixodes ricinus L. Host Relation-ships of the Tick. Part 2. Observations on Hill and Moorland Grazings in northern England.
1950|6.0|1.0|Microbiology|The Mechanical Transmission and some Properties of Potato Paracrinkle Virus
1951|1.0|1.0|Transactions of The British Mycological Society|Some agaricaceae of Trinidad and Venezuela. Leucosporae: Part 1
1952|1.0|0.0|Journal of Clinical Investigation|THE INFLUENCE OF CORTISONE AND ADRENOCORTICOTROPHIC HORMONE ON BRUCELLOSIS. I. CORTISONE IN EXPERIMENTALLY INFECTED ANIMALS
1953|0|0.0||The genus Trichoderma : its relationship with Armillaria mellea (Vahl. ex Fries) Qul. and Polyporus schweinitzii Fr., together with preliminary observations on its ecology in woodland soils.
1954|2.0|1.0|Experimental Parasitology|Observations on immunity to superinfection with Schistosoma mansoni and S. haematobium in monkeys
1955|3.0|2.0|Annals of Applied Biology|VARIATION IN PLASMODIOPHORA BRASSICAE WORON.
1956|2.0|2.0|Transactions of The British Mycological Society|Haustoria o the Peronosporales.
1957|1.0|1.0|Ecological Entomology|A REVIEW OF BRITISH GLASSHOUSE THYSANOPTERA
1959|11.0|6.0|Annals of Applied Biology|Host range studies with fifty-two plant viruses.
1960|39.0|2.0|Virology|The fine structure of polyoma virus
1961|13.0|4.0|Virology|Cell-virus interactions with the polyoma virus. II. Studies on the nature of the interaction in tumor cells.
1962|13.0|6.0|Virology|Two distinctive strains of tobacco mosaic virus
1963|14.0|2.0|Journal of Applied Physics|DISLOCATION MULTIPOLES AND THEIR ROLE IN STRAIN-HARDENING,
1964|6.0|6.0|Annals of Applied Biology|Studies on the lettuce bigvein virus and its vector Olpidium brassicae (Wor.) Dang
1965|12.0|4.0|Cell and Tissue Research|HISTOCHEMICAL DEMONSTRATION OF MONOAMINE OXIDASE IN THE ttYPOTHALAMO-HYP OPHYSIAL SYSTEM OF THE TREE SPARROW AND THE RAT*
1966|7.0|0.5|The New England Journal of Medicine|Alcohol hypoglycemia. 5. Alcohol infusion to test gluconeo-genesis in starvation, with special reference to obesity.
1967|17.0|2.0|Cancer Research|Induction and regression of primary moloney sarcoma virus-induced tumors in mice.
1968|90.0|4.0|Psychology of Learning and Motivation|Human memory ; A proposed system and its control processes
1969|65.0|2.0|International Journal of Cancer|Studies on cellular immunity and its serummediated inhibition in moloneyvirusinduced mouse sarcomas
1970|65.0|3.0|International Journal of Cancer|Colony inhibition studies on blocking and nonblocking serum effects on cellular immunity to moloney sarcomas
1971|144.0|3.0|Journal of Geophysical Research|Reykjanes ridge crest: A detailed geophysical study
1972|29.0|4.5|Communications of The ACM|A hardware architecture for implementing protection rings
1973|47.0|3.0|Advances in Cancer Research|Genetic control of murine viral leukemogenesis.
1974|71.0|3.0|Communications of The ACM|HYDRA: the kernel of a multiprocessor operating system
1975|94.0|4.5|Virology|Clonal cell lines from a feral mouse embryo which lack host-range restrictions for murine leukemia viruses.
1976|49.0|5.0|Journal of Geophysical Research|Upper crustal structure as a function of plate age
1977|105.0|5.0|Cell|Transfer of purified herpes virus thymidine kinase gene to cultured mouse cells
1978|106.0|4.0|Communications of The ACM|A method for obtaining digital signatures and public-key cryptosystems
1979|59.0|3.0|Nature|T antigen is bound to a host protein in SV40-transformed cells.
1980|81.0|2.0|Cell|Structure of the Abelson murine leukemia virus genome and the homologous cellular gene: Studies with cloned viral DNA
1981|41.0|2.0|Cell|Cloned mouse mammary tumor virus DNA is biologically active in transfected mouse cells and its expression is stimulated by glucocorticoid hormones
1982|90.0|4.0|Cell|Many tumors induced by the mouse mammary tumor virus contain a provirus integrated in the same region of the host genome.
1983|59.0|2.0|Cell|Activation of mouse genes in transformed cells
1984|43.0|2.0|Educational Researcher|The 2 Sigma Problem: The Search for Methods of Group Instruction as Effective as One-to-One Tutoring
1985|49.0|3.5|Journal of the ACM|Synchronizing clocks in the presence of faults
1986|82.0|2.0|Journal of Financial Economics|Valuation effects of security offerings and the issuance process
1987|88.0|3.0|Neuroscience|Delayed neurotoxicity of excitatory amino acids In vitro
1988|90.0|3.0||Kerberos: An authentication service for open network systems
1989|70.0|3.0|ACM Transactions on Information Systems|Petri-net-based hypertext: document structure with browsing semantics
1990|156.0|2.0|ACM Computing Surveys|Federated database systems for managing distributed, heterogeneous, and autonomous databases
1991|114.0|2.0|Journal of Dairy Science|Methods for Dietary Fiber, Neutral Detergent Fiber, and Nonstarch Polysaccharides in Relation to Animal Nutrition
1992|113.0|2.0|international cryptology conference|The MD4 Message Digest Algorithm
1993|72.0|3.0|The EMBO Journal|Caveolae and Sorting in the Trans-Golgi Network of Epithelial-Cells
1994|135.0|3.0|international symposium on computer architecture|Tempest and typhoon: user-level shared memory
1995|290.0|3.0|international symposium on computer architecture|The SPLASH-2 programs: characterization and methodological considerations
1996|193.0|3.0|The Lancet|Prevalence of Kaposi's sarcoma associated herpesvirus infection measured by antibodies to recombinant capsid protein and latent immunofluorescence antigen
1997|223.0|3.0|IEEE Transactions on Image Processing|Secure spread spectrum watermarking for multimedia
1998|235.0|4.0|The Lancet|Visceral abdominal-fat accumulation associated with use of indinavir
1999|672.0|5.0|The Journal of Pathology|Human papillomavirus is a necessary cause of invasive cervical cancer worldwide.
2000|362.0|5.0|acm ieee international conference on mobile computing and networking|GPSR: greedy perimeter stateless routing for wireless networks
2001|489.0|6.0|symposium on operating systems principles|Wide-area cooperative storage with CFS
2002|859.0|6.0|Computer Networks|Wireless sensor networks: a survey
2003|863.0|6.0|symposium on operating systems principles|Xen and the art of virtualization
2004|840.0|5.0|International Journal of Computer Vision|Robust Real-Time Face Detection
2005|832.0|4.0|Computer Networks and Isdn Systems|Wireless mesh networks: a survey
