----  Field Name Crystallography: 
----  Field Level 1.0: 
----  Field Papers Number 99770:
----  All time max citation paper: A short history of SHELX, 2008, (5006.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1938|0|0.0|Proceedings of The Indian Academy of Sciences-mathematical Sciences|The Raman spectrum and constitution of pentaerythritol
1941|0|0.0|Philosophical Magazine Series 1|VI. The crystal structures of some heterocyclic organic compounds of analogous constitution.Part I. Thianthren and selenanthren
1943|0|0.0|Proceedings of The Indian Academy of Sciences-mathematical Sciences|Luminescence spectra and vibrations in crystal lattices
1944|0|0.0|Proceedings of The Indian Academy of Sciences-mathematical Sciences|The specific heat of metals crystallising in the cubic sytem
1946|0|0.0|Journal of the American Oil Chemists' Society|Diffraction patterns of two crystalline forms of oleic acid
1947|2.0|1.0|Journal of Chemical Physics|Forces between Tetrahalide Molecules
1950|6.0|0.0|Journal of Applied Physics|Formation of Crystal Nuclei in Liquid Metals
1951|2.0|1.0|Journal of the American Ceramic Society|Study of Particle Size of the Opacifying Phase in Titania Enamels: I, Change of Particle Size with Change of Concentration of Dissolved TiO2
1952|6.0|6.0|Journal of Chemical Physics|The Host Crystal Luminescence of Zinc Sulfide Phosphors
1953|3.0|1.0|Geochimica et Cosmochimica Acta|The microcline-sanidine stability relations
1954|1.0|1.0|Nature|Crystal Structure of Benzene at 3 C.
1955|11.0|5.0|Journal of Chemical Physics|Intermolecular Potentials of Argon, Krypton, and Xenon
1956|10.0|5.5|Journal of Chemical Physics|Relative Magnitude of Crystalline Fields; Crystal Structure of Methyl Iodide
1957|5.0|0.0|Journal of Chemical Physics|Vibration Spectrum and Heat Capacity of a Chain Polymer Crystal
1958|10.0|1.0|Journal of Chemical Physics|Neutron Diffraction Study of Gypsum, CaSO42H2O
1959|11.0|2.0|Journal of Chemical Physics|PARAMAGNETIC RESONANCE ABSORPTION IN NEPTUNIUM HEXAFLUORIDE
1960|16.0|2.0|Journal of Applied Physics|Photoemission and Related Properties of the AlkaliAntimonides
1961|19.0|2.0|Journal of Applied Physics|LowAngle XRay Diffraction of Crystalline Nonoriented Polyethylene and Its Relation to Crystallization Mechanisms
1962|18.0|2.0|Journal of the American Ceramic Society|Deformation Behavior of Polycrystalline Aluminum Oxide
1963|27.0|2.0|Journal of Chemical Physics|On the Excess Electron and Hole Band Structures and Carrier Mobility in Naphthalene, Anthracene, and Several Polyphenyls
1964|19.0|2.0|Geochimica et Cosmochimica Acta|The growth of the Widmansttten pattern in metallic meteorites
1965|22.0|1.0|Journal of Geophysical Research|The pressure derivatives of the sound velocities of polycrystalline magnesia
1966|9.0|1.0|Journal of Molecular Biology|Reaction kinetics of a crystalline hemoprotein: An effect of crystal structure on reactivity of ferrimyoglobin
1967|62.0|1.0|Icarus|Chondrites - Their metallic minerals, thermal histories, and parent planets.
1968|16.0|0.0|Engineering Fracture Mechanics|Sub-critical flaw growth
1969|38.0|1.0|Journal of Cell Biology|MICROTUBULAR CRYSTALS IN MAMMALIAN CELLS
1970|35.0|1.0|Journal of Molecular Biology|A Pyrimidine nucleoside in the syn conformation: Molecular and crystal structure of 4-thiouridine-hydrate
1971|55.0|1.0|Biopolymers|Stereochemistry of nucleic acids and their constituents. X. solidslate baseslacking patterns in nucleic acid constituents and polynucleotides
1972|32.0|1.0|Geochimica et Cosmochimica Acta|Kinetic disequilibrium in trace element partitioning between phenocrysts and host lava
1973|22.0|1.0|Geochimica et Cosmochimica Acta|Patterns of trace element partitioning
1974|32.0|1.0|Geochimica et Cosmochimica Acta|Clinopyroxene-matrix partitioning of K, Rb, Cs, Sr and Ba
1975|37.0|1.0|Journal of Molecular Biology|Crystal structure of sickle-cell deoxyhemoglobin at 5  resolution
1976|34.0|1.0|Journal of Molecular Biology|RNA double-helical fragments at atomic resolution: II. The crystal structure of sodium guanylyl-3,5-cytidine nonahydrate
1977|51.0|2.0|Journal of Catalysis|The conversion of methanol and other O-compounds to hydrocarbons over zeolite catalysts
1978|69.0|2.0|Applied Physics Letters|Spatially controlled crystal regrowth of ion-implanted silicon by laser irradiation
