----  Field Name Database: 
----  Field Level 1.0: 
----  Field Papers Number 107821:
----  All time max citation paper: SWISSMODEL and the SwissPdb Viewer: An environment for comparative protein modeling, 1997, (4781.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1940|4.0|4.0|Journal of Genetics|The determination of position in crossing-over. III. The evidence of metaphase chiasmata.
1941|3.0|3.0|JAMA Pediatrics|DEVELOPMENTAL PATTERN OF THE CHILD AS REFLECTED IN THE CALCIFICATION PATTERN OF THE TEETH
1942|0|0.0|Archives of Surgery|Practical Method of Predicting the Growth of the Femur and Tibia in the Child
1944|0|0.0|American Journal of Orthodontics and Oral Surgery|Dental abnormalities as found in the American Indian
1945|0|0.0|American Antiquity|Periods of Prehistoric Art in the Aleutian Islands
1947|0|0.0|Cellular and Molecular Life Sciences|Elektrische Betubung und elektrische Narkose
1949|0|0.0|American Antiquity|Excavation of Tommy Tucker Cave, Lassen County, California
1950|3.0|0.0|Economic Botany|The taxonomy, genetics, production and uses of the cultivated species of Cucrbita.
1951|2.0|2.0|Arctic|A New View of the History of the Aleutians
1952|0|0.0|American Journal of Physical Anthropology|Fluorine and other chemical tests of some North American human and fossil bones
1953|1.0|0.5|Oral Surgery, Oral Medicine, Oral Pathology|The occurrence of torus palatinus and torus mandibularis in 2,478 dental patients
1954|5.0|1.0||Statistical Computation of Mean Dimensions of Macromolecules. I
1957|4.0|2.5|The New England Journal of Medicine|Salmonella Osteomyelitis in Patients With Sickle Cell Anemia
1958|0|0.0|American Anthropologist|ORIGIN OF THE MESCAL BEAN CULT
1959|20.0|0.0|Journal of Chemical Physics|Interpretation of the ElectronSpin Resonance Spectrum of the Methyl Radical
1960|6.0|1.5|Journal of Dairy Science|A Comparison of Dairy Sire Progeny Tests Made at Special Danish Testing Stations with Tests Made in Farmer Herds
1961|1.0|1.0|Botany|Taxonomy, morphology, and pathogenicity of Rhizoctonia species from forest nurseries
1963|3.0|2.0|Planetary and Space Science|IONIZATION IN THE D-REGION DURING AURORAL BREAK UP EVENTS,
1964|11.0|1.5|American Journal of Orthodontics|A study of the postnatal growth of the human mandible
1965|15.0|2.0|Journal of Chemical Physics|On the Theory of Electron-Transfer Reactions. VI. Unified Treatment for Homogeneous and Electrode Reactions
1966|12.0|7.0|JAMA|Prevalence of osteoporosis in high- and low-fluoride areas in North Dakota.
1967|58.0|0.5|Journal of the ACM|A Machine-Independent Theory of the Complexity of Recursive Functions
1968|32.0|2.0|Science|Sea Levels during the Past 35,000 Years
1969|9.0|1.5||A comparison of file organization techniques
1970|13.0|2.0||Adsorption of triazine herbicides on soil organic matter, including a short review on soil organic matter chemistry.
1971|21.0|2.0|Journal of Geophysical Research|Electrical conductivity and temperature of the lunar interior from magnetic transientresponse measurements
1972|24.0|1.0|IEEE Transactions on Computers|Some Computer Organizations and Their Effectiveness
