----  Field Name Econometrics: 
----  Field Level 1.0: 
----  Field Papers Number 12205:
----  All time max citation paper: Initial conditions and moment restrictions in dynamic panel data models, 1998, (2440.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1936|1.0|1.0|Botanical Review|The chemistry and physiology of the pectins. II
1949|0|0.0|Economic Botany|Mycological production of citric acid the submerged culture method
1951|0|0.0|Economic Botany|Small grains for starch production
1954|1.0|1.0|Economic Botany|Industrial production and utilization of enzymes from flowering plants
1955|4.0|2.5|Journal of the Science of Food and Agriculture|The value of certain agricultural, marine and industrial products and byproducts in livestock feeding. II. Nonruminants
1957|1.0|1.0|Management Science|A Linear Programming Solution to Dynamic Leontief type Models
1958|0|0.0|Metroeconomica|A MACROECONOMIC MODEL OF GROWTH AND FLUCTUATION
1964|0|0.0|Economic Botany|The occurrence and industrial production of Rutin in Southeastern Australia
1966|0|0.0|IEEE Spectrum|Superconducting thin-film technology and applications
1967|0|0.0||FOUR PAPERS ON PROBLEMS OF STRATEGY
1968|0|0.0|Journal of the American Oil Chemists' Society|Tung oil research and development at the southern regional laboratory
1969|9.0|6.5|Journal of Economic Theory|On Market Games,
1970|6.0|0.0|Geochimica et Cosmochimica Acta|Sources of geochemical standards-II
1971|6.0|1.5|IEEE Transactions on Power Apparatus and Systems|An Experimental Alternator With A Superconducting Rotating Field Winding
1972|2.0|1.5|IEEE Transactions on Automatic Control|Simultaneous equations inference in econometrics
1973|20.0|2.5|Tellus A|Industrial production of carbon dioxide from fossil fuels and limestone
1974|22.0|5.0|IEEE Transactions on Computers|The Cost of Developing Large-Scale Software
1975|30.0|10.0|Reviews of Geophysics|Chlorofluoromethanes in the environment
1976|13.0|3.5|Journal of Political Economy|Sharing Risks of Deferred Payment
1977|5.0|2.0||Perspectives for the international location of the steel industry
1978|27.0|2.0|The Economic Journal|A Politico-Economic Model of the United Kingdom
1979|11.0|1.0|Decision Sciences|Two-Piece von Neumann-Morgenstern Utility Functions.
1980|6.0|1.5||Methods for estimating continuous time Rational Expectations models from discrete time data
1981|136.0|2.0|Behavioral and Brain Sciences|Maximization theory in behavioral psychology
1982|47.0|2.0|ACM Computing Surveys|Computational Approaches to Image Understanding
1983|14.0|1.0|Journal of Urban Economics|Migration and Job Change: A Multinomial Logit Approach
1984|7.0|1.0|The Review of Economic Studies|Profiles of Fertility, Labour Supply and Wages of Married Women: A Complete Life-Cycle Model
1985|26.0|1.0|Journal of Regional Science|HUMAN MIGRATION: THEORY, MODELS, AND EMPIRICAL STUDIES*
1986|10.0|2.0|Journal of Economic Theory|Foundations of Dynamic Monopoly and the Coase Conjecture
1987|43.0|1.0|Journal of Econometrics|Interpreting the evidence on money-income causality
1988|16.0|1.0|Economic Modelling|Automating the computation of solutions of large economic models
1989|28.0|2.0|Management Science|Modeling managerial behavior: misperceptions of feedback in a dynamic decision making experiment
1990|54.0|1.0|Journal of Econometrics|Seasonal integration and cointegration
1991|59.0|2.0||Pitfalls and Opportunities: What Macroeconomics should know about unit roots
1992|44.0|2.0|Quarterly Journal of Economics|Transitional Dynamics in Two-Sector Models of Endogenous Growth
1993|42.0|2.0|Journal of Econometrics|Testing superexogeneity and invariance in regression models
1994|77.0|3.0|Journal of the American Statistical Association|Unit Root Tests in ARMA Models with Data-Dependent Methods for the Selection of the Truncation Lag
1995|77.0|2.0|IEEE Transactions on Knowledge and Data Engineering|Temporal and real-time databases: a survey
1996|47.0|2.0|Journal of Economic Perspectives|Bargaining and Distribution in Marriage
1997|62.0|2.0|Quarterly Journal of Economics|An Economic Model of Representative Democracy
1998|92.0|2.0|Journal of Econometrics|Initial conditions and moment restrictions in dynamic panel data models
1999|42.0|3.0|Nature Biotechnology|Conversion of Lactococcus lactis from homolactic to homoalanine fermentation through metabolic engineering
2000|204.0|3.0|Journal of Applied Econometrics|Mixed MNL models for discrete response
2001|201.0|3.0||Economic Report of the President
2002|190.0|3.0||The Impact of Trade on Intra-Industry Reallocations and Aggregate Industry Productivity
2003|165.0|4.0|Plant Journal|An enhanced transient expression system in plants based on suppression of gene silencing by the p19 protein of tomato bushy stunt virus
2004|207.0|4.0|Process Biochemistry|Cyclodextrins and their uses: a review
2005|223.0|4.0|Econometrica|TEACHERS, SCHOOLS, AND ACADEMIC ACHIEVEMENT
2006|334.0|4.0|Nature|Empathic neural responses are modulated by the perceived fairness of others
2007|424.0|4.0|Journal of Econometrics|Estimation and inference in two-stage, semi-parametric models of production processes
2008|318.0|3.0|Journal of Economic Literature|Relative Income, Happiness, and Utility: An Explanation for the Easterlin Paradox and Other Puzzles
2009|211.0|3.0|Biomaterials|Self-assembled peptide-based hydrogels as scaffolds for anchorage-dependent cells
2010|177.0|5.0|Fuel|Techno-economic analysis of biomass fast pyrolysis to transportation fuels
