----  Field Name Economy: 
----  Field Level 1.0: 
----  Field Papers Number 17617:
----  All time max citation paper: Stable Isotope Labeling by Amino Acids in Cell Culture, SILAC, as a Simple and Accurate Approach to Expression Proteomics, 2002, (2473.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1938|3.0|3.0|Journal of Hygiene|A study of English diets by the individual method: III. Pregnant women at different economic levels.
1941|4.0|4.0|Public Health Reports|Medical Evaluation of Nutritional Status: IV. The Ocular Manifestations of Avitaminosis A, with Especial Consideration of the Detection of Early Changes by Biomicroscopy
1956|16.0|8.0|Journal of Chemical Physics|Study of Organic Scintillators
1959|5.0|5.0|Journal of Dairy Science|Effect of the Dietary Ratio of Hay to Concentrate on Milk Production, Ration Digestibility, and Urinary Energy Losses
1961|1.0|1.0|Journal of the Science of Food and Agriculture|Nutrition of livestock. (2) Minerals and vitamins in the productive efficiency of livestock
1963|2.0|1.0|Nature|Mitotic rate of spontaneous mammary gland adenocarcinoma in c3h/hej mice.
1964|1.0|0.5|Cell and Tissue Research|UPTAKE OF RADIOACTIVE THYMIDINE AND CYTIDINE BY EHRLICH ASCITES TUMOR CELLS IN DIFFERENT STAGES OF GROWTH * **
1966|5.0|5.0|Nature|Growth Inhibitor of Hamster Fibroblast Cells
1967|3.0|3.0|Archives of Microbiology|Growth and gas-vacuole development in vegetative cells of Anabaena flos-aquae
1968|12.0|12.0|Journal of Dairy Science|Genetic and Environmental Relationships Among Efficiency, Yield, Consumption and Weight of Holstein Cows
1969|25.0|1.0|Cancer Research|A comparison of cell proliferation parameters in solid and ascites ehrlich tumors.
1970|9.0|2.0|Cell and Tissue Research|The development of the nucleolus of the ovarian nurse cell of Drosophila melanogaster
1971|4.0|1.5|Journal of Dairy Science|Influence of Temperature on the Growth of Psychrophilic Strains of Bacillus
1972|9.0|3.5|Population Studies-a Journal of Demography|Some observations on the economic framework for fertility analysis.
1973|20.0|2.5|Cancer Research|Development of an Animal Brain Tumor Model and Its Response to Therapy with 1,3-Bis(2-chloroethyl)-1-nitrosourea
1974|11.0|1.5|Archives of Microbiology|CO2 fixation and its regulation in Anacystis nidulans (Synechococcus).
1975|16.0|2.0||Economic analysis of projects
1976|20.0|3.0|Journal of Development Economics|Inequality, poverty and development.
1977|28.0|1.0|Development Genes and Evolution|Histological Analysis of the Dynamics of Growth of Imaginal Discs and Histoblast Nests During the Larval Development of Drosophila melanogaster*
1978|18.0|0.5|Archives of Microbiology|Growth yields of green sulfur bacteria in mixed cultures with sulfur and sulfate reducing bacteria
1979|21.0|2.0|Limnology and Oceanography|The production and fate of phytoplankton size fractions in the plume of the Hudson River, New York Bight1
1980|9.0|2.0|Archives of Microbiology|Methane Formation from Fructose by Syntrophic Associations of Acetobacterium woodii and Different Strains of Methanogens
1981|20.0|3.0|Comparative Education|Returns to Education: An Updated International Comparison.
1982|65.0|1.0|Marine Biology|Thymidine Incorporation as a Measure of Heterotrophic Bacterioplankton Production in Marine Surface Waters: Evaluation and Field Results
1983|43.0|2.0|International Journal of Radiation Oncology Biology Physics|Accelerated fractionation vs hyperfractionation: Rationales for several treatments per day
1984|30.0|1.0|Demography|Long-term economic consequences for women of delayed childbearing and reduced family size
1985|49.0|2.0|Cytometry|A method to measure the duration of DNA syntheses and the potential doubling time from a single sample
1986|39.0|3.0|Human Ecology|Correlates of reproductive success in a Caribbean village
1987|34.0|3.0|Cancer Research|Evaluation of a Tetrazolium-based Semiautomated Colorimetric Assay: Assessment of Radiosensitivity
1988|33.0|2.0|American Journal of Public Health|Racial/ethnic differences in the risk of AIDS in the United States.
1989|36.0|2.0|Journal of Marriage and Family|Gender in families: women and men in marriage work and parenthood.
1990|54.0|2.0|Journal of Econometrics|Seasonal integration and cointegration
1991|43.0|2.0|Canadian Parliamentary Review|A primer on cointegration with an application to money and income
