----  Field Name Electrical engineering: 
----  Field Level 1.0: 
----  Field Papers Number 99748:
----  All time max citation paper: Molecular dynamics with coupling to an external bath, 1984, (9270.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1932|1.0|1.0|Electrical Engineering|The Time Factor in Telephone Transmission
1935|0|0.0|Transactions of The American Institute of Electrical Engineers|Similarity Relations in Electrical Engineering
1936|0|0.0|Transactions of The American Institute of Electrical Engineers|Tensor Analysis of Multielectrode-Tube Circuits
1947|0|0.0|Transactions of The American Institute of Electrical Engineers|An Improved Cable Carrier System
1948|1.0|1.0||Neutral earthing of three-phase systems, with particular reference to large power stations
1949|0|0.0|Journal of The Franklin Institute-engineering and Applied Mathematics|Techniques of editorial research in electrical engineering
1950|0|0.0|Journal of Morphology|The effects of local xray irradiation on the tail development of young axolotls
1951|3.0|1.5|Transactions of The American Institute of Electrical Engineers|Transient Analysis of Rotating Machines and Stationary Networks by Means of Rotating Reference Frames
1952|3.0|1.5|Journal of Applied Physics|Statistical Errors in Measurements on Random Time Functions
1953|3.0|1.5|Journal of Dairy Science|A Semi-Automatic Cryoscope for Determining the Freezing Point of Milk
1954|2.0|1.0||Pulling Effect in Synchronized Systems
1955|0|0.0|IEEE Transactions on Information Theory|A bibliography on noise
1956|5.0|5.0|Journal of Applied Physics|On the Transient Behavior of Semiconductor Rectifiers
1957|5.0|0.0|Journal of Chemical Physics|Some Photoelectric Properties of Chlorophyll
1958|13.0|0.5|Journal of Chemical Physics|Evidence for the Triplet State in Photoconductivity in Anthracene
1959|2.0|0.0|Journal of Chemical Physics|Comments on J. Donohue's ``Molecular Symmetry of Iodine Heptafluoride''
1960|14.0|2.5|Virology|Polyoma virus synthesis in tumor cells as measured by the fluorescent antibody technique
1961|13.0|2.0|Virology|Cell-virus interactions with the polyoma virus. II. Studies on the nature of the interaction in tumor cells.
1962|4.0|1.0|Journal of Applied Physics|Impedance Characteristics of a MercuryVapor Plasma
1963|16.0|1.0|Journal of Applied Physics|Current Flow in Very Thin Films of Al2O3 and BeO
1964|10.0|1.0|Journal of Chemical Physics|Calculation of Chemical Shifts. I. General Formulation and the Z Dependence
1965|15.0|1.0|Journal of Experimental Zoology|Isozymes of isocitrate dehydrogenase: Subunit structure and intracellular location
1966|9.0|1.0|Proceedings of the IEEE|AEDNET: A simulator for nonlinear networks
1967|25.0|1.0|Journal of Geophysical Research|Ion temperature in the upper atmosphere
1968|61.0|1.0|Communications of The ACM|Translator writing systems
1969|33.0|1.0|Journal of Molecular Biology|Mouse nuclear satellite dna, 5-methylcytosine content, pyrimidine isoplith distribution and electron microscopic appearance.
1970|33.0|1.0|Biochemical Genetics|Mitochondrial malate dehydrogenase and malic enzyme: Mendelian inherited electrophoretic variants in the mouse.
1971|34.0|2.0|Science|Autoimmune Murine Thyroiditis Relation to Histocompatibility (H-2) Type
1972|36.0|1.0|Pflgers Archiv: European Journal of Physiology|Inward membrane currents in mammalian myocardium
1973|47.0|1.0|Advances in Cancer Research|Genetic control of murine viral leukemogenesis.
1974|39.0|2.0|Physiology & Behavior|Age-dependent polydipsia in the swr/j mouse.
1975|47.0|1.0||INGRES: a relational data base system
1976|79.0|1.0|Cell|Plasminogen activator in early embryogenesis: Enzyme production by trophoblast and parietal endoderm
1977|37.0|2.0|Biological Cybernetics|Open loop analysis of a feedback mechanism controlling leg position in the stick insect Carausius morosus: Comparison between experiment and simulation
1978|60.0|1.0|Atmospheric Environment|SULFUR BUDGET OF A POWER PLANT PLUME
1979|28.0|1.0|Icarus|Ammonia photolysis and the greenhouse effect in the primordial atmosphere of the earth
1980|93.0|2.0|Reviews of Geophysics|The heat flow through oceanic and continental crust and the heat loss of the Earth
1981|92.0|2.0|Cognitive Science|Categorization and Representation of Physics Problems by Experts and Novices*
1982|87.0|1.0|Cognitive Science|Simulating a Skilled Typist: A Study of Skilled CognitiveMotor Performance
1983|35.0|1.0|IEEE Transactions on Computers|A Combinatorial Limit to the Computing Power of VLSI Circuits
1984|79.0|2.0|Journal of Chemical Physics|Molecular dynamics with coupling to an external bath
1985|69.0|2.0|Journal of Applied Physics|Resonant tunneling transistor with quantum well base and highenergy injection: A new negative differential resistance device
1986|51.0|1.0|Proceedings of the IEEE|Wave digital filters: Theory and practice
1987|305.0|2.0|IEEE Computer|Hypertext: An Introduction and Survey
1988|125.0|2.0|IEEE Computer|Self-organization in a perceptual network
1989|82.0|2.0|Applied Physics Letters|Oscillations up to 420 GHz in GaAs/AlAs resonant tunneling diodes
1990|96.0|2.0|IEEE Transactions on Knowledge and Data Engineering|Prototyping Bubba, a highly parallel database system
1991|73.0|2.0|Management Information Systems Quarterly|Information systems management issues for the 1990s
1992|234.0|2.0|IEEE Journal of Solid-state Circuits|Low-power CMOS digital design
1993|172.0|2.0|IEEE\/ACM Transactions on Networking|A generalized processor sharing approach to flow control in integrated services networks: the multiple node case
1994|129.0|2.0|IEEE Transactions on Information Theory|Blind identification and equalization based on second-order statistics: a time domain approach
1995|157.0|2.0|Physical Review Letters|Inhibited Spontaneous Emission in Solid-State Physics and Electronics
1996|128.0|2.0|Trends in Neurosciences|Transmitter timecourse in the synaptic cleft: its role in central synaptic function
1997|185.0|2.0|field programmable custom computing machines|Garp: a MIPS processor with a reconfigurable coprocessor
1998|163.0|2.0|Nature|The molecular elasticity of the extracellular matrix protein tenascin
1999|282.0|3.0|Journal of Applied Physics|Exchange-biased magnetic tunnel junctions and application to nonvolatile magnetic random access memory (invited)
2000|467.0|3.0|international symposium on computer architecture|Wattch: a framework for architectural-level power analysis and optimizations
2001|272.0|3.0|design automation conference|Route packets, not wires: on-chip inteconnection networks
2002|229.0|3.0|IEEE Transactions on Microwave Theory and Techniques|Planar negative refractive index media using periodically L-C loaded transmission lines
2003|280.0|4.0|acm ieee international conference on mobile computing and networking|Range-free localization schemes for large scale sensor networks
2004|250.0|4.0|design automation conference|First-order incremental block-based statistical timing analysis
2005|291.0|3.0||Multiple criteria decision analysis: state of the art surveys
2006|334.0|3.0|Neural Computation|A fast learning algorithm for deep belief nets
2007|695.0|3.0|Nature|Coaxial silicon nanowires as solar cells and nanoelectronic power sources
2008|2983.0|2.0|Acta Crystallographica Section A|A short history of SHELX
2009|1392.0|2.0|Journal of Geophysical Research|Remote sensing of vegetation 3D structure for biodiversity and habitat: Review and implications for lidar and radar spaceborne missions
2010|400.0|3.0|Science|Graphene Double-Layer Capacitor with ac Line-Filtering Performance
