----  Field Name Emergency medicine: 
----  Field Level 1.0: 
----  Field Papers Number 6630:
----  All time max citation paper: Regional Variation in Out-of-Hospital Cardiac Arrest Incidence and Outcome, 2008, (766.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1963|11.0|11.0|Progress in Nucleic Acid Research and Molecular Biology|Specificity of Chemical Mutagenesis
1969|4.0|2.0|Mutation Research|Fine structure analysis of a chromosome segment in Drosophila melanogaster analysis of ethyl methanesulphonate-induced lethals
1970|0|0.0|Mutation Research|INTERACTION OF MUTATIONAL LESIONS INDUCED BY ETHYL METHANESULPHONATE AND $gamma$-RAYS IN MALES OF DROSOPHILA.
1972|6.0|3.0|Mutation Research|Dosimetry of the chemical mutagen ethyl methanesulfonate in spermatozoan DNA from Drosophila melanogaster
1974|2.0|1.5|Mutation Research|Dominant lethal mutations induced in mice by orally administered ethyl methanesulfonate
1977|0|0.0||Interorganization Relations As Structure And As Action: The Case For Emergency Medical Services In Disaster
1978|4.0|4.0|Pharmacological Research Communications|Evaluation of DNA damage and repair in mammalian cells exposed to chemical carcinogens: Methods potentially useful as short term prescreening tests
1979|6.0|6.0||Genetic and physiological factors affecting repair and mutagenesis in yeast
1980|3.0|0.5|Annals of Emergency Medicine|Knowledge and skill retention of emergency care attendants, EMT-As, and EMT-Ps
1981|28.0|14.5|Somatic Cell and Molecular Genetics|Role of deoxynucleoside triphosphate pools in the cytotoxic and mutagenic effects of DNA alkylating agents.
1982|9.0|9.0|Journal of Cellular Biochemistry|CarcinogenMediated Amplification of Specific DNA Sequences
1983|9.0|8.0|Gene|The expression in yeast of the Escherichia coli galK gene on CYCI :: galK fusion plasmids
1984|6.0|2.5|Environmental Mutagenesis|Induction of unscheduled DNA synthesis in primary cultures of rat pancreatic cells following in vivo and in vitro treatment with genotoxic agents
1985|9.0|2.0|Environmental Mutagenesis|Nick translationa new assay for monitoring dna damage and repair in cultured human fibroblasts
1986|6.0|1.0|Physiological and Molecular Plant Pathology|Cutinase deficient mutants of Colletotrichum gloeosporioides are nonpathogenic to papaya fruit
1987|8.0|3.0|Annals of Emergency Medicine|Design of a resident in-field experience for an emergency medicine residency curriculum
1988|10.0|2.0|American Journal of Emergency Medicine|Sudden cardiac arrest in Israel: Factors associated with successful resuscitation
1989|12.0|2.0|Epilepsia|Seizures and Seizure Care in an Emergency Department
1990|100.0|2.0|Annals of Emergency Medicine|Cardiac arrest and resuscitation: A tale of 29 cities
1991|10.0|1.0|Annals of Emergency Medicine|Indigent health care in emergency medicine: An academic perspective
1992|14.0|2.5|Annals of Emergency Medicine|Factors associated with career longevity in residency-trained emergency physicians
1993|28.0|4.0|Annals of Emergency Medicine|Predicting survival from out-of-hospital cardiac arrest: A graphic model
1994|46.0|3.0|Journal of the American College of Cardiology|Emergency coronary stenting for dissection during percutaneous transluminal coronary angioplasty: Angiographic follow-up after stenting and after repeat angioplasty of the stented segment
1995|22.0|2.0|Resuscitation|The first European pre-hospital active compression-decompression (ACD) cardiopulmonary resuscitation workshop: a report and a review of ACD-CPR
1996|29.0|3.0||The Transmission of Monetary Policy in the European Countries
1997|25.0|3.0|Resuscitation|One-year survival after out-of-hospital cardiac arrest in Bonn city: outcome report according to the Utstein style
1998|60.0|4.0|Annals of Emergency Medicine|Airway Management in the Emergency Department: A One-Year Study of 610 Tracheal Intubations
1999|40.0|4.0|Annals of Emergency Medicine|Methodologic standards for the development of clinical decision rules in emergency medicine.
2000|53.0|4.0|JAMA|Weapons of Mass Destruction Events With Contaminated Casualties: Effective Planning for Health Care Facilities
2001|35.0|3.0|Resuscitation|Recombinant tissue plasminogen activator during cardiopulmonary resuscitation in 108 patients with out-of-hospital cardiac arrest
2002|113.0|5.0|Proceedings of the National Academy of Sciences of the United States of America|Emergency response to a smallpox attack: The case for mass vaccination
2003|80.0|5.0|Annals of Emergency Medicine|A conceptual model of emergency department crowding
2004|103.0|5.0|Resuscitation|Incidence of EMS-treated out-of-hospital cardiac arrest in the United States
2005|74.0|5.0|Resuscitation|Incidence of EMS-treated out-of-hospital cardiac arrest in Europe
2006|116.0|6.0|Trends in Molecular Medicine|Emerging medicinal roles for lysophospholipid signaling
2007|143.0|6.0|Journal of General Internal Medicine|Implicit Bias Among Physicians and Its Prediction of Thrombolysis Decisions for Black and White Patients
2008|532.0|7.0|JAMA|Regional Variation in Out-of-Hospital Cardiac Arrest Incidence and Outcome
2009|241.0|5.0|Thorax|BTS guidelines for the management of community acquired pneumonia in adults: update 2009
2010|183.0|6.0|BMC Public Health|Systematic review of mass media interventions designed to improve public recognition of stroke symptoms, emergency response and early treatment
