----  Field Name Engineering Management: 
----  Field Level 1.0: 
----  Field Papers Number 1592:
----  All time max citation paper: A metrics suite for object oriented design, 1994, (2112.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1980|32.0|19.5|IEEE Transactions on Communications|Formal Methods in Communication Protocol Design
1982|5.0|5.0|IEEE Control Systems Magazine|CLADP: The Cambridge linear analysis and design programs
1983|17.0|17.0|IEEE Transactions on Software Engineering|Software Science Revisited: A Critical Analysis of the Theory and Its Empirical Support
1984|16.0|1.0|IEEE Transactions on Software Engineering|Managing Software Engineering Projects: A Social Analysis
1985|31.0|22.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Representation of Activity Knowledge for Project Management
1986|0|0.0||Common problems and pitfalls in gear design
1987|12.0|6.5|design automation conference|An Object-Oriented Approach to Data Management: Why Design Databases Need It
1988|13.0|1.0|IEEE Intelligent Systems|KBRA: A new paradigm for requirements engineering
1989|11.0|4.0|IEEE Transactions on Knowledge and Data Engineering|The ROSE data manager: using object technology to support interactive engineering applications
1990|119.0|2.0|IEEE Computer|Real-time scheduling theory and Ada
1991|19.0|2.0|IEEE Transactions on Software Engineering|Information resources management in heterogeneous, distributed environments: A metadatabase approach
1992|50.0|2.0|IEEE Transactions on Knowledge and Data Engineering|Object-oriented query languages: the notion and the issues
1993|39.0|2.0|IEEE Software|Process improvement and the corporate balance sheet
1994|147.0|3.0|IEEE Transactions on Software Engineering|A metrics suite for object oriented design
1995|21.0|1.0|IEEE Transactions on Neural Networks|Combinatorial optimization with use of guided evolutionary simulated annealing
1996|145.0|2.0|IEEE Transactions on Knowledge and Data Engineering|Data mining: an overview from a database perspective
1997|36.0|1.0|IEEE Computer|Object structures for real-time systems and simulators
1998|60.0|2.0|IEEE Transactions on Software Engineering|Managing conflicts in goal-driven requirements engineering
1999|33.0|2.0|international conference on software engineering|An initial assessment of aspect-oriented programming
2000|67.0|2.0|international conference on computer communications|CHOKe - a stateless active queue management scheme for approximating fair bandwidth allocation
2001|95.0|2.0|IEEE Transactions on Software Engineering|Toward reference models for requirements traceability
2002|103.0|3.0|IEEE Journal on Selected Areas in Communications|Optimizing OSPF/IS-IS weights in a changing world
2003|271.0|4.0||Enforceable security policies
2004|60.0|3.0|international symposium on low power electronics and design|Managing standby and active mode leakage power in deep sub-micron design
2005|50.0|2.0|international conference on software engineering|Goal-centric traceability for managing non-functional requirements
2006|59.0|2.0|international conference on computer communications|Routers with Very Small Buffers
2007|79.0|2.0|IEEE Transactions on Software Engineering|Cross versus Within-Company Cost Estimation Studies: A Systematic Review
2008|92.0|1.0|international conference on software engineering|Predicting defects using network analysis on dependency graphs
2009|43.0|1.0||Variability modeling to support customization and deployment of multi-tenant-aware Software as a Service applications
2010|28.0|2.0|international conference on computer communications|Pricing under Constraints in Access Networks: Revenue Maximization and Congestion Management
