----  Field Name Linguistics: 
----  Field Level 1.0: 
----  Field Papers Number 290847:
----  All time max citation paper: A simple, fast, and accurate algorithm to estimate large phylogenies by maximum likelihood., 2003, (8435.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1897|0|0.0|Psychological Review|The Pedagogical Seminary
1923|6.0|6.0|European Journal of Inorganic Chemistry|ber hydrierte polycyclische Ringsysteme, II. Mitteilung; ber die Stereoisomerie des Bicyclohexans
1925|0|0.0|European Journal of Inorganic Chemistry|Neues aus der ZuckerChemie (VIII. Mitteilung)
1927|0|0.0|Parasitology|A Reference List of the Trematode Parasites of Man and the Primates
1928|10.0|7.0|European Journal of Inorganic Chemistry|Die Konstitution der Stickstoffwasserstoffsure und ihrer Ester
1930|3.0|3.0|European Journal of Inorganic Chemistry|ber UmlagerungsReaktionen in der KohlenhydratGruppe, IV. Mitteil.: Zur Kinetik der Umlagerung der 3Acetylmonoacetonglucose
1931|0|0.0|Australian and New Zealand Journal of Surgery|THE INNERVATION OF THE RENAL CAPSULE AND ITS RELATION TO LOCALIZED RENAL PAIN
1932|2.0|1.0|Journal of Helminthology|The genus Anguillulina Gerv. & v. Ben., 1859 vel Tylenchus Bastian, 1865.
1933|5.0|3.0|European Journal of Inorganic Chemistry|ber die Abspaltung der Aldehydgruppe als Ameisensure aus aromatischen Aldehyden, I. Mitteil.: Polychlorbenzaldehyde
1934|4.0|4.0|Journal of Chemical Physics|The Solution of Problems Involving Permutation Degeneracy
1935|1.0|0.5|European Journal of Inorganic Chemistry|Zur Frage nach dem Mechanismus der EsterKondensationen. Erwiderung an die HHrn. Scheibler und Bodendorf
1936|0|0.0|Proceedings of The Indian Academy of Sciences-mathematical Sciences|Electronic configuration and bond energy
1937|1.0|0.5|European Journal of Inorganic Chemistry|Partialsynthese von Fraxidin und Isofraxidin sowie Synthese eines anderen Abkmmlings des 6.7.8Trioxycumarins (XXXII. Mitteil. ber natrliche Cumarine)
1938|4.0|0.0|Journal of Chemical Physics|XRay Analysis of the Structure of Water
1939|0|0.0|European Journal of Inorganic Chemistry|Umwandlung der Carbonsuren in Ketone mit Hilfe ihrer Bleisalze
1940|14.0|2.0|European Journal of Inorganic Chemistry|ber Invertseifen I; die Einwirkung von Invertseifen auf EiweiStoffe
1941|4.0|2.0|Journal of Chemical Physics|Dispersion and Absorption in Dielectrics I. Alternating Current Characteristics
1942|0|0.0|Journal of Genetics|Homologous chromosome pairing: The physical problem
1943|2.0|1.0|JAMA|ROCKY MOUNTAIN SPOTTED FEVER
1944|4.0|2.0|Digestive Diseases and Sciences|An explanation of appetite.
1945|2.0|2.0||Additional ornamental flowering plants naturally infected with California Aster yellows.
1946|0|0.0|Proceedings of The Indian Academy of Sciences-mathematical Sciences|Luminescence as forbidden electronic transitions in diamond
1947|6.0|3.0|Journal of Chemical Physics|On the Concentration Dependence of the Rates of Sedimentation and Diffusion of Macromolecules in Solution. Preliminary
1948|1.0|1.0|Journal of Chemical Physics|The Conductance of Sodium and Potassium Chlorides in 50Mole Percent MethanolWater Mixtures
1949|1.0|1.0|JAMA Pediatrics|MORPHOLOGIC CHARACTERISTICS AND ANTIBIOTIC RESISTANCE OF HEMOPHILUS INFLUENZAE
1950|6.0|0.0|Journal of Chemical Physics|The InfraRed and Raman Spectra of Cyclopentane, Cyclopentaned1, and Cyclopentaned10
1951|3.0|1.0|Microbiology|The Adsorption of Cetyltrimethylammonium Bromide by Bacteria, its Action in Releasing Cellular Constituents and its Bactericidal Effects
1952|10.0|0.0|Journal of Chemical Physics|Emission and absorption of radiation by spectral lines with Doppler contour
1953|2.0|1.5|Journal of Cellular and Comparative Physiology|The chemistry and function of the pyruvate oxidation factor (lipoic acid)
1954|0|0.0|Journal of Applied Physics|Approximate Emissivity Calculations for Polyatomic Molecules. I. CO2
1955|12.0|2.0|Journal of Chemical Physics|Vibrational Spectra and Structure of Cyclopropane and Cyclopropaned6
1956|10.0|5.0|Journal of Chemical Physics|On the PiElectron Approximation and Its Possible Refinement
1957|8.0|2.0|The American Naturalist|Self fertilization and population variability in the higher plants.
1958|42.0|1.0|Journal of Applied Physics|Application of the Ion Bombardment Cleaning Method to Titanium, Germanium, Silicon, and Nickel as Determined by LowEnergy Electron Diffraction
1959|32.0|3.0|Journal of Chemical Physics|Structure and Adsorption Characteristics of Clean Surfaces of Germanium and Silicon
1960|39.0|1.5|Virology|The fine structure of polyoma virus
1961|31.0|1.0|Physics of Fluids|Turbulent Structure of Gaseous Detonation
1962|25.0|2.0|Annals of the New York Academy of Sciences|ROLE OF THE THYMUS IN TRANSPLANTATION IMMUNITY*
1963|44.0|1.0|Journal of Verbal Learning and Verbal Behavior|Implications of short-term memory for a general theory of memory
1964|69.0|1.0|Journal of Geophysical Research|The morphology of the electron distribution in the outer radiation zone and near the magnetospheric boundary as observed by explorer 12
1965|25.0|2.0|Journal of Geophysical Research|Morphology of the outer zone electron distribution at low altitudes from January through July and September 1963 from Injun 3
1966|23.0|1.5|Journal of Molecular Biology|Cohesive sites on the deoxyribonucleic acids from several temperate coliphages
1967|24.0|2.0|Journal of the ACM|Automatic Theorem Proving With Renamable and Semantic Resolution
1968|61.0|2.0|Communications of The ACM|Translator writing systems
1969|39.0|2.0|Geochimica et Cosmochimica Acta|Distribution of K, Rb, Sr and Ba in some minerals relevant to basalt genesis
1970|38.0|2.0|The Journal of Comparative Neurology|Subcortical projections, cortical associations, and some intrinsic interlaminar connections of the striate cortex in the squirrel monkey (Saimiri)
1971|65.0|2.0|Nature|Convection Plumes in the Lower Mantle
1972|95.0|3.0|Cognitive Psychology|Understanding Natural Language
1973|163.0|3.0|Journal of Verbal Learning and Verbal Behavior|The Language-as-Fixed-Effect Fallacy: A Critique of Language Statistics in Psychological Research.
1974|59.0|2.0|Journal of Cellular Physiology|Neoplastic differentiation: Characteristics of cell lines derived from a murine teratocarcinoma
1975|137.0|3.0|Psychological Review|A spreading-activation theory of semantic processing
1976|112.0|3.0|Brain and Language|Language acquisition following hemidecortication: Linguistic superiority of the left over the right hemisphere
1977|208.0|3.0|Psychological Review|Telling more than we can know: Verbal reports on mental processes
1978|147.0|3.0|Journal of Geophysical Research|Presentday plate motions
1979|127.0|3.0|ACM Transactions on Database Systems|Extending the database relational model to capture more meaning
1980|210.0|2.0|Behavioral and Brain Sciences|Methodological solipsism considered as a research strategy in cognitive psychology
1981|113.0|2.0|Physics of the Earth and Planetary Interiors|Preliminary reference Earth model
1982|116.0|2.0|Psychological Review|An Interactive Activation Model of Context Effects in Letter Perception: Part 2. The Contextual Enhancement Effect and Some Tests and Extensions of the Model.
1983|257.0|2.0|Behavioral and Brain Sciences|Intentional systems in cognitive ethology: The Panglossian paradigm defended
1984|218.0|2.0|Nature|T-lymphocyte T4 molecule behaves as the receptor for human retrovirus LAV.
1985|123.0|3.0|Cognitive Science|Massively Parallel Parsing: A Strongly Interactive Model of Natural Language Interpretation*
1986|152.0|3.0|Nature|The long and the short of long-term memory--a molecular framework.
1987|305.0|2.0|IEEE Computer|Hypertext: An Introduction and Survey
1988|192.0|2.0|Cognition|On language and connectionism: analysis of a parallel distributed processing model of language acquisition
1989|275.0|2.0|Psychological Review|A Distributed, Developmental Model of Word Recognition and Naming.
1990|259.0|2.0|Physics Letters B|Exactly solvable field theories of closed strings
