----  Field Name Medicinal chemistry: 
----  Field Level 1.0: 
----  Field Papers Number 3719:
----  All time max citation paper: CHARMM general force field: A force field for druglike molecules compatible with the CHARMM allatom additive biological force fields, 2010, (507.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1985|5.0|5.0|Drugs|Prodrugs. Do they have advantages in clinical practice?
1990|3.0|3.0|Journal of World Trade|Patents and pharmaceutical drugs : understanding the pressures on developing countries
1991|2.0|2.0|Drug Development Research|5HT1D serotonin receptors: Results of a structureaffinity investigation
1993|1.0|1.0|Drug Development Research|MK329: A nonpeptide cholecystokinin a antagonist
1994|76.0|40.0|Angewandte Chemie|Chemistry and Biology of Taxol
1995|3.0|3.0|Behavioural Brain Research|Plant hallucinogens: springboards for psychotherapeutic drug discovery.
1996|15.0|15.0|European Journal of Medicinal Chemistry|Combinatorial chemistry: A rational approach to chemical diversity
1997|1.0|0.5|Medicinal Research Reviews|The role of diagnostic statistics in medicinal chemistry
1998|6.0|5.5|Pharmaceutical Science & Technology Today|Physical chemical properties of oral drug candidates in the discovery and exploratory development settings
1999|12.0|12.0|Farmaco|Bioconjugation in pharmaceutical chemistry
2000|1.0|1.0|ChemBioChem|The Malaria Pigment HaemozoinA Focal Point of Action for Antimalarial Drugs
2001|72.0|2.0|Drug Discovery Today|Microwave-assisted high-speed chemistry: a new technique in drug discovery
2002|65.0|7.5|Angewandte Chemie|A Novel Concept of Reversing Neuromuscular Block: Chemical Encapsulation of Rocuronium Bromide by a CyclodextrinBased Synthetic Host
2003|52.0|10.0|Drug Discovery Today|Medicinal chemistry of target family-directed masterkeys
2004|32.0|3.0|Australian Journal of Chemistry|Speciation and Bioavailability of Trace Metals in Water: Progress Since 1982
2005|75.0|5.0|Drug Discovery Today|Keynote review: histamine H3 receptor antagonists reach out for the clinic
2006|86.0|6.0|European Journal of Pharmaceutical Sciences|Pharmacological properties of the ubiquitous natural product betulin
2007|150.0|6.0|Orphanet Journal of Rare Diseases|Sweet's syndrome--a comprehensive review of an acute febrile neutrophilic dermatosis.
2008|306.0|5.0|Science|Drug target identification using side-effect similarity
2009|228.0|6.0|Nature Chemistry|New insights into the structure and reduction of graphite oxide
2010|507.0|7.0|Journal of Computational Chemistry|CHARMM general force field: A force field for druglike molecules compatible with the CHARMM allatom additive biological force fields
