----  Field Name Meteorology: 
----  Field Level 1.0: 
----  Field Papers Number 132302:
----  All time max citation paper: User acceptance of information technology: toward a unified view, 2003, (4903.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1904|1.0|1.0|European Journal of Inorganic Chemistry|Ueber die Wirkungsweise des Ozons bei der Oxydation. Ein Beitrag zur Chemie des Sauerstoffs
1906|6.0|4.5|European Journal of Inorganic Chemistry|Die Umwandlung des Sauerstoffs in Ozon bei hoher Temperatur und die Stickstoffoxydation
1909|2.0|2.0|European Journal of Inorganic Chemistry|Demonstration des Ozons in der Flamme
1912|1.0|1.0|European Journal of Inorganic Chemistry|Zur Kenntnis der Bestandteile des Ozons
1916|1.0|1.0|European Journal of Organic Chemistry|ber die Einwirkung des Ozons auf organische Verbindungen
1920|2.0|2.0|European Journal of Inorganic Chemistry|ber die Einwirkung von Ozon auf die Alkalimetalle, Ammoniak und Substitutionsprodukte des Ammoniaks
1922|0|0.0|Angewandte Chemie|ber die Bedeutung und Anwendung des Ozons in der organischen Chemie
1930|1.0|0.5|Transactions of The Royal Society of Tropical Medicine and Hygiene|Wet Sand Creeping Eruption at the Largest American Army Station.
1934|0|0.0|Journal of Dairy Research|87. Factors Affecting the Solubility of Milk Powders. III. Some Physico-chemical Properties of Concentrated Solutions of Milk Solids
1936|5.0|2.0|Journal of Chemical Physics|Kinetics of OH Radicals as Determined by Their Absorption Spectrum I. The Electric Discharge Through Water Vapor
1938|7.0|1.0|Journal of Chemical Physics|Kinetics of OH Radicals as Determined by Their Absorption Spectrum III. A Quantitative Test for Free OH; Probabilities of Transition
1939|2.0|1.0|American Journal of Botany|The Relative Humidity Gradient of Stomatal Transpiration
1940|3.0|2.0|Annals of Applied Biology|APHIS MIGRATION. AN ANALYSIS OF THE RESULTS OF FIVE SEASONS TRAPPING IN NORTH WALES
1942|0|0.0|Journal of Hygiene|An investigation of the merits of ozone as an aerial disinfectant
1943|1.0|1.0||Onion downy mildew.
1944|9.0|2.0|Annals of Applied Biology|Mould deterioration of feedingstuffs in relation to humidity of storage: Part I. The growth of moulds at low humidities
1945|9.0|2.0|Parasitology|The Ecology of the Sheep Tick, Ixodes ricinus L. The seasonal Activity in Britain with particular Reference to northern England.
1946|7.0|3.0|Parasitology|The water balance in Ixodes ricinus L. and certain other species of ticks.
1947|2.0|1.0|Transactions of The Royal Society of Tropical Medicine and Hygiene|Studies in leishmaniasis in the Anglo-Egyptian Sudan IX. Further observations on the sandflies ( Phlebotomus ) of the Sudan
1948|0|0.0|Proceedings of The Indian Academy of Sciences-mathematical Sciences|Studies in atmospheric ozone
1949|1.0|1.0|Bulletin of Entomological Research|The Biology of Laemophloeus minutus Oliv. (Col. Cucujidae)
1950|12.0|1.5|Journal of Geophysical Research|The photochemistry of atmospheric water vapor
1951|4.0|2.0|Journal of Dairy Science|Vitamin B12 in Blood of Newborn and Colostrum-Fed Calves and in Colostrum and Normal Milk of Holstein and Jersey Cows1,2
1952|11.0|0.0|Journal of Geophysical Research|Direct measurements of the vertical distribution of atmospheric ozone to 70 kilometers altitude
1953|6.0|0.0|Journal of Chemical Physics|The Molecular Structure, Dipole Moment, and g Factor of Ozone from Its Microwave Spectrum
1954|6.0|2.0|Journal of Applied Physics|Water Vapor Condensation Process in Supersonic Nozzles
1955|6.0|1.0|Biochimica et Biophysica Acta|Glucose as a precursor of milk constituents in the intact dairy cow
1956|21.0|0.0|Journal of Chemical Physics|Gaseous Detonations. IX. A Study of the Reaction Zone by Gas Density Measurements
1957|23.0|0.0|Journal of Chemical Physics|Mechanism of the Gas Phase, Thermal Decomposition of Ozone
1958|20.0|1.0|Journal of Chemical Physics|Statistical Mechanics of Transport Processes. XI. Equations of Transport in Multicomponent Systems
1959|8.0|1.0|Journal of Applied Physics|Glass, a Disturbing Factor in Physical Electronics Measurements
1960|16.0|2.0|Journal of Chemical Physics|Interaction of Hydrogen with Tungsten
1961|37.0|1.5|Nuclear Physics|Analysis of recent measurement of nuclear level density parameters
1962|20.0|3.0|Journal of Chemical Physics|Chemically Induced Vibrational Excitation : Hydroxyl Radical Emission in the 13Micron Region Produced by the H + O3 Atomic Flame
1963|40.0|3.0|Journal of Geophysical Research|On the effect of a weak interplanetary magnetic field on the interaction between the solar wind and the geomagnetic field
1964|32.0|2.0|Planetary and Space Science|The development of the auroral substorm.
1965|67.0|2.0|Journal of Geophysical Research|Electron and molecular nitrogen temperature and density in the thermosphere.
1966|55.0|2.0|Journal of Geophysical Research|Photochemistry of ozone in a moist atmosphere
1967|23.0|1.5|Journal of Geophysical Research|Ion composition and temperature in the topside ionosphere
1968|41.0|2.0|Journal of Geophysical Research|Mass spectrometric studies of the composition of the lower thermosphere during summer 1967
1969|59.0|4.0|Journal of Geophysical Research|Rocket measurement of nitric oxide between 60 and 96 kilometers
1970|58.0|2.0|Journal of Geophysical Research|Observation of a solar flare induced interplanetary shock and heliumenriched driver gas
1971|64.0|3.0|Journal of Geophysical Research|Temperature field and geophysical effects of a downgoing slab
1972|54.0|3.0|Icarus|Investigation of the Martian environment by infrared spectroscopy on Mariner 9
1973|44.0|2.5|Planetary and Space Science|Auroral heating and the composition of the neutral atmosphere.
1974|107.0|3.0|Journal of Geophysical Research|Empirical model of global thermospheric temperature and composition based on data from the Ogo 6 quadrupole mass spectrometer
1975|39.0|3.0|Science|Extinct superheavy element in the Allende meteorite
1976|62.0|5.0|Science|Cooperative Computation of Stereo Disparity
