----  Field Name Molecular biology: 
----  Field Level 1.0: 
----  Field Papers Number 131023:
----  All time max citation paper: Cleavage of Structural Proteins during the Assembly of the Head of Bacteriophage T4, 1970, (118108.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1959|43.0|4.5|Clinica Chimica Acta|An improved technique of agar-gel electrophoresis on microscope slides
1961|12.0|4.5|Archives of Biochemistry and Biophysics|Starch-gel electrophoresis of purified albumins
1962|23.0|6.0|Biochimica et Biophysica Acta|A new method for preparation of agarose for gel electrophoresis
1963|27.0|1.5|Journal of Dairy Science|High Resolution of Milk Proteins Obtained by Gel Electrophoresis
1964|33.0|4.5|Annals of the New York Academy of Sciences|ACRYLAMIDE GEL ELECTROPHORESIS
1965|23.0|0.0|Analytical Biochemistry|The interpretation of gel electrophoresis
1966|11.0|2.0|Journal of Molecular Biology|Effect of magnesium chloride and potassium chloride on the sedimentation characteristics of ribonucleoprotein isolated from dog pancreas
1967|47.0|2.0|Journal of Cell Biology|Fine structural localization of a blood-brain barrier to exogenous peroxidase.
1968|158.0|2.0|Archives of Biochemistry and Biophysics|Size and charge isomer separation and estimation of molecular weights of proteins by disc gel electrophoresis
1969|190.0|1.5|Archives of Biochemistry and Biophysics|High resolution acrylamide gel electrophoresis of histones.
1970|413.0|3.0|Nature|Cleavage of Structural Proteins during the Assembly of the Head of Bacteriophage T4
1971|48.0|3.0|Analytical Biochemistry|Isoelectric focusing in polyacrylamide gel and its preparative application
1972|31.0|3.0|Biochimica et Biophysica Acta|Isoelectric focusing of proteins in polyacrylamide gels
1973|41.0|3.0|Biochemical and Biophysical Research Communications|Gel electrophoresis of partially purified cytochromes P450 from liver microsomes of variously-treated rats
1974|45.0|3.0|Analytical Biochemistry|Separation of single-stranded ribonucleic acids by acrylamide-agarose-urea gel electrophoresis
1975|737.0|3.0|Journal of Molecular Biology|Detection of Specific Sequences Among DNA Fragments Separated by Gel Electrophoresis
1976|168.0|4.0|Nature|C fragment of lipotropin has a high affinity for brain opiate receptors
1977|204.0|3.0|Cell|Sizing and mapping of early adenovirus mRNAs by gel electrophoresis of S1 endonuclease-digested hybrids
1978|58.0|3.0|Analytical Biochemistry|Analytical techniques for cell fractions: XXI. Two-demensional analysis of serum and tissue proteins: Multiple isoelectric focusing
1979|65.0|2.0|Journal of Experimental Medicine|Biochemical and biological characterization of lymphocyte regulatory molecules. I. Purification of a class of murine lymphokines.
1980|406.0|3.0|Nature|The role of hormone receptors and GTP-regulatory proteins in membrane transduction.
1981|95.0|3.0|Nature|The origin of human cancers
1982|867.0|3.0|Gene|The pUC plasmids, an M13mp7-derived system for insertion mutagenesis and sequencing with synthetic universal primers
1983|140.0|3.0|Journal of Cell Biology|Endocytosis and the recycling of plasma membrane.
1984|312.0|3.0|Cell|Separation of yeast chromosome-sized DNAs by pulsed field gradient gel electrophoresis
1985|151.0|3.0|Cell|The molecular biology of intermediate filaments
1986|137.0|3.0|Nature|A nuclear factor that binds to a conserved sequence motif in transcriptional control elements of immunoglobulin genes.
1987|121.0|3.0|Trends in Neurosciences|Molecular biology of the GABAA receptor: the receptor/channel superfamily
1988|91.0|3.0|Cancer|DNA flow cytometry and prognostic factors in 1331 frozen breast cancer specimens
1989|160.0|3.0|Trends in Pharmacological Sciences|Molecular biology and biochemistry of the endothelins
1990|84.0|3.0|Cancer|Ploidy, proliferative activity and prognosis. DNA flow cytometry of solid tumors
1991|280.0|3.0|Hepatology|Molecular biology of the hepatitis C viruses: Implications for diagnosis, development and control of viral disease
1992|224.0|3.0|Cytometry|Features of apoptotic cells measured by flow cytometry
1993|210.0|3.0|Trends in Neurosciences|The TINS/TiPS Lecture: The molecular biology of mammalian glutamate receptor channels
1994|204.0|3.0|Cell|Stimulation of adipogenesis in fibroblasts by PPAR2, a lipid-activated transcription factor
1995|310.0|4.0|Journal of Immunological Methods|A novel assay for apoptosis. Flow cytometric detection of phosphatidylserine expression on early apoptotic cells using fluorescein labelled Annexin V.
1996|656.0|4.0|Science|The Molecular Biology of Axon Guidance
1997|1035.0|8.0|Nature|Functional rafts in cell membranes
1998|2478.0|9.0|Nature|Dendritic cells and the control of immunity
1999|798.0|10.0|Nature|Molecular characterization of mitochondrial apoptosis-inducing factor
2000|1400.0|11.0|Nature|Distinct types of diffuse large B-cell lymphoma identified by gene expressionprofiling
2001|4579.0|11.0|Nature|Initial sequencing and analysis of the human genome
2002|1438.0|11.0|Nature|Pluripotency of mesenchymal stem cells derived from adult marrow
2003|1186.0|12.0|Annual Review of Biochemistry|THE GREEN FLUORESCENT PROTEIN
2004|1050.0|12.0|Nature|Identification of human brain tumour initiating cells
2005|1559.0|13.0|Nature|MicroRNA expression profiles classify human cancers.
2006|1988.0|12.0|Nature|Reciprocal developmental pathways for the generation of pathogenic effector TH17 and regulatory T cells
2007|1465.0|13.0|Nature|A second generation human haplotype map of over 3.1 million SNPs.
2008|2058.0|13.0|Nature Protocols|Analyzing real-time PCR data by the comparative CT method
2009|5660.0|13.0|Nature Protocols|Systematic and integrative analysis of large gene lists using DAVID bioinformatics resources.
2010|2096.0|12.0|Nature|A human gut microbial gene catalogue established by metagenomic sequencing
