----  Field Name Nursing: 
----  Field Level 1.0: 
----  Field Papers Number 41855:
----  All time max citation paper: Arlequin (version 3.0): An integrated software package for population genetics data analysis, 2007, (3687.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1960|0|0.0|The Lancet|PRESERVATION OF MEDICAL RECORDS
1967|0|0.0|International Journal of Nursing Studies|Overview of the associate degree in nursing in the U.S.A.: Possible applications to nursing education in the United Kingdom
1969|4.0|3.0|JAMA Internal Medicine|The Epidemiology of Cancer Therapy: IV. The Extraction of Data From Medical Records
1970|7.0|3.5|Computers and Biomedical Research|Prototype for future computer medical records
1971|1.0|0.5|Bellman Prize in Mathematical Biosciences|The application of rationality to medical records
1972|2.0|1.0|International Journal of Bio-medical Computing|Semantic analysis of medical records
1973|4.0|2.0|Developmental Medicine & Child Neurology|Spina Bifida Survivors and their Parents: a Study of Problems and Services
1974|4.0|2.0|Environmental Research|Chronic radium intoxication: Clinical and autopsy findings in long-term New Jersey survivors
1975|0|0.0|Social Psychiatry and Psychiatric Epidemiology|What to do with the long-stay psychiatric patient? A review of a hundred cases.
1976|1.0|1.0|Medical Care|A Strategy for Redesigning the Medical Record for Quality Assurance:
1977|17.0|0.5|Mathematics of Computation|Absorbing boundary conditions for the numerical simulation of waves
1978|4.0|2.0|JAMA|The Accuracy of the Medical Record as an Index of Outpatient Drug Therapy
1979|2.0|0.0|Social Psychiatry and Psychiatric Epidemiology|Psychosocial aspects of occupational injury
1980|21.0|2.0|Mathematics of Computation|Stable and entropy satisfying approximations for transonic flow calculations
1981|6.0|1.0||Towards a Formal Treatment of VLSI Arrays
1982|9.0|0.0|Social Science & Medicine|Psychological reactions to the onset of chronic illness
1983|8.0|1.5||Utilizing domain-specific information for processing compact text
1984|24.0|5.0|JAMA|The Syndrome of Unexplained Generalized Lymphadenopathy in Young Men in New York City: Is It Related to the Acquired Immune Deficiency Syndrome?
1985|7.0|1.0|Research in Nursing & Health|Use of the health belief model in determining frequency of breast selfexamination
1986|12.0|1.0|Nurse Education Today|Nurse education: learner-centred or teacher-centred?
1987|61.0|1.0|JAMA|Does inappropriate use explain geographic variations in the use of health care services? A study of three procedures.
1988|31.0|2.0|JAMA|Computer-stored medical records. Their future role in medical practice.
1989|84.0|2.0|Journal of Monetary Economics|Is public expenditure productive?
1990|47.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Recovery of parametric models from range images: the case for superquadrics with global deformations
1991|44.0|2.0|JAMA|Mortality and Duration of Hemodialysis Treatment
1992|63.0|3.0|vehicular technology conference|Performance of optimum transmitter power control in cellular radio systems
1993|53.0|3.0|JAMA|Physician inpatient order writing on microcomputer workstations : effects on resource utilization
1994|36.0|2.0|Radiation Research|Cancer incidence in atomic bomb survivors. Part II: Solid tumors, 1958-1987.
1995|49.0|2.0|Proceedings of the IEEE|Radiologic image compression-a review
1996|73.0|3.0|JAMA Internal Medicine|Adherence to national guidelines for drug treatment of suspected acute myocardial infarction: evidence for undertreatment in women and the elderly.
1997|106.0|3.0|BMJ|Reliability of health information for the public on the World Wide Web: systematic survey of advice on managing fever in children at home.
1998|88.0|4.0|statistical and scientific database management|Moving objects databases: issues and solutions
1999|105.0|6.0|American Journal of Preventive Medicine|Impact of a patient-centered, computer-based health information/support system
2000|137.0|5.0|european conference on computer vision|Stochastic Tracking of 3D Human Figures Using 2D Image Motion
2001|224.0|6.0||Ontology Development 101: A Guide to Creating Your First Ontology
2002|512.0|6.0|JAMA|Hospital nurse staffing and patient mortality, nurse burnout, and job dissatisfaction.
2003|726.0|6.0|The New England Journal of Medicine|The Quality of Health Care Delivered to Adults in the United States
2004|288.0|7.0|Gastroenterology|The safety profile of infliximab in patients with Crohns disease: The Mayo Clinic experience in 500 patients
2005|206.0|7.0|Circulation|Elevated Aortic Pulse Wave Velocity, a Marker of Arterial Stiffness, Predicts Cardiovascular Events in Well-Functioning Older Adults
2006|210.0|7.0|JAMA|Serum 25-Hydroxyvitamin D Levels and Risk of Multiple Sclerosis
2007|2530.0|8.0|Evolutionary Bioinformatics|Arlequin (version 3.0): An integrated software package for population genetics data analysis
2008|700.0|6.5|Journal of Advanced Nursing|The qualitative content analysis process.
2009|1040.0|6.0|Journal of Biomedical Informatics|Research electronic data capture (REDCap)-A metadata-driven methodology and workflow process for providing translational research informatics support
2010|1322.0|7.0|PLOS ONE|Signs of the 2009 Influenza Pandemic in the New York-Presbyterian Hospital Electronic Health Records
