----  Field Name Pharmacology: 
----  Field Level 1.0: 
----  Field Papers Number 142409:
----  All time max citation paper: Initial sequencing and analysis of the human genome, 2001, (10313.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1928|13.0|13.0|JAMA|Clinical Experience with Irradiated Ergosterol.
1944|3.0|3.0|Journal of the American Oil Chemists' Society|Notes on the stabilization of oxidized fats by steam deodorization with phosphoric acid or commercial lecithin
1946|8.0|8.0|JAMA Internal Medicine|Absorption, Distribution and Excretion of Streptomycin.
1950|15.0|3.0|JAMA|Effect of Cortisone and Pituitary Adrenocortieotropic Hormone (ACTH) on Rheumatic Diseases.
1951|3.0|0.0|The American Journal of Medicine|Treatment of cardiospasm with adrenergic blockade
1952|0|0.0|Journal of Pharmacy and Pharmacology|APPLICATIONS OF POLAROGRAPHY IN PHARMACEUTICAL ANALYSIS
1953|0|0.0|Digestive Diseases and Sciences|The anorexigenic effect of sustained-release dexedrine preparations
1954|2.0|1.0|Journal of Dairy Science|Studies on Aureomycin and Vitamin B12 Supplementations for Dairy Cows. II. Effect on Production, Composition, and Vitamin B12 Content of the Milk1
1955|0|0.0|British Journal of Tuberculosis and Diseases of The Chest|A clinical appraisal of cyanacetic acid hydrazide in chronic pulmonary tuberculosis
1956|5.0|3.0|Journal of Applied Physics|Pulsed TF Emission Electron Projection Microscopy
1957|3.0|2.0|Biochimica et Biophysica Acta|The adverse effect of ascorbic acid on the stability of adrenaline and noradrenaline solutions
1959|4.0|4.0|Journal of Dairy Science|Studies of the Effects of Dietary Sodium Fluoride on Dairy Cows. V. A Three-year Study on Mature Animals1
1960|14.0|2.0|American Journal of Cardiology|Cardiac adrenergic preponderance due to lack of physical exercise and its pathogenic implications
1961|3.0|1.0|JAMA|Demethylchlortetracycline in Clinical Practice: Results of Mass Clinical Field Trials and Description of Electronic Data Processing Methods Used in Tabulation and Analysis
1962|11.0|1.0|Acta Physiologica Scandinavica|The Influence of Sympathetic Adrenergic Vasoconstrictor Nerves on Transport of Diffusible Solutes from Blood to Tissues in Skeletal Muscle
1963|23.0|5.0|Acta Physiologica Scandinavica|Catecholamine Release and Uptake in Isolated Adrenergic Nerve Granules
1964|24.0|2.0|Life Sciences|Release and depletion of the transmitter in adrenergic terminals produced by nerve impulses after the inhibition of noradrenaline synthesis or reabsorption
1965|33.0|8.5|General and Comparative Endocrinology|On the presence of adrenergic nerves in the pars intermedia of the frog, Rana temporaria
1966|27.0|3.5|Acta Physiologica Scandinavica|The Noradrenaline Content of the Varicosities of Sympathetic Adrenergic Nerve Terminals in the Rat
1967|98.0|4.0|Annals of the New York Academy of Sciences|ADENYL CYCLASE AS AN ADRENERGIC RECEPTOR*
1968|82.0|2.0|Naunyn-schmiedebergs Archives of Pharmacology|Chemical sympathectomy by selective destruction of adrenergic nerve endings with 6-hydroxydopamine
1969|58.0|3.0|Acta Physiologica Scandinavica|Distribution of Noradrenaline Storing Particles in Peripheral Adrenergic Neurons as Revealed by Electron Microscopy
1970|44.0|3.0|Brain Research|Depletion of catecholamines in vivo induced by electrical stimulation of central monoamine pathways
1971|75.0|2.0|Brain Research|Plastic changes in the adrenergic innervation of the rat septal area in response to denervation
