----  Field Name Political Economy: 
----  Field Level 1.0: 
----  Field Papers Number 10726:
----  All time max citation paper: Social Capital: Implications for Development Theory, Research, and Policy, 2000, (916.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1970|0|0.0|Public Choice|Political economy of the military draft
1972|8.0|8.0|Communications of The ACM|Computers and society: a proposed course for computer scientists
1973|0|0.0|Journal of Behavioral Economics|The political-economic dynamics of California's farm labor market-a highly specific model of international factor flows
1974|2.0|0.5|Theory and Society|Advances towards a critical criminology
1975|0|0.0|Economic Record|Decline and Rise: The Revival of (Classical) Political Economy*, 
1976|2.0|0.0|Australian Journal of Agricultural and Resource Economics|PROBLEMS OF CHANGE IN AUSTRALIAN AGRICULTURAL ECONOMICS
1977|4.0|1.0|Journal of Urban Economics|The political economy of a racist housing market
1978|15.0|4.0|Communications of The ACM|Automated welfare client-tracking and service integration: the political economy of computing
1979|4.0|0.0|Journal of International Economics|A 3 x 3 model of customs unions
1980|5.0|4.0|Sociologia Ruralis|AGRICULTURAL STRUCTURE AND RURAL ECOLOGY: TOWARD A POLITICAL ECONOMY OF RURAL DEVELOPMENT*
1981|15.0|1.0|Journal of Political Economy|The Political Economy of Benefits and Costs: A Neoclassical Approach to Distributive Politics
1982|34.0|1.5|Kyklos|RENT SEEKING: A SURVEY
1983|37.0|1.0|Water Resources Research|A review of distributed parameter groundwater management modeling methods
1984|17.0|2.0|Public Choice|Long-run equilibrium and total expenditures in rent-seeking
1985|22.0|1.0|Public Choice|Free Entry and Efficient Rent-Seeking
1986|15.0|2.0|International Journal of Urban and Regional Research|Towards a political economy of capitalist agriculture: a British perspective
1987|12.0|1.0|World Bank Economic Review|The political economy of economic liberalization
1988|18.0|1.0|Public Choice|Long-Run Equilibrium and Total Expenditures in Rent-Seeking: A Comment
1989|14.0|2.0|Social Science & Medicine|The coming of age of critical medical anthropology
1990|21.0|2.0|Economics and Politics|Public Goods, Rent Dissipation, And Candidate Competition
1991|21.0|1.0|The Economic Journal|Collective Rent Dissipation
1992|14.0|1.0|World Bank Research Observer|Private investment and macroeconomic adjustment : a survey
1993|21.0|1.0|Journal of Economic Perspectives|The Revenge of Homo Economicus: Contested Exchange and the Revival of Political Economy
1994|52.0|2.0|European Journal of Political Economy|Modelling rent-seeking contests
1995|42.0|2.0||Why are Saving Rates so Different Across Countries?: An International Comparative Analysis
1996|90.0|2.0|World Bank Economic Review|A New Data Set Measuring Income Inequality
1997|74.0|2.0|World Bank Economic Review|Openness and wage inequality in developing countries : the Latin American challenge to east Asian conventional wisdom
1998|59.0|2.0|Journal of Economic Perspectives|What Can We Learn from the Grand Policy Experiment? Lessons from SO2 Allowance Trading
1999|162.0|2.0|Journal of Economic Literature|An Essay on Fiscal Federalism
2000|133.0|3.0|World Bank Research Observer|Social Capital: Implications for Development Theory, Research, and Policy
2001|69.0|3.0|Journal of Financial Economics|The Great Reversals: The Politics of Financial Development in the 20th Century
2002|66.0|3.0|American Ethnologist|Spatializing States: Toward an Ethnography of Neoliberal Governmentality
2003|174.0|3.0|Annual Review of Sociology|Social Implications of the Internet
2004|151.0|3.0|International Journal of Epidemiology|Health by association? Social capital, social theory, and the political economy of public health
2005|152.0|4.0|Social Science & Medicine|The social structural production of HIV risk among injecting drug users
2006|180.0|3.0|Journal of Economic Perspectives|Some Uses of Happiness Data in Economics
2007|351.0|3.0|Regional Studies|The Learning Region: Institutions, Innovation and Regional Renewal
2008|185.0|3.0|American Journal of Sociology|The City as a Growth Machine: Toward a Political Economy of Place
2009|305.0|3.0||Conditional cash transfers : reducing present and future poverty
2010|390.0|3.0|Regional Studies|Related Variety, Unrelated Variety and Regional Economic Growth
