----  Field Name Polymer chemistry: 
----  Field Level 1.0: 
----  Field Papers Number 6345:
----  All time max citation paper: A review on polymer nanofibers by electrospinning and their applications in nanocomposites, 2003, (2306.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1940|2.0|2.0|Botanical Review|Regeneration and vegetative propagation.
1949|2.0|2.0|Annals of Applied Biology|OBSERVATIONS ON APPLE CANKER III. THE ANATOMY OF THE STEM CANKER
1950|4.0|4.0|Journal of Dairy Science|Influence of Crude Fiber in the Ration on Efficiency of Feed Utilization by Dairy Cows1
1960|13.0|8.5|Genetics Research|Selection of mice for growth on high and low planes of nutrition.
1965|0|0.0||An exploratory study of a new class of stepladder and ladder polymers - polyimidazopyrrolones
1967|1.0|1.0||Viscoelasticity and plasticity considerations in the fracture of glasslike high polymers.
1968|2.0|0.0|Biochimica et Biophysica Acta|The binding of basic proteinoids with organismic or thermally synthesized polynucleotides
1969|1.0|1.0|Polymer Journal|Conformational Aspects of Polypeptides Containing lonizable Side Chains
1970|11.0|1.0|Holzforschung|The Location of Guaiacyl and Syringyl Lignins in Birch Xylem Tissue
1971|6.0|3.0|Icarus|Organic synthesis in a simulated Jovian atmosphereII
1972|2.0|0.5|Annals of the New York Academy of Sciences|EVOLUTION FROM AMINO ACIDS: LUNAR OCCURRENCE OF THEIR PRECURSORS*
1973|15.0|3.0|Biopolymers|Structure of guanosine-3,5-cytidine monophosphate. I. Semi-empirical potential energy calculations and model-building
1974|4.0|3.0|Origins of Life and Evolution of Biospheres|Coacervate-Like Microspheres from Lysine-Rich Proteinoid
1975|3.0|1.5|Biopolymers|Circular dichroism of some mononucleosides
1976|14.0|3.5|Geochimica et Cosmochimica Acta|The polymer-like organic material in the Orgueil meteorite
1977|23.0|18.5|Geochimica et Cosmochimica Acta|Origin of organic matter in the early solar systemVII. The organic polymer in carbonaceous chondrites
1978|0|0.0|Wood Science and Technology|Helical orientation of the microfibrils in tracheids, fibres and vessels.
1979|6.0|2.0|Earth and Planetary Science Letters|Nitrogen isotope fractionations in the Fischer-Tropsch synthesis and in the Miller-Urey reaction
1980|4.0|1.0|Polymer Journal|Anomalies in Light Scattering from Polyelectrolyte in Semi-Dilute Solution Region
1981|2.0|0.0|Polymer Engineering and Science|An overview of the nonequilibrium behavior of polymer glasses
1982|5.0|0.5|Polymer|Microstructure of high modulus solid state extruded polyethylene: 1. Electron microscopy studies of 12, 24 and 36  EDR
1983|28.0|6.0|Polymer|Regime III crystallization in melt-crystallized polymers: The variable cluster model of chain folding
1984|6.0|4.0|Water Research|Contact flocculation-filtration of humic substances
1985|10.0|4.0|Polymer Journal|Polymers with oligoorganosiloxane side chains as material for oxygen permeable membranes.
1986|10.0|2.0|Journal of Molecular Biology|Non-enzymatic template-directed synthesis on RNA random copolymers - Poly(C,A) templates
1987|6.0|2.0|Polymer Journal|A New Model of Counterion Condensation in Polyelectrolyte Solutions I. Comparison with Other Condensation Theories and Experimental Data on Counterion Activity Coefficients
1988|8.0|1.0|Polymer|Thermotropic polyesters: fibres and mouldings from poly(chloro-1,4-phenylene terephthalate- co -4,4-oxybisbenzoate)s
1989|12.0|3.0|Journal of Controlled Release|An insulin-releasing system that is responsive to glucose
1990|44.0|2.0|Analytical Biochemistry|Optimization of Northern analysis by vacuum-blotting, RNA-transfer visualization, and ultraviolet fixation
1991|6.0|3.0|Polymer|Small-angle X-ray diffraction of Kevlar using synchrotron radiation
1992|17.0|2.0|Journal of Chemical Physics|Motion of megabase deoxyribonucleic acid during fieldinversion gel electrophoresis: Investigation by nonlocal Monte Carlo
1993|33.0|3.0|Composites Science and Technology|A round-robin programme on interfacial test methods
1994|28.0|2.0|Biopolymers|Electrophoretic mobility of DNA in gels. II. Systematic experimental study in agarose gels
1995|29.0|2.0|Electrophoresis|Interlaboratory reproducibility of yeast protein patterns analyzed by immobilized pH gradient two-dimensional gel electrophoresis
1996|21.0|2.0|Journal of Membrane Science|Utilization of the Donnan effect for improving electrolyte separation with nanofiltration membranes
1997|71.0|3.5|Electrophoresis|Improved and simplified ingel sample application using reswelling of dry immobilized pH gradients
1998|18.0|3.0|Food and Chemical Toxicology|Chemical and biological studies of a new cigarette that primarily heats tobacco. Part 1. Chemical composition of mainstream smoke.
1999|18.0|3.0|Journal of Molecular Biology|The interpretation of Mg 2+ binding isotherms for nucleic acids using Poisson-Boltzmann theory
2000|484.0|4.0|Electrophoresis|The current state of two-dimensional electrophoresis with immobilized pH gradients.
2001|35.0|4.0|Biomaterials|Soft contact lens polymers: an evolution
2002|58.0|5.0|Advanced Drug Delivery Reviews|Block copolymer micelles for delivery of gene and related compounds
2003|421.0|5.0|Composites Science and Technology|A review on polymer nanofibers by electrospinning and their applications in nanocomposites
2004|454.0|4.0|Proteomics|Current twodimensional electrophoresis technology for proteomics
2005|121.0|5.0|Progress in Polymer Science|Theory of polyelectrolytes in solutions and at surfaces
2006|155.0|5.0|Advanced Materials|LowBandgap Alternating Fluorene Copolymer/Methanofullerene Heterojunctions in Efficient NearInfrared Polymer Solar Cells
2007|184.0|5.0|Circulation|Soft drink consumption and risk of developing cardiometabolic risk factors and the metabolic syndrome in middle-aged adults in the community.
2008|190.0|5.0|Small|Assessing the Effect of Surface Chemistry on Gold Nanorod Uptake, Toxicity, and Gene Expression in Mammalian Cells
2009|158.0|6.0|Polymer|Core cross-linked star polymers via controlled radical polymerisation
2010|147.0|6.0|Nature Physics|Unravelling the role of the interface for spin injection into organic semiconductors
