----  Field Name Programming language: 
----  Field Level 1.0: 
----  Field Papers Number 433842:
----  All time max citation paper: Perceived usefulness, perceived ease of use, and user acceptance of information technology, 1989, (10379.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1936|0|0.0|Journal of Molecular Medicine|Zur Chemie und Biologie des Reinen Corpus Luteum-Hormons Progesteron
1937|0|0.0|Anatomical Record-advances in Integrative Anatomy and Evolutionary Biology|The structure of the nephron in fishes. Representative types of nephron encountered; the problem of homologies among the differentiated portions of the proximal convoluted segment
1940|3.0|0.5|Journal of Genetics|The origin and evolution of multiple sex-chromosome mechanisms.
1941|0|0.0|American Journal of Botany|The species concept in Fusarium with reference to section Martiella.
1945|1.0|1.0|Journal of the American Oil Chemists' Society|Polymorphism of synthetic glycerides
1946|6.0|3.0|Journal of the American Oil Chemists' Society|Modification of vegetable oils
1947|0|0.0|The American Journal of Medicine|Therapeutic and side effects of pyribenzamine and benadryl: A comparative study based upon a survey of twenty-six clinical reports in the literature
1948|2.0|0.0|The American Journal of Medicine|Fatal anuria, the nephrotic syndrome and glomerular nephritis as sequels of the dermatitis of poison oak
1949|1.0|0.5|Philosophical Magazine Series 1|LXII. On the use of canonical transformations for collision problems
1950|12.0|2.0|Journal of Genetics|Genetical studies on the skeleton of the mouse. II. Undulated and its " modiflers.
1952|6.0|2.0|Genetics|The Induction of Translocations and Recessive Lethals in Drosophila under Various Oxygen Concentrations.
1953|6.0|1.0|Journal of the American Ceramic Society|Relation Between Roughness of Interface and Adherence of Porcelain Enamel to Steel
1954|3.0|0.0|Geochimica et Cosmochimica Acta|Potassium feldspars structurally intermediate between microcline and sanidine
1955|11.0|1.0|Geochimica et Cosmochimica Acta|Synthetic and natural muscovites
1956|3.0|1.5|Journal of Genetics|Chromosomal polymorphism in a population of Drosophila subobscura from israel
1957|16.0|1.5|Journal of Chemical Physics|SUBSTITUTED BENZENE SPECTRA,
1958|14.0|0.0|Nuclear Physics|On anomalous conversion coefficients of dipole transitions
1959|30.0|1.0|Journal of Chemical Physics|Calculation of Energy Levels for Internal Torsion and OverAll Rotation. III
1960|27.0|2.0|Journal of Mathematical Physics|Invariant Imbedding and Mathematical Physics. I. Particle Processes
1961|19.0|3.0|Journal of Mathematical Analysis and Applications|VARIATIONAL METHODS IN PROBLEMS OF CONTROL AND PROGRAMMING
