----  Field Name Psychotherapist: 
----  Field Level 1.0: 
----  Field Papers Number 73481:
----  All time max citation paper: Reduction in the incidence of type 2 diabetes with lifestyle intervention or metformin, 2002, (5854.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1937|1.0|1.0|Journal of General Psychology|A Comparative Study of Involuntary and Voluntary Conditioned Responses
1950|1.0|1.0|Eos, Transactions American Geophysical Union|Laws of soil moisture
1954|2.0|1.0|Review of Educational Research|Group Therapy in Educational Institutions
1956|0|0.0|Psychological Review|SECONDARY MOTIVATION THROUGH CLASSICAL CONDITION- ING: A RECONSIDERATIO N OF THE NATURE OF BACKWARD CONDITIONING1
1957|0|0.0|Review of Educational Research|Group Guidance and Group Therapy
1958|5.0|0.0|Canadian Journal of Anaesthesia-journal Canadien D Anesthesie|Evaluation of a ventilator with fixed volume control and variable regulated pressure
1959|5.0|1.0|Experimental Neurology|Effect of brain-stem lesions on conditioned responses of cats
1960|22.0|1.0|Journal of Dairy Science|Structure and Synthesis of Milk Fat. I. Gas Chromatographic Analysis1,2
1961|5.0|0.5|Experimental Neurology|Conditioned responses of gamma and alpha motoneurons in the cat trained to conditioned avoidance
1962|5.0|2.0|Child Development|A REINFORCER SYSTEM AND EXPERIMENTAL PROCEDURE FOR THE LABORATORY STUDY OF READING ACQUISITION
1963|15.0|4.0|Behaviour Research and Therapy|Application of operant conditioning procedures to the behaviour problems of an autistic child
1964|10.0|2.5|Journal of Experimental Child Psychology|Effects of conditioned-stimulus familiarization on instrumental learning in children
1965|8.0|2.0|Psychophysiology|THE EVALUATION OF AUTONOMIC AND MO TOR COMPONENTS OF THE NONAVOIDANCE CONDITIONED RESPONSE IN THE DOG1
1966|15.0|1.0|Physiology & Behavior|The effects of preliminary training conditions upon DRL performance in the hippocampectomized rat
1967|11.0|1.0|Physiology & Behavior|Effects of medial cortical lesions on appetitive instrumental conditioning
1968|12.0|2.5|Psychopharmacology|Effects of scopolamine on avoidance conditioning and habituation of mice
1969|22.0|2.0|Journal of Abnormal Psychology|Self-Directed Program for Weight Control: A Pilot Study.
1970|36.0|1.0|Psychological Review|On the generality of the laws of learning
1971|25.0|2.0|Psychological Review|THE "SUPERSTITION" EXPERIMENT: A REEXAMINATION OF ITS IMPLICATIONS FOR THE PRINCIPLES OF ADAPTIVE BEHAVIOR '
1972|23.0|2.0|Psychopharmacology|Increased Irritability: A Permanent Behavior Change Induced in the Rat by Intraventricular Administration of 6-Hydroxydopamine
1973|63.0|2.0|Psychological Review|Situationism in psychology: an analysis and a critique.
1974|25.0|1.0|Behavior Therapy|Group therapy versus bibliotherapy in weight reduction
1975|50.0|2.0|Psychological Review|A Theory of Attention: Variations in the Associability of Stimuli with Reinforcement.
1976|81.0|1.5|Science|Neuronal substrate of classical conditioning in the hippocampus
1977|45.0|2.0|American Psychologist|The Evolution of Behaviorism.
1978|141.0|2.0|Behavioral and Brain Sciences|How adaptive behavior is produced: a perceptual-motivational alternative to response reinforcements
1979|53.0|2.0|Psychopharmacology|Diazepam and Flurazepam" Effects on Conditioned Fear as Measured With the Potentiated Startle Paradigm
1980|50.0|2.0|Pharmacology, Biochemistry and Behavior|Reinforcing effects of morphine microinjection into the ventral tegmental area
1981|136.0|2.0|Behavioral and Brain Sciences|Maximization theory in behavioral psychology
1982|185.0|2.0|Behavioral and Brain Sciences|Neuroleptics and operant behavior: The anhedonia hypothesis
1983|59.0|3.0|Nature|The function of dream sleep
1984|115.0|2.0|Artificial Intelligence|Qualitative process theory
1985|44.0|2.0|Neuroscience & Biobehavioral Reviews|Neuroregulators and the reinforcement of smoking: Towards a biobehavioral explanation
