----  Field Name Remote sensing: 
----  Field Level 1.0: 
----  Field Papers Number 65323:
----  All time max citation paper: Very high resolution interpolated climate surfaces for global land areas, 2005, (4687.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1951|0|0.0|Educational and Psychological Measurement|An Investigation of the Nature of the Spatial-Relations and Visualization Factors in Two High School Samples
1954|0|0.0|Ecology|Distance To Nearest Neighbor As a Measure of Spatial Relationships in Populations
1958|0|0.0|Journal of Neural Transmission|Patterns of electrical skin resistance in man
1959|0|0.0||MEASUREMENT OF ELECTRON FLUX IN IRRADIATED MEDIA BY AC METHODS (thesis)
1960|0|0.0|Ire Transactions on Broadcasting|Transmission of Colour Television Signals
1961|15.0|15.0|Journal of Geophysical Research|Free oscillations of the Earth observed on strain and pendulum seismographs
1962|26.0|5.0|Journal of Geophysical Research|On the internal constitution of the inner planets
1963|21.0|7.0|Journal of Geophysical Research|The association of planewave electrondensity irregularities with the equatorial electrojet
1964|31.0|6.0|Journal of Geophysical Research|HIGH-LATITUDE GEOPHYSICAL STUDIES WITH SATELLITE INJUN 3. 5. VERY-LOW- FREQUENCY ELECTROMAGNETIC RADIATION
1965|4.0|2.0|Journal of Chemical Physics|MassSpectrometric Study of the YttriumCarbon System
1966|3.0|3.0|IEEE Transactions on Information Theory|Generalized minimum distance decoding
1967|14.0|14.0|Journal of Geophysical Research|Studies of the middle- and far-infrared spectra of mineral surfaces for application in remote compositional mapping of the moon and planets.
1968|22.0|3.0|Journal of Geophysical Research|Alouette 1 and 2 observations of abrupt changes in whistler rate and of VLF noise variations at the plasmapauseA satelliteground study
1969|12.0|5.0|Calcified Tissue International|Mitochondrial granules in chondrocytes
1970|9.0|2.0|Protoplasma|Observations on spiny vesicles and P-protein in Nicotiana tabacum
1971|8.0|2.0|Cell and Tissue Research|Ultrastructure of sth cells of the pars distalis of hepatecto- mized mice.
1972|22.0|2.0|Attention Perception & Psychophysics|Interactions of signal and background variables in visual processing
1973|12.0|3.0|Earth and Planetary Science Letters|Relations in space and time between major Precambrian shield units: An interpretation of Western Australian data
1974|14.0|2.0|Journal of Geophysical Research|Visible and nearinfrared diffuse reflectance spectra of pyroxenes as applied to remote sensing of solid objects in the solar system
1975|28.0|1.5|Journal of Geophysical Research|Martian topography derived from occultation, radar, spectral, and optical measurements
1976|21.0|3.0|Journal of Geophysical Research|Radar imaging of ocean surface patterns
1977|30.0|2.5|Journal of Geophysical Research|The spatial relationship of fieldaligned currents and auroral electrojets to the distribution of nightside auroras
1978|22.0|3.0|Applied Physics Letters|Picosecond pulse generation with a cw GaAlAs laser diode
1979|48.0|2.0|Journal of Geophysical Research|Stare auroral radar observations of Pc 5 geomagnetic pulsations
1980|38.0|3.0|Human Genetics|Arrangement of chromosomes in the interphase nucleus of plants.
1981|35.0|3.0|Journal of Geophysical Research|On the detectability of ocean surface waves by real and synthetic aperture radar
1982|39.0|3.0|Journal of Geophysical Research|The SEASAT altimeter data and its accuracy assessment
1983|45.0|3.0|Planetary and Space Science|A comparison of wind observations of the upper thermosphere from the dynamics explorer satellite with the predictions of a global time-dependent model
1984|43.0|3.0|Journal of Geophysical Research|The Limb Infrared Monitor of the Stratosphere: Experiment Description, Performance, and Results
1985|30.0|3.0|Remote Sensing of Environment|Satellite remote sensing of total herbaceous biomass production in the Senegalese Sahel - 1980-1984
1986|35.0|3.0|International Journal of Remote Sensing|Characteristics of maximum-value composite images from temporal AVHRR data
1987|53.0|3.0|interactive 3d graphics and games|Virtual environment display system
1988|48.0|3.0|Psychological Review|Is Visual Imagery Really Visual? Overlooked Evidence from Neuropsychology.
1989|32.0|3.0|Eos, Transactions American Geophysical Union|Ocean color: Availability of the global data set
1990|176.0|3.0|neural information processing systems|The cascade-correlation learning architecture
1991|52.0|3.0|Remote Sensing of Environment|Potentials and limits of vegetation indices for LAI and APAR assessment
1992|65.0|4.0|Journal of Geophysical Research|An overview of the First International Satellite Land Surface Climatology Project (ISLSCP) Field Experiment (FIFE)
1993|80.0|3.0|Global Biogeochemical Cycles|Terrestrial ecosystem production: A process model based on global satellite and surface data
1994|62.0|4.0|IEEE Transactions on Knowledge and Data Engineering|Spatial SQL: a query and presentation language
1995|69.0|3.0|ACM Transactions on Information Systems|Design and evaluation of algorithms for image retrieval by spatial similarity
1996|104.0|3.0|international conference on computer graphics and interactive techniques|Real-time, continuous level of detail rendering of height fields
1997|123.0|4.0|Journal of Cell Biology|Characterization of the adaptor-related protein complex, AP-3
1998|243.0|4.0|Remote Sensing of Environment|AERONETA Federated Instrument Network and Data Archive for Aerosol Characterization
1999|101.0|4.0|Hepatology|The canals of hering and hepatic stem cells in humans
2000|278.0|4.0|Ecological Modelling|Predictive habitat distribution models in ecology
2001|185.0|4.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Fast approximate energy minimization via graph cuts
2002|445.0|5.0|International Journal of Computer Vision|A Taxonomy and Evaluation of Dense Two-Frame Stereo Correspondence Algorithms
2003|417.0|5.0|IEEE\/ACM Transactions on Networking|Directed diffusion for wireless sensor networking
2004|811.0|5.0|IEEE Transactions on Image Processing|Image quality assessment: from error visibility to structural similarity
2005|801.0|6.0|International Journal of Climatology|Very high resolution interpolated climate surfaces for global land areas
2006|607.0|5.0|computer vision and pattern recognition|Scalable Recognition with a Vocabulary Tree
2007|356.0|5.0|International Journal of Computer Vision|Local Features and Kernels for Classification of Texture and Object Categories: A Comprehensive Study
2008|701.0|5.0|PLOS ONE|Insect Brains Use Image Interpolation Mechanisms to Recognise Rotated Objects
2009|1392.0|4.0|Journal of Geophysical Research|Remote sensing of vegetation 3D structure for biodiversity and habitat: Review and implications for lidar and radar spaceborne missions
2010|700.0|6.0|Journal of Geophysical Research|Polar mesospheric cloud structures observed from the cloud imaging and particle size experiment on the Aeronomy of Ice in the Mesosphere spacecraft: Atmospheric gravity waves as drivers for longitudinal variability in polar mesospheric cloud occurrence
