----  Field Name Social science: 
----  Field Level 1.0: 
----  Field Papers Number 207865:
----  All time max citation paper: Collective dynamics of 'small-world' networks, 1998, (10030.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1922|0|0.0|Kolloidchemische Beihefte|Beitrge zur Kenntnis des Adsorptionsproblems : die Sorption von Dmpfen durch Kohle
1924|0|0.0|Acta Zoologica|Contributions to the knowledge of intra- and inter-specific relationships in Drosophila
1928|1.0|1.0|Acta Zoologica|BER DIE DETERMINATION DES KEIMES BEI ECHINODERMEN
1933|0|0.0||Bergbyggnaden inom Bjrkvattnet-Virisen-omrdet i Vsterbottensfjllens centrala del : en studie i den kaledoniska bergskedjans geologi
1939|7.0|6.0|Journal of Chemical Physics|Reactions Involving Hydrogen and the Hydrocarbons
1941|0|0.0|Journal of Chemical Physics|The Mechanism of Reactions Involving Excited Electronic States II. Some Reactions of the Alkali Metals with Hydrogen
1942|0|0.0|Review of Educational Research|Chapter I: Bibliographical and Documentary Techniques in Education, Psychology, and Social Science
1945|2.0|2.0|Hereditas|Cytological studies on Dipnoi, Urodela, Anura and Emys
1946|0|0.0|Scandinavian Actuarial Journal|On statistical demand analysis from the viewpoint of simultaneous equations
1948|0|0.0|Journal of Chemical Physics|Steric Effects. II. General Equations. Application to Cis and Trans2Butene
1949|10.0|5.0|Journal of Consulting Psychology|Social class in America.
1950|20.0|2.0|Journal of Chemical Physics|Molecular Orbital Calculations of the Lower Excited Electronic Levels of Benzene, Configuration Interaction Included
1951|6.0|2.5|Journal of Chemical Physics|The Ionization Potentials of the Deuterated Methanes
1952|1.0|0.5|The New England Journal of Medicine|Contributions of the Social Sciences to the Solution of Health Problems
1953|10.0|3.0|Chromosoma|Chromomere analysis of the chromosome complement of rye
1954|3.0|3.0|Archives of Biochemistry and Biophysics|Metabolism of soybean leaves. VI. Exploratory studies in protein metabolism
1955|9.0|5.0|Behaviour|Hostile, Sexual, and Other Social Behaviour Patterns of the Spice Finch (Lonchura Punctulata) in Captivity
1956|1.0|0.5|Journal of Chemical Physics|Molecular Screening Constants
1957|2.0|1.0|Child Development|An Evaluation of Sociometric - Social Behavior Research with Preschool Children
