----  Field Name Software Engineering: 
----  Field Level 1.0: 
----  Field Papers Number 92386:
----  All time max citation paper: A new look at the statistical model identification, 1974, (7826.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1940|0|0.0|The Journal of Agricultural Science|A critical survey of breeding wheat for baking quality.
1949|1.0|1.0|American Heart Journal|Neutralization of the Anticoagulant Effects of Heparin with Protamine (Salmine)
1950|2.0|1.0|The New England Journal of Medicine|A Fundamental Consideration of Anticoagulant Therapy
1958|0|0.0||PULSE COLUMN DESIGN
1959|0|0.0||Radio-frequency aspects of electro-nuclear accelerators
1960|1.0|1.0|Nature|Isotopic Composition of Potassium
1961|6.0|1.0|Journal of Chemical Physics|VAPOR PRESSURE OF SILICON AND THE DISSOCIATION PRESSURE OF SILICON CARBIDE
1962|4.0|1.0|Journal of the ACM|Mathematical Structure of Nonarithmetic Data Processing Procedures
1963|0|0.0|Nature|The Cyclotron Unit: Medical Research Council
1964|10.0|1.0|Mutation Research|X-RAY INDUCED MUTABILITY IN MALE GERM CELLS OF DROSOPHILA MELANOGASTER
1965|13.0|1.0|Photochemistry and Photobiology|RELATION OF PHOTOREACTIVATION TO PHOTOENZYMATIC REPAIR OF DNA IN ESCHERICHIA COLI
1966|26.0|1.0|Journal of Molecular Biology|ABNORMAL METABOLIC RESPONSE TO ULTRAVIOLET LIGHT OF A RECOMBINATION DEFICIENT MUTANT OF ESCHERICHIA COLI K12.
1967|9.0|4.0|Journal of Mathematical Psychology|Process models and stochastic theories of simple concept formation
1968|26.0|2.0|IEEE Transactions on Power Apparatus and Systems|Optimal Power Flow Solutions
1969|12.0|2.0|The Journal of Nuclear Medicine|KINETICS OF RADIONUCLIDES USED FOR BONE STUDIES.
1970|11.0|1.0|Engineering Geology|Uniaxial testing in rock mechanics laboratories
1971|8.0|1.0|IEEE Transactions on Electrical Insulation|Some Observations on the Character of Corona Discharges in Short Gap Spaces
1972|88.0|2.0|Communications of The ACM|On the criteria to be used in decomposing systems into modules
1973|17.0|1.0|symposium on principles of programming languages|Analysis of a simple algorithm for global data flow problems
1974|26.0|2.0|Psychological Review|An opponent-process theory of motivation. I. Temporal dynamics of affect.
1975|83.0|2.0|Cognitive Psychology|Information Representation in Visual Images.
1976|39.0|1.0|Journal of the ACM|A Fast and Usually Linear Algorithm for Global Flow Analysis
1977|18.0|2.0|Communications of The ACM|High-level data flow analysis
1978|63.0|2.0|Cognitive Science|Diagnostic Models for Procedural Bugs in Basic Mathematical Skills
1979|51.0|1.0|Journal of Consulting and Clinical Psychology|Role-Play Tests for Assessing Social Skills: Are They Valid? Are They Useful?.
1980|58.0|2.0|Journal of Experimental Psychology: General|Temporal integration in visual memory.
1981|27.0|2.0|IEEE Transactions on Computers|Some Experiments in Local Microcode Compaction for Horizontal Machines
1982|57.0|2.0|ACM Computing Surveys|Data-Driven and Demand-Driven Computer Architecture
1983|51.0|3.0|Environmental Mutagenesis|Salmonella mutagenicity test results for 250 chemicals
1984|80.0|2.0|Child Development|The Determinants of Parenting: A Process Model.
1985|52.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Stereo by Intra- and Inter-Scanline Search Using Dynamic Programming
1986|46.0|2.0|Environmental Mutagenesis|Salmonella mutagenicity tests: II. Results from the testing of 270 chemicals
1987|131.0|2.0|ACM Transactions on Programming Languages and Systems|The program dependence graph and its use in optimization
1988|93.0|3.0|design automation conference|Tutorial on high-level synthesis
1989|61.0|2.0|Journal of Parallel and Distributed Computing|Data communication in hypercubes
1990|142.0|2.0|Journal of Computational Chemistry|MacroModelan integrated software system for modeling organic and bioorganic molecules using molecular mechanics
1991|104.0|2.0|IEEE Transactions on Parallel and Distributed Systems|A loop transformation theory and an algorithm to maximize parallelism
1992|122.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|A method for registration of 3-D shapes
1993|264.0|3.0|IEEE Transactions on Signal Processing|Embedded image coding using zerotrees of wavelet coefficients
1994|274.0|2.0|ACM Transactions on Programming Languages and Systems|The temporal logic of actions
1995|258.0|2.0|Knowledge Engineering Review|Intelligent agents: theory and practice
1996|114.0|2.0|IEEE Computer|Role-based access control models
1997|200.0|2.0|ACM Transactions on Software Engineering and Methodology|A formal basis for architectural connection
1998|224.0|3.0|IEEE Transactions on Software Engineering|Understanding code mobility
1999|230.0|3.0|international conference on software engineering|N degrees of separation: multi-dimensional separation of concerns
2000|416.0|3.0|Nucleic Acids Research|MIPS: a database for genomes and protein sequences
2001|260.0|4.0|Communications of The ACM|An agent-based approach for building complex software systems
2002|690.0|4.0|IEEE Transactions on Evolutionary Computation|A fast and elitist multiobjective genetic algorithm: NSGA-II
2003|333.0|4.0|ACM Transactions on Software Engineering and Methodology|Developing multiagent systems: The Gaia methodology
2004|348.0|4.0|grid computing|BOINC: a system for public-resource computing and storage
2005|1113.0|4.0|computer vision and pattern recognition|Histograms of oriented gradients for human detection
2006|312.0|3.0|Psychological Bulletin|Associative and Propositional Processes in Evaluation: An Integrative Review of Implicit and Explicit Attitude Change.
2007|1831.0|3.0|BMC Evolutionary Biology|BEAST: Bayesian evolutionary analysis by sampling trees
2008|590.0|2.0|Journal of Geophysical Research|Climatology of mesopause region temperature, zonal wind, and meridional wind over Fort Collins, Colorado (41N, 105W), and comparison with model simulations
2009|562.0|2.0|Journal of International Business Studies|The Uppsala Internationalization Process Model Revisited: From Liability of Foreignness to Liability of Outsidership
2010|471.0|3.0|Operating Systems Review|Cassandra: a decentralized structured storage system
