----  Field Name Waste management: 
----  Field Level 1.0: 
----  Field Papers Number 25650:
----  All time max citation paper: Features of promising technologies for pretreatment of lignocellulosic biomass., 2005, (1823.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1960|1.0|1.0|Plant and Soil|Aluminium uptake and toxicity in plants
1965|0|0.0|American Industrial Hygiene Association Journal|Re-entrainment of Particles from a Plane Surface
1967|14.0|5.0|Water Research|Biological changes during the adaptation of an anaerobic digester to a synthetic substrate
1968|7.0|2.5|Water Research|Interrelations between biological and chemical characteristics in anaerobic digestion
1969|6.0|0.0|Water Research|Anaerobic digestion I. The microbiology of anaerobic digestion
1970|3.0|0.5|Water Research|Population description of the non-methanogenic phase of anaerobic digestion1. Isolation, characterization and identification of numerically important bacteria
1971|4.0|1.0|Combustion and Flame|The effect of additives on the cool flame combustion of n -heptane
1972|0|0.0|Journal of Aircraft|Hypersonic transports: Economics and environmental effects
1973|8.0|2.5|Marine Pollution Bulletin|Distribution of caesium-137 in British coastal waters
1974|34.0|3.5|Geochimica et Cosmochimica Acta|Tri- and tetraterpenoid hydrocarbons in the Messel oil shale
1975|9.0|1.0|Biotechnology and Bioengineering|Thermophilic Anaerobic Digestion of Solid Waste for Fuel Gas Production
1976|9.0|8.5||Atmospheric dispersion models for environmental pollution applications
1977|51.0|1.0|Journal of Catalysis|The conversion of methanol and other O-compounds to hydrocarbons over zeolite catalysts
1978|47.0|2.0|Journal of Catalysis|Reactions of carbon monoxide and hydrogen on Co, Ni, Ru, and Pd metals
1979|53.0|3.0|Journal of Catalysis|Incorporation of surface carbon into hydrocarbons during Fischer--Tropsch synthesis: mechanistic implications
1980|39.0|3.5|Geochimica et Cosmochimica Acta|Pyrolysis-high resolution gas chromatography and pyrolysis gas chromatography-mass spectrometry of kerogens and kerogen precursors
1981|28.0|2.0|Journal of the American Ceramic Society|HighAlumina Tailored Nuclear Waste Ceramics
1982|37.0|2.0|Journal of Catalysis|The formation of oxygen-containing organic molecules by the hydrogenation of carbon monoxide using a lanthanum rhodate catalyst
1983|33.0|2.0|Chemosphere|Occurrence and absence of polychlorodibenzofurans and polychlorodibenzodioxins in fly ash from municipal incinerators
1984|20.0|2.0|Journal of Catalysis|Effects of support and dispersion on the CO hydrogenation activity/selectivity properties of cobalt
1985|27.0|2.0|Chemosphere|Polychlorinated phenols, guaiacols and catechols in environment
1986|27.0|1.0|Water Resources Research|Transport of dissolved hydrocarbons influenced by oxygenlimited biodegradation: 1. Theoretical development
1987|18.0|1.0|Environmental Pollution|The leachability and chemical speciation of selected trace elements in fly ash from coal combustion and refuse incineration
1988|18.0|1.5|Critical Reviews in Environmental Science and Technology|Biorestoration of aquifers contaminated with organic compounds
1989|38.0|1.0|logic in computer science|Compositional model checking
1990|23.0|2.0|real-time systems symposium|A calculus for communicating systems with time and probabilities
1991|33.0|2.0|Combustion and Flame|Homogeneous N2O chemistry at fluidized bed combustion conditions: A kinetic modeling study
1992|31.0|2.0|Climatic Change|Sensitivity of terrestrial carbon storage to CO2-induced climate change: Comparison of four scenarios based on general circulation models
1993|30.0|2.0|Journal of Environmental Engineering|Maximum COD Loading Capacity in UASB Reactors at 37C
1994|66.0|3.0|Global Biogeochemical Cycles|Climatic, edaphic, and biotic controls over storage and turnover of carbon in soils
1995|53.0|2.0|Journal of the ACM|Bisimulation can't be traced
1996|59.0|2.0|Oecologia|A global analysis of root distributions for terrestrial biomes
1997|73.0|2.0|Nature|The fate of carbon in grasslands under carbon dioxide enrichment
1998|69.0|3.0|Nature|Effect of interannual climate variability on carbon storage in Amazonian ecosystems
1999|120.0|4.0|Analytical Biochemistry|Development and validation of real-time quantitative reverse transcriptase-polymerase chain reaction for monitoring gene expression in cardiac myocytes in vitro.
2000|103.0|4.0|Nature|Large differences in tropical aerosol forcing at the top of the atmosphereand Earth's surface
2001|115.0|5.0|Bioresource Technology|Remediation of dyes in textile effluent: a critical review on current treatment technologies with a proposed alternative
2002|205.0|6.0|Osteoarthritis and Cartilage|Articular cartilage repair: basic science and clinical progress. A review of the current status and prospects
2003|167.0|5.0|European Journal of Agronomy|An overview of APSIM, a model designed for farming systems simulation
2004|136.0|7.0|Nature|Ecosystem carbon storage in arctic tundra reduced by long-term nutrient fertilization
2005|449.0|8.0|Bioresource Technology|Features of promising technologies for pretreatment of lignocellulosic biomass.
2006|417.0|8.0|Bioresource Technology|Non-conventional low-cost adsorbents for dye removal: a review.
2007|185.0|7.0|International Journal of Hydrogen Energy|Continuous dark fermentative hydrogen production by mesophilic microflora: principles and progress
2008|459.0|8.0|Bioresource Technology|Inhibition of anaerobic digestion process : A review
2009|493.0|10.0|Chemsuschem|Adsorbent Materials for Carbon Dioxide Capture from Large Anthropogenic Point Sources
2010|439.0|10.0|Journal of Hazardous Materials|Adsorption of methylene blue on low-cost adsorbents: A review
