----  Field Name Welfare economics: 
----  Field Level 1.0: 
----  Field Papers Number 1433:
----  All time max citation paper: The theory of decision making, 1954, (745.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1954|8.0|8.0|Psychological Bulletin|The theory of decision making
1969|7.0|7.0|Public Choice|A normative theory of transfers
1970|0|0.0|Economist-netherlands|Human capital and the size distribution of income in Dutch cities
1971|13.0|13.0|Journal of Economic Literature|Three Basic Postulates for Applied Welfare Economics: An Interpretive Essay
1972|3.0|3.0|Journal of Public Economics|Welfare economics and the public regulation of natural monopoly
1974|15.0|7.5|Journal of Urban Economics|The welfare economics of city bigness
1976|6.0|1.5|Econometrica|Efficient Estimation of the Lorenz Curve and Associated Inequality Measures from Grouped Observations
1977|3.0|2.0|Journal of Public Economics|Dual interpersonal comparisons of utility and the welfare economics of income distribution
1978|2.0|2.0|International Economic Review|The New Welfare Economics, 1939-1974
1979|10.0|3.5|The Economic Journal|Personal Utilities and Public Judgements: Or What's Wrong with Welfare Economics?
1980|13.0|0.0||A suggestion for further simplifying the theory of money
1981|6.0|1.0||Assessing Private Enterprise: An Exegesis of Tangled Doctrine
1982|6.0|2.0||The Theory of Local Public Goods Twenty-Five Years After Tiebout: A Perspective
1983|3.0|0.0|Economica|Ex Post Welfare Economics and the Theory of Merit Goods
1984|3.0|1.5|Oecologia|The meaning and measurement of size hierarchies in plant populations
1985|2.0|0.0|Journal of Rural Studies|The value of green belt land
1986|6.0|2.0|Social Science & Medicine|The uses of spatial analysis in medical geography: a review.
1987|5.0|0.0|Journal of Health Economics|Applications of cost-benefit analysis to health care : Departures from welfare economic theory
1988|6.0|2.0|Journal of Mathematical Economics|The fundamental theorems of welfare economics without proper preferences
1989|13.0|1.0|World Bank Research Observer|Export processing zones : the economics of enclave manufacturing
1990|10.0|0.0||Theoretical Progress in Public Economics: A Provocative Assessment
1991|7.0|0.0|European Economic Review|Economists and the welfare state
1992|5.0|1.0|Bulletin of Economic Research|Inequality and Welfare in EEC Countries
1993|13.0|1.0|Fiscal Studies|The welfare economics of tax co-ordination in the European Community: a survey
1994|24.0|2.0|The American Economic Review|Barter and Monetary Exchange Under Private Information
1995|15.0|1.5|European Economic Review|Managerial Effort Incentives, X-Inefficiency and International Trade
1996|90.0|3.0|World Bank Economic Review|A New Data Set Measuring Income Inequality
1997|68.0|2.0|Journal of Health Economics|Economic foundations of cost-effectiveness analysis
1998|46.0|3.0||Computational tools for poverty measurement and analysis
1999|23.0|2.5||Trade liberalization and regional integration: the search for large numbers
2000|17.0|2.0|Journal of Health Economics|On the economic foundations of CEA. Ladies and gentlemen, take your positions!
2001|186.0|2.5|Journal of Economic Growth|Growth is Good for the Poor
2002|29.0|5.0|Journal of Economics|Inverse stochastic dominance, inequality measurement and Gini indices
2003|69.0|6.0|Journal of Economic Literature|Which Is the Fairest One of All? A Positive Analysis of Justice Theories
2004|33.0|4.0|Transportation Research Part B-methodological|THE OPTIMAL CORDON-BASED NETWORK CONGESTION PRICING PROBLEM
2005|40.0|3.0||Behavioral Public Economics: Welfare and Policy Analysis with Non-Standard Decision-Makers
2006|47.0|4.0|international conference on computer communications|Modeling Per-Flow Throughput and Capturing Starvation in CSMA Multi-Hop Wireless Networks
2007|49.0|2.0|Ecological Economics|Take a risk: Preferring prevention over control of biological invaders
2008|126.0|4.5|Journal of Statistical Software|lawstat: An R Package for Law, Public Policy and Biostatistics
2009|106.0|4.0|Annual Review of Resource Economics|The Economics of Genetically Modified Crops
2010|63.0|4.0|Ecological Economics|The role of fairness and benefit distribution in community-based Payment for Environmental Services interventions: A case study from Menabe, Madagascar
