----  Field Name Abstract algebra: 
----  Field Level 2.0: 
----  Field Papers Number 14660:
----  All time max citation paper: Stochastic Relaxation, Gibbs Distributions, and the Bayesian Restoration of Images, 1984, (4661.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1940|2.0|1.0|JAMA|COMPENSATORY ATROPHY OF THE ADRENALS
1941|2.0|1.0|Bulletin of the American Mathematical Society|Representations of Boolean algebras
1944|0|0.0|Proceedings of The Indian Academy of Sciences-mathematical Sciences|The evaluation of the specific heat of rock-salt by the new crystal dynamics
1946|0|0.0|Transactions of the American Mathematical Society|Distributive postulates for systems like Boolean algebras
1947|1.0|1.0|Bulletin of the American Mathematical Society|Linear topological division algebras
1948|2.0|2.0|Transactions of the American Mathematical Society|Measures in Boolean algebras
1949|3.0|3.0|Transactions of the American Mathematical Society|On ordered division rings
1950|9.0|3.5|Physica D: Nonlinear Phenomena|Trivalent Cations in Fluorescent Zinc Sulphide
1951|12.0|9.0|Proceedings of the American Mathematical Society|The structure of alternative division rings
1952|8.0|8.0|Journal of Chemical Physics|Nuclear Magnetic Resonance in Metals. I. Broadening of Absorption Lines by SpinLattice Interactions
1953|5.0|3.5|Journal of Applied Physics|DIFFUSION IN BIMETAL VAPOR-SOLID COUPLES
1954|3.0|2.5|Journal of the Physical Society of Japan|Electron Diffraction Study On the Ordered Alloy CuAu
1955|7.0|1.0|Transactions of the American Mathematical Society|On Boolean algebras of projections and algebras of operators
1956|7.0|0.0|Journal of Physics and Chemistry of Solids|THE EFFECT OF SHORT-RANGE ORDER ON RESIDUAL RESISTIVITY
1957|5.0|3.5|Journal of Chemical Physics|DIFFUSION OF NICKEL IN NICKEL OXIDE
1958|1.0|1.0|Journal of the American Ceramic Society|Effect of Oxide Additions on Sintering of Magnesia
1959|12.0|1.0|Journal of Applied Physics|DIFFUSION OF INTERSTITIAL SOLUTES IN THE GROUP V TRANSITION METALS
1960|2.0|0.0|Journal of Nuclear Materials|The nature and properties of transition metal hydrides
