----  Field Name Adaptive system: 
----  Field Level 2.0: 
----  Field Papers Number 7188:
----  All time max citation paper: Learning internal representations by error propagation, 1986, (4103.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1960|3.0|3.0||Iterative circuit computers
1962|1.0|1.0|Journal of the ACM|Outline for a Logical Theory of Adaptive Systems
1964|0|0.0||A computer-simulated on-line experiment in learning control systems
1966|8.0|4.0|IEEE Transactions on Information Theory|Self-corrective character recognition system
1967|6.0|4.0|Proceedings of the IEEE|Linear and adaptive delta modulation
1968|3.0|2.5|Proceedings of the IEEE|The theoretical analysis of data compression systems
1971|1.0|1.0|acm special interest group on data communication|The Data Reconfiguration Servicean experiment in adaptable, process/process communication
1972|0|0.0||Reproductive adaptive plans
1973|1.0|0.0|IEEE Transactions on Biomedical Engineering|Digital Simulation of an Adaptive System for Long-Term Ventilation of the Lungs
1974|1.0|0.5|technical symposium on computer science education|An introductory adaptive systems course for undergraduate computer science majors
1975|13.0|6.0|Advances in Computers|Practical Natural Language Processing: The REL System as Prototype
1976|12.0|3.0|Proceedings of the IEEE|Adaptive arrays&#8212;An introduction
1977|11.0|3.5|Proceedings of The Institution of Electrical Engineers|Some interpretations of the self-tuning controller
1978|10.0|1.5|Nature|Ethanol tolerance and the Adh polymorphism in a natural population of Drosophila melanogaster
1979|14.0|2.0|ACM Transactions on Mathematical Software|Design of an Adaptive, Parallel Finite-Element System
1980|37.0|0.5|Automatica|Human dynamics in man-machine systems
1981|16.0|2.5|Automatica|Parameter estimation for continuous-time models-A survey
1982|20.0|2.0|Computational Linguistics|An efficient easily adaptable system for interpreting natural language queries
1983|13.0|2.0|Journal of Computational Physics|Adaptive mesh refinement for hyperbolic partial differential equations
1984|29.0|1.0|IEEE Transactions on Acoustics, Speech, and Signal Processing|Fast, recursive-least-squares transversal filters for adaptive filtering
1985|10.0|1.0|IEEE Transactions on Communications|Vector Predictive Coding of Speech at 16 kbits/s
1986|364.0|3.0||Learning internal representations by error propagation
1987|25.0|1.0|Automatica|Non-linear dynamics in adaptive control: Chaotic and periodic stabilization
1988|23.0|1.0|IEEE Transactions on Software Engineering|A trace-driven simulation study of dynamic load balancing
1989|37.0|1.0|symposium on the theory of computing|Fast computation using faulty hypercubes
1990|114.0|3.0|Proceedings of the IEEE|30 years of adaptive neural networks: perceptron, Madaline, and backpropagation
1991|84.0|3.0|IEEE Transactions on Computers|An adaptive and fault tolerant wormhole routing strategy for k-ary n-cubes
1992|77.0|2.0|international symposium on computer architecture|Planar-adaptive routing: low-cost adaptive networks for multiprocessors
1993|66.0|2.0|IEEE Transactions on Fuzzy Systems|Stable adaptive fuzzy control of nonlinear systems
1994|32.0|2.0|IEEE Journal on Selected Areas in Communications|An adaptive multiuser receiver for CDMA systems
1995|115.0|2.0|Proceedings of the IEEE|Neuro-fuzzy modeling and control
1996|51.0|3.0||Mobile Information Access
1997|122.0|3.0|IEEE\/ACM Transactions on Networking|A reliable multicast framework for light-weight sessions and application level framing
1998|127.0|3.0|international conference on acoustics speech and signal processing|FFTW: an adaptive software architecture for the FFT
1999|143.0|5.0|Proceedings of the IEEE|Evolving artificial neural networks
2000|61.0|3.0|electronic commerce|Architecture for an Artificial Immune System
2001|219.0|2.0|American Psychologist|Ordinary Magic: Resilience Processes in Development.
2002|512.0|4.0|IEEE Transactions on Wireless Communications|An application-specific protocol architecture for wireless microsensor networks
2003|94.0|3.0|Molecular Immunology|The role of mannose-binding lectin in health and disease
2004|178.0|4.0|IEEE Transactions on Automatic Control|Cooperative control of mobile sensor networks:Adaptive gradient climbing in a distributed environment
2005|199.0|3.0|Journal of Network and Computer Applications|A service-oriented middleware for building context-aware services
2006|132.0|2.0|Developmental Biology|The immune gene repertoire encoded in the purple sea urchin genome.
2007|609.0|2.0|Cell|Discrete small RNA-generating loci as master regulators of transposon activity in Drosophila
2008|233.0|2.0|IEEE Transactions on Evolutionary Computation|Opposition-Based Differential Evolution
2009|226.0|1.0|ACM Transactions on Autonomous and Adaptive Systems|Self-adaptive software: Landscape and research challenges
2010|135.0|3.0|IEEE Transactions on Neural Networks|Robust Adaptive Neural Network Control for a Class of Uncertain MIMO Nonlinear Systems With Input Nonlinearities
