----  Field Name Aerial photography: 
----  Field Level 2.0: 
----  Field Papers Number 2848:
----  All time max citation paper: Late Quaternary ice sheet history of northern Eurasia, 2004, (572.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1964|0|0.0|Photogrammetria|The use of aerial photography for the development of soil resources in South America (Commission VII, Invited Paper, Lisbon 1964)
1965|1.0|1.0|Journal of Geophysical Research|Response of dye tracers to sea surface conditions
1970|4.0|2.0|Geoforum|Aerial photography: A diversified tool
1971|9.0|1.0|Journal of Geophysical Research|Some mechanisms of oceanic mixing revealed in aerial photographs
1972|15.0|7.5|Journal of Geophysical Research|Two substorm studies of relations between westward electric fields in the outer plasmasphere, auroral activity, and geomagnetic perturbations
1973|39.0|31.0|Journal of Geophysical Research|Martian Cratering, 4, Mariner 9 initial analysis of cratering chronology
1974|14.0|5.5|Icarus|The major Martian yellow storm of 1971
1975|4.0|1.0|IEEE Transactions on Computers|Building a Distance Function for Gestalt Grouping
1976|12.0|2.0|Journal of Geophysical Research|Simultaneous observations of discrete and diffuse auroras by the Isis 2 satellite and airborne instruments
1977|11.0|2.5|Journal of Geophysical Research|A simple thermal model of the Earth's surface for geologic mapping by remote sensing
1978|12.0|4.0|Geophysical Research Letters|Volcanism in the cratered terrain hemisphere of Mars
1979|28.0|6.0|Journal of Geophysical Research|Seasonal recession of Mars' south polar cap as seen by Viking
1980|29.0|3.5|Journal of Geophysical Research|Pioneer Venus Radar results: Geology from images and altimetry
1981|16.0|2.0|Icarus|Classification of wind streaks on Mars
1982|12.0|4.0|Journal of Geophysical Research|Aureole deposits of the Martian volcano Olympus Mons
1983|8.0|1.0|Journal of Geophysical Research|Sea ice motion measurements from SEASAT SAR images
1984|43.0|2.5|American Journal of Cardiology|Assessment of percutaneous transluminal coronary angioplasty by quantitative coronary angiography: Diameter versus densitometric area measurements
1985|39.0|2.5|European Heart Journal|Elective PTCA of totally occluded coronary arteries not associated with acute myocardial infarction; short-term and long-term results
1986|75.0|3.0|Journal of the American College of Cardiology|Early thrombolysis in acute myocardial infarction: limitation of infarct size and improved survival
1987|19.0|1.5|Landscape Ecology|Spatial simulation of landscape changes in Georgia: A comparison of 3 transition models
1988|32.0|3.5|American Journal of Cardiology|Additional improvement of stenosis geometry in human coronary arteries by stenting after balloon dilatation
1989|9.0|3.0|American Journal of Cardiology|Myocardial release of hypoxanthine and lactate during percutaneous transluminal coronary angioplasty
1990|32.0|3.5|IEEE Transactions on Pattern Analysis and Machine Intelligence|Integrating region growing and edge detection
1991|15.0|2.0|Icarus|Ancient aqueous sedimentation on Mars
1992|29.0|2.0|Journal of the American College of Cardiology|Directional Atherectomy for Treatment of Restenosis Within Coronary Stents - Clinical, Angiographic and Histologic Results
1993|15.0|2.0|Tectonics|Tectonic role of active faulting in central Oregon
1994|23.0|4.0|Water Resources Research|A physically based model for the topographic control on shallow landsliding
1995|28.0|2.5|Journal of Geophysical Research|Stratospheric aerosol effective radius, surface area and volume estimated from infrared measurements
1996|32.0|2.0|Landscape Ecology|Landscape influences on stream biotic integrity assessed at multiple spatial scales
1997|29.0|4.0|The New England Journal of Medicine|Stent placement compared with balloon angioplasty for obstructed coronary bypass grafts. Saphenous Vein De Novo Trial Investigators.
1998|22.0|3.0|Geomorphology|The recent history of erosion and sedimentation on the Southern Tablelands of southeastern Australia: sediment flux dominated by channel incision
1999|50.0|5.0|Circulation|Geometric Vascular Remodeling After Balloon Angioplasty and -Radiation Therapy A Three-Dimensional Intravascular Ultrasound Study
2000|46.0|5.0|decision support systems|Accuracy comparison of various remote sensing data sources in the retrieval of forest stand attributes
2001|40.0|4.0|computer vision and pattern recognition|3D model generation for cities using aerial photographs and ground level laser scans
2002|73.0|5.0|Catheterization and Cardiovascular Interventions|Prospective randomized study of Nacetylcysteine, fenoldopam, and saline for prevention of radiocontrastinduced nephropathy
2003|64.0|8.0|Remote Sensing of Environment|The spatiotemporal form of urban growth: measurement, analysis and modeling
2004|208.0|7.0|Quaternary Science Reviews|Late Quaternary ice sheet history of northern Eurasia
2005|69.0|7.0|Journal of Ecology|Rainfall, land use and woody vegetation cover change in semiarid Australian savanna
2006|69.0|8.0|Environmental Earth Sciences|Landslide susceptibility mapping in the Damrei Romel area, Cambodia using frequency ratio and logistic regression models
2007|110.0|7.0|European Heart Journal|Pulmonary vein isolation using an occluding cryoballoon for circumferential ablation: feasibility, complications, and short-term outcome.
2008|128.0|6.5|Ecology|FIRE REGIMES AT THE TRANSITION BETWEEN MIXEDWOOD AND CONIFEROUS BOREAL FOREST IN NORTHWESTERN QUEBEC
2009|80.0|8.0|International Journal of Physical Sciences|Landslide risk analysis using artificial neural network model focussing on different training sites.
2010|93.0|9.0|Engineering Geology|A GIS-based landslide susceptibility evaluation using bivariate and multivariate statistical analyses
