----  Field Name Affinity chromatography: 
----  Field Level 2.0: 
----  Field Papers Number 16768:
----  All time max citation paper: Single-step purification of polypeptides expressed in Escherichia coli as fusions with glutathione S -transferase, 1988, (2891.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1966|0|0.0|Journal of Molecular Biology|Peptide maps of rabbit G-immunoglobulin heavy chains controlled by Allelic Genes
1968|19.0|10.5|Biochemical and Biophysical Research Communications|Single-step purification of avidin from egg white by affinity chromatography on biocytin-Sepharose columns
1969|16.0|15.0|FEBS Journal|Affinity Chromatography of Bovine Pancratic Ribonuclease A
1970|18.0|1.0|FEBS Journal|The Purification of Papain by Affinity Chromatography
1971|27.0|7.0|Biochemical and Biophysical Research Communications|Purification of neuraminidases from Vibrio cholerae, Clostridium perfringens and influenza virus by affinity chromatography
1972|62.0|5.0|FEBS Journal|Affinity Chromatography of DNABinding Enzymes on SingleStranded DNAAgarose Columns
1973|45.0|2.0|Analytical Biochemistry|Hydrophobic affinity chromatography of proteins
1974|59.0|3.0|Thrombosis Research|Purification of antithrombin III by affinity chromatography
1975|33.0|3.0|Brain Research|Synaptosomal plasma membrane glycoproteins: Fractionation by affinity chromatography on concanavalin A
1976|55.0|3.0|FEBS Letters|Anticoagulant activity of heparin: separation of high-activity and low-activity heparin species by affinity chromatography on immobilized antithrombin.
1977|23.0|3.0|Biochemical and Biophysical Research Communications|A cluster-gene: Evidence for one gene, one polypeptide, five enzymes
1978|26.0|2.0|Journal of Investigative Dermatology|Purification and Some Characteristics of the Human Epidermal SH-Protease Inhibitor
1979|69.0|2.0|Biochemical and Biophysical Research Communications|Calcium-dependent affinity chromatography of calmodulin on an immobilized phenothiazine
1980|165.0|3.0|Cell|An immunoglobulin heavy chain variable region gene is generated from three segments of DNA: VH, D and JH
1981|39.0|2.0|Nature|Identification of d segments of immunoglobulin heavy-chain genes and their rearrangement in t lymphocytes.
1982|140.0|3.0|Biochemical and Biophysical Research Communications|Ca 2+ -induced hydrophobic site on calmodulin: Application for purification of calmodulin by phenyl-Sepharose affinity chromatography
1983|262.0|3.0|Cell|A tissue-specific transcription enhancer element is located in the major intron of a rearranged immunoglobulin heavy chain gene
1984|98.0|3.0|European Journal of Immunology|The immunoglobulin heavy chain variable region (IghV) locus in the mouse. I. One hundred IghV genes comprise seven families of homologous genes
1985|209.0|2.5|Cell|Identification and isolation of a 140 kd cell surface glycoprotein with properties expected of a fibronectin receptor
1986|139.0|2.0|Cell|An hsp70-like protein in the ER: Identity with the 78 kd glucose-regulated protein and immunoglobulin heavy chain binding protein
1987|45.0|2.0|Journal of Cell Biology|Lamin B constitutes an intermediate filament attachment site at the nuclear envelope
1988|377.0|2.0|Gene|Single-step purification of polypeptides expressed in Escherichia coli as fusions with glutathione S -transferase
1989|40.0|2.0|FEBS Letters|Receptor and effector interactions of G s Functional studies with antibodies to the  s carboxyl-terminal decapeptide
1990|42.0|2.0|Cell|Multiple 1 chain integrins are receptors for invasin, a protein that promotes bacterial penetration into mammalian cells
1991|24.0|2.0|Neurochemical Research|The GABAA receptor family in the mammalian brain.
1992|35.0|2.0|Journal of Cell Biology|Identification of a specific glycoprotein ligand for P-selectin (CD62) on myeloid cells.
1993|40.0|3.0|Nature Genetics|Structure and physical map of 64 variable segments in the 3 0.8megabase region of the human immunoglobulin heavychain locus
1994|62.0|3.0|European Journal of Immunology|The progressive differentiation of primed T cells is associated with an increasing susceptibility to apoptosis
1995|135.0|3.0|Current Biology|Two different subunits of importin cooperate to recognize nuclear localization signals and bind them to the nuclear envelope
1996|120.0|3.0|Cell|E-Cadherin Is the Receptor for Internalin, a Surface Protein Required for Entry of L. monocytogenes into Epithelial Cells
1997|274.0|4.0|Current Opinion in Cell Biology|Rho, Rac and Cdc42 GTPases regulate the organization of the actin cytoskeleton.
1998|111.0|4.0|Molecular and Cellular Biology|The Nuclear Orphan Receptor CAR-Retinoid X Receptor Heterodimer Activates the Phenobarbital-Responsive Enhancer Module of the CYP2B Gene
1999|89.0|5.0|Proceedings of the National Academy of Sciences of the United States of America|Rapid production of specific vaccines for lymphoma by expression of the tumor-derived single-chain Fv epitopes in tobacco plants.
2000|133.0|6.0|Immunity|Positive Selection from Newly Formed to Marginal Zone B Cells Depends on the Rate of Clonal Production, CD19, and btk
2001|231.0|6.0|Trends in Cell Biology|Rho family proteins: coordinating cell responses
2002|213.0|6.0|Nature|Comprehensive proteomic analysis of the human spliceosome
2003|356.0|6.0|Annual Review of Immunology|Regulation of immune responses through inhibitory receptors.
2004|255.0|8.0|Genes & Development|The Drosha-DGCR8 complex in primary microRNA processing
2005|423.0|11.0|Nature Cell Biology|MicroRNA-dependent localization of targeted mRNAs to mammalian P-bodies
2006|200.0|7.0|Plant Journal|Gatewaycompatible vectors for plant functional genomics and proteomics
2007|306.0|9.0|Molecular Systems Biology|Large-scale mapping of human protein-protein interactions by mass spectrometry.
2008|431.0|11.0|Immunity|Molecular antagonism and plasticity of regulatory and inflammatory T cell programs
2009|566.0|11.0|Nature|Argonaute HITS-CLIP decodes microRNA|[ndash]|mRNA interaction maps
2010|1325.0|12.0|PLOS ONE|T Cell Specific Adapter Protein (TSAd) Interacts with Tec Kinase ITK to Promote CXCL12 Induced Migration of Human and Murine T Cells
