----  Field Name Algebraic statistics: 
----  Field Level 2.0: 
----  Field Papers Number 12570:
----  All time max citation paper: Regression Models and Life-Tables, 1992, (11495.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1936|5.0|5.0|Journal of Chemical Physics|Potential Functions of Molecular Groups and the Vibrations of the Halogen Derivatives of Methane
1944|0|0.0|Journal of Chemical Physics|Molecular Constants and Chemical Theories II. Additive Molecular Constants and Chemical Structures
1952|5.0|3.0|Bulletin of the American Mathematical Society|Some aspects of the sequential design of experiments
1953|2.0|1.0|Journal of Chemical Physics|Normal Coordinate Treatment of Diacetylene
1955|7.0|6.0|Transactions of the American Mathematical Society|Difference sets in a finite group
1956|4.0|3.0|Proceedings of the American Mathematical Society|A survey of difference sets
1957|3.0|1.5|Journal of Applied Physics|DESIGN AND EVALUATION OF AN S-BAND REBATRON
1958|56.0|5.5|Journal of Chemical Physics|Determination of Molecular Structures from Ground State Rotational Constants
1959|0|0.0|Journal of the Physical Society of Japan|The Electronic Structure of the Protonated Methane CH^+_5
1960|22.0|6.0|Journal of Chemical Physics|Anomalous Relaxation of Hyperfine Components in Electron Spin Resonance. II
1961|17.0|5.0|Journal of Chemical Physics|Molecular Orbital Theory and Hyperfine Splitting in Electron Spin Resonance Spectra of Semiquinones
1962|0|0.0|Annals of Mathematical Statistics|Uncertainty, Information, and Sequential Experiments
1963|3.0|2.0|Journal of Chemical Physics|Electron Spin Resonance of Some Arylsulfenyl Radicals
1964|3.0|1.0|Annals of Mathematical Statistics|Robust Estimation of a Location Parameter
1965|3.0|3.0|Biometrika|Sequential sampling: two decision problems with linear losses for binomial and normal random variables
1966|5.0|2.0|Communications of The ACM|Design of computer simulation experiments for industrial systems
1967|8.0|2.0|Science|Neural Basis of the Sense of Flutter-Vibration
1968|9.0|0.5|Behaviour Research and Therapy|A sequential analysis of the effect of selective positive reinforcement in modifying anorexia nervosa
1969|2.0|2.0|Journal of Differential Equations|A special class of dynamical polysystems.
1970|8.0|2.0|Heat and Mass Transfer|A two-parameter model of turbulence, and its application to free jets
1971|4.0|0.0|Journal of Experimental Psychology|Contextual effects in information integration
1972|5.0|1.5|Journal of Solid State Chemistry|The crystal structure of beta strontium pyrovanadate
1973|11.0|1.0|Geochimica et Cosmochimica Acta|Elemental composition of individual chondrules from ordinary chondrites.
1974|13.0|2.0|Journal of Fluid Mechanics|Natural convection in a shallow cavity with differentially heated end walls. Part 1. Asymptotic theory
1975|15.0|1.0|Nature|Retinal resistance barriers and electrical lateral inhibition
1976|13.0|1.0|Combustion and Flame|Asymptotic theory of diffusion-flame extinction in the stagnation-point boundary layer
1977|10.0|1.5|Journal of Applied Physics|The Viscosity and Structural Relaxation Rate of Evaporated Amorphous Selenium.
1978|30.0|1.0|Nature|Initiation of chemical carcinogenesis requires cell proliferation
1979|20.0|2.0|Journal of Fluid Mechanics|Laminar flow of an incompressible fluid past a bluff body: the separation, reattachment, eddy properties and drag
1980|66.0|2.0|Biochimica et Biophysica Acta|The sequential analysis of liver cancer induction
1981|28.0|3.0|Annals of Statistics|Some Asymptotic Theory for the Bootstrap
1982|19.0|1.0|Econometric Reviews|On unification of the asymptotic theory of nonlinear econometric models
1983|12.0|2.0|Continental Shelf Research|An instrument system for the investigation of particle fluxes
1984|31.0|2.0|Technometrics|Estimation of the generalized extreme-value distribution by the method of probability-weighted moments
1985|50.0|2.0|IEEE Design & Test of Computers|Built-In Self-Test Techniques
1986|31.0|2.0|Journal of Chemical Physics|Adiabatic separations of stretching and bending vibrations: Application to H2O
1987|43.0|2.0|Journal of Econometrics|Interpreting the evidence on money-income causality
1988|43.0|2.0|IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems|Test generation for sequential circuits
1989|57.0|2.0|Reviews of Geophysics|The occurrence and origin of Late Paleozoic remagnetization in the sedimentary rocks of North America
