----  Field Name Anthropometry: 
----  Field Level 2.0: 
----  Field Papers Number 5357:
----  All time max citation paper: Reducing children's television viewing to prevent obesity : A Randomized controlled trial, 1999, (1004.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1956|1.0|1.0|Annals of Human Genetics|A CONTRIBUTION TO THE STUDY OF BIRTH WEIGHT BASED ON AN ITALIAN SAMPLE
1965|8.0|4.0|JAMA Pediatrics|Birth Weight and Gestation As Indices of Immaturity: Neonatal Mortality and Congenital Anomalies Of the Immature
1966|2.0|1.0|Cell and Tissue Research|THE ROLE OF THE THYROID IN THE DEVELOPMENT OF MAUTHNER'S NEURON A KARYOMETRIC STUDY IN THYROIDECTOMIZED ANURAN LARVAE*
1967|0|0.0|The Journal of Pediatrics|A comparison of skeletal growth and maturation in undernourished and well-nourished girls before and after menarche.
1970|11.0|2.0|The Journal of Pediatrics|Growth of low-birth-weight infants
1971|1.0|0.5|Toxicology and Applied Pharmacology|The effects of mestranol-containing synthetic grit on the breeding of pigeons.
1972|6.0|4.0|IEEE Transactions on Biomedical Engineering|Automated Radiographic Diagnosis via Feature Extraction and Classification of Cardiac Size and Shape Descriptors
1973|2.0|1.0|IEEE Transactions on Biomedical Engineering|The Application of Aerospace Technology to Patient Monitoring
1974|1.0|0.5|Nature|Genotype interaction with undernutrition and external environment in early life.
1975|33.0|1.0|American Psychologist|Functionalism, Darwinism, and the psychology of women.
1976|38.0|2.5|The New England Journal of Medicine|Effect of alcohol (ethanol) administration on sex-hormone metabolism in normal men
1977|14.0|9.0|American Journal of Physical Anthropology|Correlation of tooth size and body size in living hominoid primates, with a note on relative brain size inAegyptopithecus andProconsul
1978|8.0|2.0|Life Sciences|Extrahypophysial distribution of thyrotropin as a function of brain size
1979|13.0|2.0|Brain Research|Rehabilitation following early malnutrition in the rat: Body weight, brain size, and cerebral cortex development
1980|11.0|1.5|The American Journal of Clinical Nutrition|Relationships between Ascaris infection and growth of malnourished preschool children in Kenya.
1981|51.0|5.5|Nature|Relative brain size and basal metabolic rate in terrestrial vertebrates
1982|21.0|3.0|The New England Journal of Medicine|Nutritional assessment: A comparison of clinical judgement and objective measurements
1983|14.0|3.0|The Quarterly Review of Biology|Energy metabolism, brain size and longevity in mammals.
1984|33.0|2.0|Psychoneuroendocrinology|Melatonin in relation to body measures, sex, age, season and the use of drugs in patients with major affective disorders and healthy subjects.
1985|69.0|2.0|The New England Journal of Medicine|The contribution of low birth weight to infant mortality and childhood morbidity.
1986|7.0|2.0|Population and Development Review|Food crisis nutrition and female children in rural Bangladesh.
1987|40.0|3.0|American Journal of Anatomy|Brain sizes, surfaces, and neuronal sizes of the cortex cerebri: A stereological investigation of man and his variability and a comparison with some mammals (primates, whales, marsupials, insectivores, and one elephant)
1988|78.0|2.0|Personality and Individual Differences|Race differences in behaviour: A review and evolutionary analysis
1989|28.0|1.0|The American Naturalist|Brain Size and Its Relation to the Rate of Metabolism in Mammals
1990|68.0|2.5|Behavioral and Brain Sciences|Brain evolution in Homo: The radiator theory
1991|52.0|3.0|Intelligence|In vivo brain size and intelligence
1992|24.0|1.5|Intelligence|Sex differences in relative brain size : the mismeasure of woman, too?
1993|32.0|3.0|The Lancet|Abnormal T-cell subset proportions in vitamin-A-deficient children
1994|27.0|2.0|Journal of Clinical Epidemiology|Fibrinogen and fibrinolytic variables in relation to anthropometry, lipids and blood pressure. The Northern Sweden Monica study
1995|80.0|4.0|Neuron|Igf1 gene disruption results in reduced brain size, CNS hypomyelination, and loss of hippocampal granule and striatal parvalbumin-containing neurons
1996|66.0|5.0|Brain|Brain development, gender and IQ in children. A volumetric imaging study.
1997|64.0|3.0|Nature|Body mass and encephalization in Pleistocene Homo
1998|51.0|4.5|Archives of General Psychiatry|A Controlled Study of Cortical Gray Matter and Ventricular Changes in Alcoholic Men Over a 5-Year Interval
1999|180.0|6.0|Journal of Clinical Investigation|The natural history of insulin secretory dysfunction and insulin resistance in the pathogenesis of type 2 diabetes mellitus
2000|109.0|7.0|JAMA|Regional Brain Volume Abnormalities and Long-term Cognitive Outcome in Preterm Infants
2001|76.0|6.0|Archives of General Psychiatry|Progressive brain volume changes and the clinical course of schizophrenia in men: a longitudinal magnetic resonance imaging study.
2002|216.0|6.0|JAMA|Developmental trajectories of brain volume abnormalities in children and adolescents with attention-deficit/hyperactivity disorder
2003|86.0|8.0|Brain|Dissociations of cerebral cortex, subcortical and cerebral white matter volumes in autistic boys
2004|180.0|9.0|Nature|A new small-bodied hominin from the Late Pleistocene of Flores, Indonesia
2005|267.0|9.0|Cerebral Cortex|Regional Brain Changes in Aging Healthy Adults: General Trends, Individual Differences and Modifiers
2006|91.0|10.0|Proceedings of the National Academy of Sciences of the United States of America|Aspm specifically maintains symmetric proliferative divisions of neuroepithelial cells.
2007|248.0|10.0|Human Brain Mapping|Bias between MNI and Talairach coordinates analyzed using the ICBM152 brain template
2008|434.0|8.0|JAMA Internal Medicine|25-Hydroxyvitamin D and Risk of Myocardial Infarction in Men: A Prospective Study
2009|703.0|7.0|Nature Genetics|Six new loci associated with body mass index highlight a neuronal influence on body weight regulation
2010|222.0|10.0|BMC Public Health|The prevalence of stunting, overweight and obesity, and metabolic disease risk in rural South African children
