----  Field Name Astrochemistry: 
----  Field Level 2.0: 
----  Field Papers Number 3745:
----  All time max citation paper: The cosmological simulation code gadget2, 2005, (595.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1948|0|0.0|Journal of The American Pharmaceutical Association|A study of phosphorus uptake in the rat tooth by radioactive tracer techniques
1949|3.0|2.0|JAMA Internal Medicine|Radioactive isotopes in the study of peripheral vascular disease. I. Derivation of a circulatory index
1950|0|0.0|Laryngoscope|Blood dyscrasia in otolaryngology
1951|8.0|8.0|Nature|Labelling of Proteins with Iodine-131, Sulphur-35 and Phosphorus-32
1952|1.0|1.0|Cellular and Molecular Life Sciences|DISTRIBUTION OF RADIOPHOSPHORUS IN THE LONG BONES OF ADULT RABBITS
1955|4.0|4.0|Experimental Cell Research|Desoxypentose nucleic acid synthesis during microsporogenesis in Tradescantia
1957|3.0|3.0|Archives of Ophthalmology|FUNDAMENTAL LIMITATIONS OF RADIOPHOSPHORUS COUNTING METHODS USED FOR DETECTION OF INTRAOCULAR NEOPLASM
1958|6.0|6.0|Journal of Atmospheric and Solar-Terrestrial Physics|On the production of radioisotopes in the atmosphere by cosmic radiation and their application to meteorology
1960|1.0|1.0|Journal of Cellular and Comparative Physiology|Leakage of phosphate compounds from ultravioletirradiated yeast cells
1962|2.0|2.0|Biochimica et Biophysica Acta|THE PREPARATION AND CHARACTERISTICS OF HIGHLY PURIFIED RADIOACTIVELY LABELLED POXVIRUS
1963|0|0.0|Nature|Effects of X-rays on Nuclear RNA of Lymphatic Cells
1964|6.0|3.0|The New England Journal of Medicine|RADIATION EXPOSURE FROM RADIOISOTOPES IN PEDIATRICS
1965|78.0|5.0|Journal of Molecular Biology|A two-dimensional fractionation procedure for radioactive nucleotides.
1966|0|0.0|Journal of Clinical Investigation|Changes in sugar nucleotide and high energy phosphate kinetics during in vivo development of sponge biopsy connective tissue.
1967|4.0|1.5|Journal of Clinical Investigation|Neutrophil Kinetics in Acute Infection*
1968|26.0|16.0|Nature|Sequence analysis of specific areas of the 16S and 23S ribosomal RNAs.
1969|13.0|6.5|Archives of Biochemistry and Biophysics|Effect of galactose on energy and phospholipid metabolism in the chick brain.
1970|14.0|3.0|Journal of Experimental Medicine|Australia antigen (a hepatitis-associated antigen). Purification and physical properties.
1971|13.0|4.5|Journal of Geophysical Research|Cosmicray gradient measured by the argon 37/argon 39 ratio in the Lost City meteorite
1972|10.0|5.5|Journal of Virology|Structure of the Ribonucleoprotein of Influenza Virus
1973|9.0|3.5|Photochemistry and Photobiology|THE FATE OF PYRIMIDINE DIMERS IN ULTRAVIOLETIRRADIATED CHLAMYDOMONAS
1974|6.0|3.0|Photochemistry and Photobiology|THE FORMATION OF PHOTOREVERSIBLE CYCLOBUTANETYPE PYRIMIDINE DIMERS IN ULTRAVIOLETIRRADIATED POTATO VIRUS X*
1975|2.0|1.5|Seminars in Nuclear Medicine|Studies of the erythron
1976|0|0.0|Astrophysics and Space Science|Radical formation, chemical processing, and explosion of interstellar grains
1977|8.0|0.0|Journal of Chemical Physics|Product distributions for some thermal energy charge transfer reactions of rare gas ions
1978|12.0|6.5|Journal of Applied Physics|Radiation damage in neutron transmutation doped silicon: Electrical property studies
1979|3.0|1.0|Virchows Archiv|Fibrous histiocytoma: an analysis of the storiform pattern.
1980|7.0|6.0|Earth and Planetary Science Letters|Kinetic model of ammonia synthesis in the solar nebula
1981|11.0|3.0||Organic compounds in meteorites and their origins
1982|2.0|0.0|Annals of the New York Academy of Sciences|PHYSICAL CONDITIONS OF THE ORION NEBULA DERIVED FROM OPTICAL AND ULTRAVIOLET DATA
1983|14.0|1.0|Journal of Chemical Physics|Photodissociation processes in the OH molecule
1984|21.0|2.0|Journal of Chemical Physics|Energetics of the protonation of CO - Implications for the observation of HOC(+) in dense interstellar clouds
1985|32.0|2.0|Behavioral Ecology and Sociobiology|Parental energy expenditure: a proximate cause of helper recruitment in the pied kingfisher ( Ceryle rudis )
1986|42.0|4.0|Biochemical and Biophysical Research Communications|Nerve growth factor mRNA in brain: localization by in situ hybridization
1987|25.0|2.0|Icarus|Timescales for planetary accretion and the structure of the protoplanetary disk
1988|49.0|1.0|Genetics|Gene mapping with recombinant inbreds in maize
1989|47.0|2.0|Analytical Biochemistry|The generation of radiolabeled DNA and RNA probes with polymerase chain reaction
1990|19.0|1.0|Journal of Magnetic Resonance|New, compensated Carr-Purcell sequences
1991|28.0|3.0|Neuroscience Letters|The calibration of 35 S or 32 P with 14 C-labeled brain paste or 14 C-plastic standards for quantitative autoradiography using LKB Ultrofilm or Amersham Hyperfilm
1992|15.0|2.5|Chemical Physics Letters|A global ab initio potential for HCN/HNC, exact vibrational energies, and comparison for experiment
1993|19.0|4.0|Journal of Chemical Physics|Photodissociation of CH2. II. Threedimensional wave packet calculations on dissociation through the first excited triplet state
1994|15.0|1.0||Noble gases in presolar diamonds I: Three distinct components and their implications for diamond origins
1995|33.0|1.0|Metabolism-clinical and Experimental|Limitations in the assessment of dietary energy intake by self-report
1996|30.0|5.0|Journal of The American Dietetic Association|Comparison of Multiple-Pass 24-Hour Recall Estimates of Energy Intake With Total Energy Expenditure Determined By the Doubly Labeled Water Method in Young Children
1997|19.0|2.5|Metabolism-clinical and Experimental|Plasma leptin concentrations and energy expenditure in heart failure patients
1998|31.0|3.0|Journal of The American Dietetic Association|Literacy and Body Fatness are Associated with Underreporting of Energy Intake in US Low-Income Women Using the Multiple-Pass 24-hour Recall
1999|92.0|3.0|Annals of Epidemiology|Measurement Characteristics of the Womens Health Initiative Food Frequency Questionnaire
2000|46.0|4.0|Nature|Identification of molecular-cloud material in interplanetary dust particles
2001|77.0|4.0|Physics of Plasmas|A survey of dusty plasma physics
2002|134.0|3.0|Nature|A short timescale for terrestrial planet formation from Hf|[ndash]|W chronometry of meteorites
2003|123.0|5.0|Annual Review of Nutrition|ENERGETICS OF FREE-RANGING MAMMALS, REPTILES, AND BIRDS
2004|64.0|3.0|Nature|Monoenergetic beams of relativistic electrons from intense laser-plasma interactions
2005|181.0|4.0|Monthly Notices of the Royal Astronomical Society|The cosmological simulation code gadget2
2006|110.0|4.0|JAMA|Daily Activity Energy Expenditure and Mortality Among Older Adults
2007|98.0|2.0|Journal of Structural Biology|Bsoft: Image processing and molecular modeling for electron microscopy
2008|226.0|2.0|International Journal of Behavioral Nutrition and Physical Activity|A comparison of direct versus self-report measures for assessing physical activity in adults: a systematic review.
2009|131.0|2.0|European Journal of Applied Physiology|Assessment of physical activity: a critical appraisal.
2010|159.0|1.0|Journal of The American Dietetic Association|A Systematic Review of the Validity of Dietary Assessment Methods in Children when Compared with the Method of Doubly Labeled Water
