----  Field Name Asymptotic analysis: 
----  Field Level 2.0: 
----  Field Papers Number 6247:
----  All time max citation paper: Molecular excitation energies to high-lying bound states from time-dependent density-functional response theory: Characterization and correction of the time-dependent local density approximation ionization threshold, 1998, (2005.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1962|8.0|8.0|Journal of Applied Physics|Band Theory, Valence Bond, and TightBinding Calculations
1963|2.0|2.0|Journal of Chemical Physics|Monte Carlo Procedure for Statistical Mechanical Calculations in a Grand Canonical Ensemble of Lattice Systems
1967|1.0|1.0|Journal of Mathematical Analysis and Applications|Some asymptotic behavior results for initial value problems: An application of invariant imbedding
1969|1.0|0.5|Journal of Differential Equations|On asymptotic behavior and periodic solutions of a certain volterra integral equation
1970|4.0|4.0|Journal of Fluid Mechanics|The stability of pipe flow Part 1. Asymptotic analysis for small wave-numbers
1971|10.0|2.5|Communications in Mathematical Physics|A class of homogeneous cosmological models. III. Asymptotic behaviour
1972|6.0|1.5|Proceedings of the American Mathematical Society|On asymptotic behavior of perturbed nonlinear systems
1973|4.0|1.0|Journal of Elasticity|AN ASYMPTOTIC FINITE-DEFORMATION ANALYSIS OF THE ELASTOSTATIC FIELD NEAR THE TIP OF A CRACK
1974|6.0|0.0|IEEE Transactions on Biomedical Engineering|A Discrete-Time Model for Cell-Age, Size, and DNA Distributions of Proliferating Cells, and its Application to the Movement of the Labeled Cohort
1975|8.0|2.5|Bellman Prize in Mathematical Biosciences|Asymptotic analysis of stochastic models in population genetics
1976|8.0|0.5|Transactions of the American Mathematical Society|Tauberian theorems for a positive definite form, with applications to a Volterra equation
1977|20.0|1.5|Archive for Rational Mechanics and Analysis|The approach of solutions of nonlinear diffusion equations to travelling front solutions
1978|11.0|2.5|Journal of Chemical Physics|Electronic structure of the noble gas dimer ions. I. Potential energy curves and spectroscopic constants
1979|9.0|2.0|Communications in Mathematical Physics|Quasilinear hyperbolic systems
1980|17.0|1.0|Journal of Chemical Physics|Dipole moment functions of the hydrogen halides
1981|5.0|1.0|Combustion and Flame|A flame inhibition theory by inert dust and spray
1982|17.0|1.0|Journal of The Mechanics and Physics of Solids|Asymptotic analysis of growing plane strain tensile cracks in elastic-ideally plastic solids
1983|15.0|1.5|Journal of Chemical Physics|Reactive dynamics in energy transfer problems
1984|19.0|2.0|Progress in Energy and Combustion Science|Laminar diffusion flamelet models in non-premixed turbulent combustion
1985|5.0|1.0|Water Resources Research|Field Determination of the ThreeDimensional Hydraulic Conductivity Tensor of Anisotropic Media: 1. Theory
1986|14.0|2.0|Journal of Chemical Physics|An equation of state for dense rigid sphere gases
1987|23.0|1.0|Journal of Applied Physics|Theory of resonant tunneling in a variably spaced multiquantum well structure - An Airy function approach
1988|57.0|1.0|Journal of Geophysical Research|Uplift of the Central Andean Plateau and bending of the Bolivian orocline
1989|26.0|2.0|Annals of Statistics|The Jackknife and the Bootstrap for General Stationary Observations
1990|18.0|3.0|Combustion and Flame|Aspects of the structure and extinction of diffusion flames in methane-oxygen-nitrogen systems
1991|70.0|3.0|Communications in Mathematical Physics|On quantum gauge theories in two dimensions
1992|29.0|2.0|IEEE Transactions on Signal Processing|Analysis of subspace fitting and ML techniques for parameter estimation from sensor array data
1993|19.0|2.0|Journal of Chemical Physics|A threedimensional study of NeICl predissociation resonances by the complex scaled discrete variable representation method
1994|29.0|2.0|Physics Letters B|Double asymptotic scaling at HERA
1995|38.0|2.0|Journal of Econometrics|Statistical inference in vector autoregressions with possibly integrated processes
1996|49.0|1.0|Journal of Chemical Physics|Improved density functional theory results for frequencydependent polarizabilities, by the use of an exchangecorrelation potential with correct asymptotic behavior
1997|30.0|2.0|IEEE Transactions on Neural Networks|Asymptotic statistical theory of overtraining and cross-validation
1998|189.0|2.0|Journal of Chemical Physics|Molecular excitation energies to high-lying bound states from time-dependent density-functional response theory: Characterization and correction of the time-dependent local density approximation ionization threshold
1999|342.0|3.0|international conference on computer communications|Web caching and Zipf-like distributions: evidence and implications
2000|41.0|2.0|Journal of Magnetic Resonance|Spin Dynamics of CarrPurcellMeiboomGill-like Sequences in Grossly Inhomogeneous B 0 and B 1 Fields and Application to NMR Well Logging
2001|186.0|3.0|Journal of High Energy Physics|The dS/CFT Correspondence
2002|61.0|2.0|Journal of High Energy Physics|Comments on superstring interactions in a plane-wave background
2003|74.0|3.0|IEEE Transactions on Information Theory|Algebraic soft-decision decoding of Reed-Solomon codes
2004|98.0|3.0|Trends in Ecology and Evolution|Transients: the key to long-term ecological understanding?
2005|88.0|3.0|Journal of High Energy Physics|Fractal spacetime structure in asymptotically safe gravity
2006|188.0|3.0|Journal of Chemical Physics|Assessment of a long-range corrected hybrid functional
2007|152.0|3.0|Communications in Partial Differential Equations|THE GEOMETRY OF DISSIPATIVE EVOLUTION EQUATIONS: THE POROUS MEDIUM EQUATION
2008|103.0|3.0|Physics of Fluids|Asymptotic structure of steady nonlinear reaction-diffusion-Marangoni convection fronts
2009|132.0|3.0|Journal of High Energy Physics|Thermodynamic Bubble Ansatz
2010|224.0|3.0||Introduction to the non-asymptotic analysis of random matrices
