----  Field Name Atmospheric chemistry: 
----  Field Level 2.0: 
----  Field Papers Number 7213:
----  All time max citation paper: Emission of trace gases and aerosols from biomass burning, 2001, (1032.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1963|5.0|2.5|Journal of Geophysical Research|On the inventory of artificial tritium and its occurrence in atmospheric methane
1965|33.0|33.0|Journal of Geophysical Research|Ionospheric processes and nitric oxide
1966|15.0|7.5|Journal of Geophysical Research|Chemical processes involving helium ions and the behavior of atomic nitrogen ions in the upper atmosphere
1967|3.0|3.0|Microchemical Journal|Comparison of MBTH and other methods for the determination of sugars and other -glycolic derivatives: Application to air pollution
1969|59.0|17.0|Journal of Geophysical Research|Rocket measurement of nitric oxide between 60 and 96 kilometers
1970|42.0|7.0|Journal of Geophysical Research|Theory of nitric oxide in the Earth's atmosphere
1971|20.0|6.0|Journal of Geophysical Research|Studies of Positive Ion Composition in the Equatorial D-region Ionosphere
1972|20.0|3.0|Radio Science|Positive Ion Chemistry of the D and E Regions
1973|30.0|3.5|Journal of Geophysical Research|A photochemical theory of tropospheric ozone
1974|47.0|5.0|Journal of Geophysical Research|Temperature dependence of some ionospheric ionneutral reactions from 300900K
1975|38.0|9.5|Planetary and Space Science|The calculated and observed diurnal variation of the ionosphere over Millstone Hill on 2324 March 1970
1976|37.0|8.0|Icarus|Martian volatiles - Their degassing history and geochemical fate
1977|38.0|7.0|Geophysical Research Letters|Average concentrations of OH in the troposphere, and the budgets of CH 4, CO, H 2 and CH 3CCl 3
1978|42.0|6.0|Icarus|The evolution of the atmosphere of the earth
1979|45.0|5.0|Geophysical Research Letters|Nitric oxide measurements in the equatorial Pacific region
1980|38.0|5.0|Journal of Geophysical Research|Tropospheric gasphase and particulate nitrate measurements
1981|129.0|5.0|Journal of Geophysical Research|Tropospheric chemistry - A global perspective
1982|73.0|6.0|Journal of Geophysical Research|The composition of precipitation in remote areas of the world
1983|85.0|6.5|Journal of Geophysical Research|Nitrogen oxides in the troposphere: Global and regional budgets
1984|49.0|5.0|Journal of Geophysical Research|The photochemistry of a remote marine stratiform cloud
1985|43.0|4.0|Journal of Geophysical Research|Tropospheric ozone: The role of transport
1986|74.0|5.0|Nature|On the depletion of Antarctic ozone
1987|39.0|6.0|Precambrian Research|Theoretical constraints on oxygen and carbon dioxide concentrations in the Precambrian atmosphere.
1988|176.0|5.0|Global Biogeochemical Cycles|Biogeochemical aspects of atmospheric methane
1989|48.0|5.5|Journal of Geophysical Research|Ozone destruction through heterogeneous chemistry following the eruption of El Chichn
1990|47.0|7.0|Journal of Geophysical Research|An interactive chemical dynamical radiative twodimensional model of the middle atmosphere
1991|97.0|5.0|Journal of Geophysical Research|Threedimensional model synthesis of the global methane cycle
1992|94.0|7.0|Science|The Oxidizing Capacity of the Earth's Atmosphere: Probable Past and Future Changes
1993|64.0|5.0|Journal of Geophysical Research|Reactive nitrogen and its correlation with ozone in the lower stratosphere and upper troposphere
1994|87.0|6.0|Ecology|Beyond global warming: Ecology and global change
1995|58.0|5.0|Science|A Net Sink for Atmospheric CH3Br in the East Pacific Ocean
1996|73.0|6.0|Journal of Geophysical Research|Global gridded inventories of anthropogenic emissions of sulfur and nitrogen
1997|100.0|6.0|Journal of Geophysical Research|Global distribution of UVabsorbing aerosols from Nimbus 7/TOMS data
1998|154.0|7.0|Nature|Increased polar stratospheric ozone losses and delayed eventual recovery owing to increasing greenhouse-gas concentrations
1999|149.0|6.0|Reviews of Geophysics|Stratospheric ozone depletion: A review of concepts and history
2000|138.0|5.0|Atmospheric Environment|Atmospheric chemistry of VOCs and NO x
2001|161.0|5.0|Global Biogeochemical Cycles|Emission of trace gases and aerosols from biomass burning
2002|165.0|5.0|Reviews of Geophysics|ENVIRONMENTAL CHARACTERIZATION OF GLOBAL SOURCES OF ATMOSPHERIC SOIL DUST IDENTIFIED WITH THE NIMBUS 7 TOTAL OZONE MAPPING SPECTROMETER (TOMS) ABSORBING AEROSOL PRODUCT
2003|189.0|6.0|Journal of Geophysical Research|An overview of ACE-Asia : Strategies for quantifying the relationships between Asian aerosols and their climatic impacts
2004|62.0|6.0|Journal of Experimental Marine Biology and Ecology|Experimental biology of coral reef ecosystems
2005|112.0|7.0|Geophysical Research Letters|Atmospheric Chemistry Experiment (ACE): Mission overview
2006|187.0|9.0|Geophysical Research Letters|Secondary organic aerosol formation from anthropogenic air pollution : Rapid and higher than expected
2007|284.0|8.0|Mass Spectrometry Reviews|Chemical and microphysical characterization of ambient aerosols with the aerodyne aerosol mass spectrometer
2008|238.0|6.0|Nature|Atmospheric oxidation capacity sustained by a tropical forest
2009|493.0|8.0|Chemsuschem|Adsorbent Materials for Carbon Dioxide Capture from Large Anthropogenic Point Sources
2010|303.0|8.0|Atmospheric Chemistry and Physics|Global fire emissions and the contribution of deforestation, savanna, forest, agricultural, and peat fires (19972009)
