----  Field Name Biocompatible material: 
----  Field Level 2.0: 
----  Field Papers Number 4899:
----  All time max citation paper: Human serum promotes Candida albicans biofilm growth and virulence gene expression on silicone biomaterial., 2013, (1427.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1977|2.0|2.0|Journal of Oral Rehabilitation|Tissue reactions to implanted vitreous carbon and high purity sintered alumina
1980|6.0|6.0|Thrombosis Research|Inactivation of thrombin by antithrombin III on a heparinized biomaterial
1982|7.0|6.5|Journal of Biomedical Materials Research|Effect of fibronectin on the adhesion of an established cell-line to a surface reactive biomaterial.
1984|21.0|10.5|Biomaterials|Preferential adsorption of high density lipoprotein from blood plasma onto biomaterial surfaces
1986|10.0|5.0|Thrombosis Research|Thrombin inactivation on surfaces with covalently bonded heparin
1988|3.0|1.5|Biomaterials|Flory interaction parameter chi for hydrophilic copolymers with water.
1989|15.0|8.0|Biomaterials|Mechanical properties of collagen fibres: a comparison of reconstituted and rat tail tendon fibres
1990|11.0|0.5|Archives of Otolaryngology-head & Neck Surgery|Comparison of biomaterials for facial bone augmentation
1991|21.0|3.0|Journal of Biomedical Materials Research|Bone-bonding ability of P2O5-free CaOSiO2 glasses
1992|27.0|3.5|Clinical Materials|Biodegradable self-reinforced composite materials; Manufacturing structure and mechanical properties
1993|19.0|3.0|Journal of Biomedical Materials Research|Comparison of boneimplant interface shear strength of solid hydroxyapatite and hydroxyapatitecoated titanium implants
1994|20.0|4.0|Journal of Biomedical Materials Research|Biocompatibility and tissue regenerating capacity of crosslinked dermal sheep collagen
1995|54.0|4.0|Journal of Biomedical Materials Research|Effect of titanium surface roughness on proliferation, differentiation, and protein synthesis of human osteoblastlike cells (MG63)
1996|38.0|3.0|Journal of the American Ceramic Society|Spontaneous Formation of Bonelike Apatite Layer on Chemically Treated Titanium Metals
1997|87.0|4.0|Journal of Biomedical Materials Research|Bone formation by threedimensional stromal osteoblast culture in biodegradable polymer scaffolds
1998|50.0|5.5|Journal of Biomedical Materials Research|BMPInduced osteogenesis on the surface of hydroxyapatite with geometrically feasible and nonfeasible structures: Topology of osteogenesis
1999|63.0|9.0|Polymer|Processing and microstructural characterization of porous biocompatible protein polymer thin films
2000|145.0|10.0|Biomaterials|Osteoblast adhesion on biomaterials
2001|285.0|6.0|Circulation|Lack of Neointimal Proliferation After Implantation of Sirolimus-Coated Stents in Human Coronary Arteries A Quantitative Coronary Angiography and Three-Dimensional Intravascular Ultrasound Study
2002|106.0|9.0|Proceedings of the National Academy of Sciences of the United States of America|Self-assembling peptide hydrogel fosters chondrocyte extracellular matrix production and cell division: implications for cartilage tissue repair.
2003|144.0|9.0|Proceedings of the National Academy of Sciences of the United States of America|Conducting nanowires built by controlled self-assembly of amyloid fibers and selective metal deposition
2004|88.0|10.0|Biomaterials|Influence of freezing rate on pore structure in freeze-dried collagen-GAG scaffolds
2005|180.0|10.0|Drug Discovery Today|Dendrimers and dendritic polymers in drug delivery.
2006|114.0|7.0|Biomaterials|Microintegrating smooth muscle cells into a biodegradable, elastomeric fiber matrix.
2007|239.0|13.0|Progress in Polymer Science|Silk as a biomaterial
2008|536.0|12.0|Seminars in Immunology|Foreign body reaction to biomaterials.
2009|405.0|12.0|Nature Materials|Physical approaches to biomaterial design
2010|366.0|14.0|Nature Reviews Genetics|Synthetic biology: applications come of age.
