----  Field Name Biogeochemistry: 
----  Field Level 2.0: 
----  Field Papers Number 17260:
----  All time max citation paper: TOWARD A METABOLIC THEORY OF ECOLOGY, 2008, (1650.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1932|3.0|0.0|Journal of Dairy Research|50. Studies in the Metabolism of the Lactic Acid Bacteria. I. Nitrogen Metabolism. J. G. Davis and A. T. R. Mattick
1937|2.0|1.0|Journal of the Marine Biological Association of the United Kingdom|The Nitrogen Cycle in the Sea
1938|0|0.0|The Journal of Agricultural Science|The nitrogen cycle in grassland soils: with especial reference to the Rothamsted Park grass experiment
1940|0|0.0|JAMA Pediatrics|COW'S MILK TREATED BY BASE EXCHANGE FOR INFANT FEEDING: METABOLISM OF CALCIUM, PHOSPHORUS AND NITROGEN
1944|0|0.0|Acta Psychiatrica Scandinavica|CONTINUED INVESTIGATIONS INTO THE NITROGEN METABOLISM IN MANIC-DEPRESSIVE PATIENTS.: With a Special View to Amino Acids and Non-Protein-Nitrogen in the Plasma
1946|4.0|4.0|Annals of the New York Academy of Sciences|NITROGEN METABOLISM IN ACUTE AND CHRONIC DISEASE
1947|1.0|1.0|Plant Physiology|Respiration and Nitrogen Metabolism of Whole and Sliced Radish Roots with Reference to the Effect of Alternation of Air and Nitrogen Atmospheres
1948|2.0|2.0|The American Journal of Medicine|Effect of injury and disease on nitrogen metabolism
1949|2.0|2.0|New Phytologist|REVIEW OF RECENT WORK ON NITROGEN METABOLISM
1953|10.0|7.5|Journal of Dairy Science|Amino Acid Metabolism of Bovine Rumen Bacteria1
1954|9.0|2.0|Journal of Dairy Science|A High Roughage System for Raising Calves Based on the Early Development of Rumen Function. V. Some Effects of Feeding Aureomycin with Different Ratios of Hay to Grain1
1955|5.0|5.0|Physiologia Plantarum|Molybdenum in Relation to Nitrogen Metabolism. I. Assimilation of Nitrate Nitrogen by Scenedesmus
1956|0|0.0|Microbiology|A Survey of Physically Active Organic Infusoricidal Compounds and their Soluble Derivatives with Special Reference to their Action on the Rumen Microbial System
1957|3.0|1.0|The Journal of Pediatrics|Nitrogen metabolism of infants fed human and cow's milk
1958|0|0.0|Journal of Phytopathology|Investigations on the Nitrogen Metabolism of Fusarium lycopersici Sacc..: 1. Uptake of Ammonium and Nitrate Nitrogen under Varying Conditions
1959|2.0|2.0|Experimental Cell Research|Some aspects of nitrogen metabolism in strain L cell cultures
1960|5.0|2.0|Nature|Hypothetical pathway of nitrogen metabolism.
1961|6.0|2.0|Archives of Biochemistry and Biophysics|Light-dependent utilization of organic compounds and photoproduction of molecular hydrogen by photosynthetic bacteria; relationships with nitrogen metabolism
1962|5.0|2.5|Plant and Soil|ROOT-EXUDATION STUDIES ON THE EXCHANGE OF C14-LABELLED ORGANIC SUBSTANCES BETWEEN THE ROOTS AND SHOOT OF THE NODULATED LEGUME
1963|7.0|1.0|Comparative Biochemistry and Physiology|The effect of thyroxine on some aspects of nitrogen metabolism in the goldfish (Carassius auratus) and the trout (Salmo trutta)
1964|4.0|0.0|Journal of Dairy Science|Influence of Dietary Nitrogen on Nitrogen Metabolism in the Rumen1,2
1965|9.0|9.0|Advances in Enzyme Regulation|The regulation of some enzymes of nitrogen metabolisman introduction to enzyme physiology
1966|8.0|4.0|Journal of Dairy Science|Ammonia Anabolism in Ruminants
1967|3.0|2.0|Comparative Biochemistry and Physiology|The effect water shortage on the nitrogen metabolism of xenopus laevis
1968|9.0|6.0|Journal of Dairy Science|Nitrogen Metabolism in the Ruminant1
1969|11.0|1.0|Journal of Dairy Research|Section G. General. Nitrogen metabolism and the rumen
1970|9.0|2.0|Plant and Soil|Plant-endophyte symbiosis in non-leguminous plants
1971|13.0|1.0|British Journal of Nutrition|Nitrogen metabolism in sheep
