----  Field Name Biological neural network: 
----  Field Level 2.0: 
----  Field Papers Number 34614:
----  All time max citation paper: Neurophysiological investigation of the basis of the fMRI signal, 2001, (2979.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1945|4.0|4.0|Bulletin of Mathematical Biology|A REINTERPRETATION OF THE MATHEMATICAL BIOPHYSICS OF THE CENTRAL NERVOUS SYSTEM IN THE LIGHT OF NEUROPHYSIOLOGIC AL FINDINGS
1950|1.0|1.0|Biochimica et Biophysica Acta|Studies on permeability in relation to nerve function I. Axonal conduction and synaptic transmission
1952|0|0.0|Journal of Cellular and Comparative Physiology|Effects of anesthetics on oxygen consumption and on synaptic transmission in sympathetic ganglia
1955|0|0.0|Journal of Chemical Physics|Pyramidal XY(CH3)2 Molecular Model Classical Vibration Problem
1957|2.0|2.0|The Journal of General Physiology|TEMPORAL SUMMATION IN RHYTHMICALLY ACTIVE MONOSYNAPTIC REFLEX PATHWAYS
1960|6.0|6.0|Journal of Insect Physiology|Synaptic transmission in the last abdominal ganglion of the cockroach
1961|9.0|9.0|Biological Cybernetics|Studies with artificial neurons, I: properties and functions of an artificial neuron
1962|1.0|0.0|Biological Cybernetics|Die Informationsbertragung im afferenten visuellen system
1963|11.0|1.5|Cell and Tissue Research|The visceral ganglion of Aplysia Californica
1964|12.0|1.0|Life Sciences|Some observations on nerve-ending particles and synaptic vesicles
1965|45.0|6.5|Journal of Neurochemistry|THE MORPHOLOGY AND ACETYLCHOLINE CONTENT OF ISOLATED CEREBRAL CORTICAL SYNAPTIC VESICLES
1966|24.0|4.0|Cell and Tissue Research|Electron microscopic and pharmacological studies on the rat median eminence
1967|18.0|4.0|Cell and Tissue Research|ber Synapsen an endokrinen Epithelzellen und die Definition sekretorischer Neurone: Untersuchungen am Zwischenlappen der Katzenhypophyse
1968|50.0|5.0|Brain Research|An electron-microscopic study of zinc iodide-osmium impregnation of neurons. I. Staining of synaptic vesicles at cholinergic junctions
1969|31.0|3.0|Brain Research|Application of the zinc iodide-osmium tetroxide impregnation of synaptic vesicles in cephalopod nerves
1970|54.0|3.5|Brain Research|On synaptic vesicles, complex vesicles and dense projections
1971|144.0|4.0|Journal of Geophysical Research|Reykjanes ridge crest: A detailed geophysical study
1972|24.0|3.0|Journal of Cell Biology|CHANGES IN THE FINE STRUCTURE OF THE NEUROMUSCULAR JUNCTION OF THE FROG CAUSED BY BLACK WIDOW SPIDER VENOM
1973|35.0|4.0|Journal of Neurochemistry|AMINO ACIDS IN SYNAPTIC VESICLES FROM MAMMALIAN CEREBRAL CORTEX: A REAPPRAISAL
1974|62.0|4.0|Journal of Neurochemistry|EFFECT OF ELECTRICAL STIMULATION ON THE YIELD AND COMPOSITION OF SYNAPTIC VESICLES FROM THE CHOLINERGIC SYNAPSES OF THE ELECTRIC ORGAN OF TORPEDO: A COMBINED BIOCHEMICAL, ELECTROPHYSIOLOGICAL AND MORPHOLOGICAL STUDY
1975|50.0|3.0|Psychological Review|A Theory of Attention: Variations in the Associability of Stimuli with Reinforcement.
1976|57.0|5.0|Nature|Selective stabilisation of developing synapses as a mechanism for the specification of neuronal networks
1977|54.0|3.0|Journal of Neurochemistry|Substance P: localization in synaptic vesicles in rat central nervous system
1978|70.0|4.0|Brain Research|Cellular and field potential properties of epileptogenic hippocampal slices.
1979|65.0|5.0|Neuroscience|An approach to tracing neuron networks in the cerebral cortex and basal ganglia. Combination of golgi staining, retrograde transport of horseradish peroxidase and anterograde degeneration of synaptic boutons in the same material
1980|72.0|4.0|Neuroscience|Aminopyridines and synaptic transmission
1981|168.0|5.0|Progress in Neurobiology|The role of adenosine and its nucleotides in central synaptic transmission
1982|56.0|5.0|Neuroscience|Anterograde tracer and field potential analysis of the neocortical layer I projection from nucleus ventralis medialis of the thalamus in cat
1983|84.0|5.0|Nature|First visualization of glutamate and GABA in neurones by immunocytochemistry
1984|74.0|4.0|Neuroscience|Tyrosine hydroxylase-immunoreactive boutons in synaptic contact with identified striatonigral neurons, with particular reference to dendritic spines
1985|81.0|6.0|The Journal of Comparative Neurology|Cholinergic innervation of the rat hippocampus as revealed by choline acetyltransferase immunocytochemistry: A combined light and electron microscopic study
1986|281.0|5.0|Nature|Selective impairment of learning and blockade of long-term potentiation by an N-methyl-D-aspartate receptor antagonist, AP5.
1987|147.0|4.0|Nature|Glutamate activates multiple single channel conductances in hippocampal neurons
1988|251.0|7.0|Biological Cybernetics|Coherent oscillations: A mechanism of feature linking in the visual cortex? Multiple electrode and correlation analyses in the cat
1989|82.0|5.0|Neuron|Glutamate receptor desensitization and its role in synaptic transmission
1990|106.0|5.0|Trends in Pharmacological Sciences|Excitatory amino acids and synaptic transmission: the evidence for a physiological function
1991|191.0|5.0|Neuron|Proteins of synaptic vesicles involved in exocytosis and membrane recycling
1992|169.0|5.0|Neuron|Mechanisms underlying induction of homosynaptic long-term depression in area CA1 of the hippocampus
1993|394.0|6.0|Cell|Developmental mechanisms that generate precise patterns of neuronal connectivity
1994|203.0|6.0|Neuron|Metabotropic glutamate receptors: Synaptic transmission, modulation, and plasticity
1995|338.0|6.0|Science|Long-lasting neurotrophin-induced enhancement of synaptic transmission in the adult hippocampus.
1996|219.0|7.0|Neuron|Recombinant BDNF Rescues Deficits in Basal Synaptic Transmission and Hippocampal LTP in BDNF Knockout Mice
1997|198.0|9.0|Trends in Neurosciences|GAP-43: an intrinsic determinant of neuronal development and plasticity
1998|238.0|9.0|Progress in Neurobiology|Glutamate receptors in the mammalian central nervous system
1999|368.0|10.0|Nature|Dendritic spine changes associated with hippocampal long-term synaptic plasticity
2000|214.0|12.0|Trends in Cell Biology|PDZ domains in synapse assembly and signalling
2001|881.0|12.0|Nature|Neurophysiological investigation of the basis of the fMRI signal
2002|388.0|13.0|Nature|Astroglia induce neurogenesis from adult neural stem cells
2003|740.0|14.0|Annual Review of Neuroscience|AMPA RECEPTOR TRAFFICKING AND SYNAPTIC PLASTICITY
2004|544.0|14.0|Nature Reviews Neuroscience|Homeostatic plasticity in the developing nervous system.
2005|271.0|12.0|Nature Neuroscience|Millisecond-timescale, genetically targeted optical control of neural activity
2006|506.0|13.0|Nature|A brain-specific microRNA regulates dendritic spine development
2007|613.0|13.0|Nature Reviews Genetics|Network motifs: theory and experimental approaches
2008|889.0|14.0|Nature Medicine|Amyloid-beta protein dimers isolated directly from Alzheimer's brains impair synaptic plasticity and memory.
2009|885.0|14.0|PLOS ONE|Shared Visual Attention and Memory Systems in the Drosophila Brain
2010|767.0|14.0|Pharmacological Reviews|Glutamate Receptor Ion Channels: Structure, Regulation, and Function
