----  Field Name Biostratigraphy: 
----  Field Level 2.0: 
----  Field Papers Number 1468:
----  All time max citation paper: CONISS: a FORTRAN 77 program for stratigraphically constrained cluster analysis by the method of incremental sum of squares, 1987, (788.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1978|5.0|3.0|Computers & Geosciences|Methods for the quantification of assemblage zones based on multivariate analysis of weighted and unweighted data
1980|8.0|8.0|Lethaia|Chronostratigraphic accuracy of Ordovician ecostratigraphic correlation
1981|4.0|1.0|Cretaceous Research|Upper cenomanian ammonites from the environs of Saumur, and the provenance of the types of Ammonites vibrayeanus and Ammonites geslinianus
1982|1.0|0.0|Cretaceous Research|Some aspects of Cretaceous ostracod biostratigraphy of South Africa and relationships with other Gondwanide localities
1983|1.0|1.0|Cretaceous Research|Albian and Cenomanian planktic Foraminiferida from the Trawne Beds (Pieniny Klippen Belt, Polish Carpathians)
1984|8.0|2.0|Botanical Journal of the Linnean Society|Dispersed cuticles from the Eocene of North America
1985|4.0|2.0|Geobios|A refined ammonite biostratigraphy for the Middleand Upper Carixian (Ibex and Davoei Zones, Lower Jurassic) in North-West Europe and stratigraphical details of the Carixian-Domerian boundary
1986|1.0|1.0|Lethaia|The graptolite correlation of the North American Upper Ordovician Standard
1987|6.0|3.0|Computers & Geosciences|CONISS: a FORTRAN 77 program for stratigraphically constrained cluster analysis by the method of incremental sum of squares
1988|3.0|1.5|Geobios|Biostratigraphie des Miospores et des Chitinozoaires du Silurien suprieur et du Dvonien dans le bassin d'Illizi (S.E. du Sahara algrien)
1989|14.0|1.5|Netherlands Journal of Sea Research|Late cenozoic vertical movements of non-volcanic islands in the Banda Arc area
1990|9.0|2.0|Geological Journal|Stratigraphy and sedimentology of lower carboniferous (Dinantian) boreholes from West Co. Meath, Ireland
1991|9.0|2.5|Geological Journal|The biostratigraphy and formational relationships of the upper aeronian and lower telychian (llandovery, silurian) formations of western midwales
1992|10.0|2.0|Journal of Quaternary Science|Morphology and stratigraphy from several deglaciations in the Transtrand Mountains, western Sweden
1993|10.0|1.0|Transactions of The Royal Society of Edinburgh-earth Sciences|Westlothiana lizziae from the Visan of East Kirkton, West Lothian, Scotland, and the amniote stem
1994|10.0|1.0|Geological Journal|Graptolite biostratigraphy of the Lower Silurian (Llandovery and Wenlock) of Bohemia
1995|4.0|1.0|Geobios|Oxygnation des eaux et ostracodes filtreurs : application au Devonien-Dinantien
1996|22.0|2.0|Earth and Planetary Science Letters|A new chronology for the middle to late Miocene continental record in Spain
1997|12.0|2.0|Earth and Planetary Science Letters|Middle Triassic magnetostratigraphy and biostratigraphy from the Dolomites and Greece
1998|27.0|2.0|Palaeogeography, Palaeoclimatology, Palaeoecology|Global Triassic tetrapod biostratigraphy and biochronology
1999|21.0|3.0|Marine Micropaleontology|Pleistocene fluctuations in the Agulhas Current Retroflection based on the calcareous plankton record
2000|19.0|2.0|Journal of Quaternary Science|Pollen analytical biostratigraphy of the last five climatic cycles from a long continental sequence from the Velay region (Massif Central, France)
2001|20.0|3.0|Earth-Science Reviews|A calibrated mammal scale for the Neogene of Western Europe. State of the art
2002|45.0|4.0|Marine Geology|Late Neogene evolution of the Taza-Guercif Basin (Rifian Corridor, Morocco) and implications for the Messinian salinity crisis
2003|19.0|4.0|Journal of Biogeography|The transPacific zipper effect: disjunct sister taxa and matching geological outlines that link the Pacific margins
2004|32.0|3.0|Earth and Planetary Science Letters|High-resolution carbon isotope records of the Aptian to Lower Albian from SE France and the Mazagan Plateau (DSDP Site 545): a stratigraphic tool for paleoceanographic and paleobiologic reconstruction
2005|21.0|3.0|Palaeogeography, Palaeoclimatology, Palaeoecology|High-resolution terrestrial permian-triassic eventostratigraphic boundary in western Guizhou and eastern Yunnan, southwestern China
2006|52.0|5.0|Earth and Planetary Science Letters|Did the Transgondwanan Supermountain trigger the explosive radiation of animals on Earth?
2007|54.0|6.0|Quaternary Science Reviews|Late Pleistocene evolution of the Rhine-Meuse system in the southern North Sea basin: imprints of climate change, sea-level oscillation and glacio-isostacy
2008|69.0|4.0|Palaeogeography, Palaeoclimatology, Palaeoecology|Astronomical calibration of the Paleocene time
2009|28.0|4.0|Geological Society of America Bulletin|Late CretaceousPaleocene formation of the protoZagros foreland basin, Lurestan Province, SW Iran
2010|113.0|5.0|Journal of Geophysical Research|Timing of IndiaAsia collision: Geological, biostratigraphic, and palaeomagnetic constraints
