----  Field Name Business communication: 
----  Field Level 2.0: 
----  Field Papers Number 1057:
----  All time max citation paper: Frequency domain equalization for single-carrier broadband wireless systems, 2002, (902.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1978|2.0|2.0|Communication Education|Communication Training in Manufacturing Firms.
1982|9.0|4.5|design automation conference|On finding Most Optimal Rectangular Package Plans
1983|0|0.0|Business Communication Quarterly|At Least the Editors are Trying: Women and Sexism in Corporate Publications.
1985|2.0|1.0|IEEE Transactions on Communications|Motion Compensated Interframe Image Prediction
1986|2.0|0.0|Public Relations Review|How newspapers choose the releases they use
1987|2.0|2.0|Psychology of Women Quarterly|SEX DISCRIMINATION IN HIRING: THE INFLUENCE OF ORGANIZATIONAL CLIMATE AND NEED FOR APPROVAL ON DECISION MAKING BEHAVIOR
1988|0|0.0|Journal of Applied Communication Research|Impression Management Training: Conceptualization and Application to Personal Selling.
1989|5.0|3.0|Personnel Psychology|A Field Study of the Relationship between the Organizational Feedback Environment and Performance.
1990|5.0|1.0|College Composition and Communication|Engineering Writing/Writing Engineering.
1991|9.0|1.0|hawaii international conference on system sciences|A communication-based framework for group interfaces in computer-supported collaboration
1992|6.0|1.0|English for Specific Purposes|Politeness Strategies in Business Letters by Native and Non-Native English Speakers.
1993|3.0|1.0|IEEE Transactions on Professional Communication|An ethical imperative for technical communicators
1994|11.0|1.0|international conference on software engineering|Software architecture: practice, potential, and pitfalls
1995|25.0|3.0|IEEE Journal on Selected Areas in Communications|51.84 Mb/s 16-CAP ATM LAN standard
1996|23.0|1.5|Management Information Systems Quarterly|Issues and concerns about computer-supported meetings: the facilitator's perspective
1997|171.0|3.0|IEEE Communications Magazine|CORBA: integrating diverse applications within distributed heterogeneous environments
1998|16.0|2.0|annual computer security applications conference|Role based access control framework for network enterprises
1999|50.0|3.0|IEEE Computer|Wide area computing: resource sharing on a large scale
2000|52.0|2.5|IEEE Transactions on Professional Communication|Situated learning in cross-functional virtual teams
2001|43.0|4.0|integrated network management|Towards generic service management concepts a service model based approach
2002|304.0|6.0|IEEE Communications Magazine|Frequency domain equalization for single-carrier broadband wireless systems
2003|27.0|5.0|IEEE Journal on Selected Areas in Communications|Verifying the SET registration protocols
2004|23.0|4.0|modeling, analysis, and simulation on computer and telecommunication systems|A framework for resource allocation in grid computing
2005|61.0|3.0|IEEE Journal on Selected Areas in Communications|Conflict classification and analysis of distributed firewall policies
2006|57.0|3.0|IEEE Communications Magazine|Taxonomy of conflicts in network security policies
2007|81.0|3.0|IEEE Communications Magazine|Towards autonomic management of communications networks
2008|47.0|2.0|IEEE Transactions on Systems, Man, and Cybernetics|Business Process Analysis and Optimization: Beyond Reengineering
2009|46.0|1.0|IEEE Transactions on Visualization and Computer Graphics|A Survey of Radial Methods for Information Visualization
2010|38.0|2.0|dependable systems and networks|Using Bayesian networks for cyber security analysis
