----  Field Name Cardiac electrophysiology: 
----  Field Level 2.0: 
----  Field Papers Number 3186:
----  All time max citation paper: Constraints on seismic velocities in the Earth from traveltimes, 1995, (969.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1961|0|0.0|Cellular and Molecular Life Sciences|PROTON-PROTON SCATTERING BELOW 20 Mev
1964|4.0|4.0|American Heart Journal|Observations in patients with implanted pacemaker: II. Effective refractory period and full recovery time of the ventricular myocardium calculated from clinical tracings
1966|13.0|9.0|Nuclear Physics|L -space localization in deuteron stripping reactions
1967|4.0|3.0|The Journal of General Physiology|Pacemaker Potentials for the Periodic Burst Discharge in the Heart Ganglion of a Stomatopod, Squilla oratoria
1968|16.0|9.5|Journal of Geophysical Research|Temperature and pressure derivatives of isotropic sound velocities of  quartz
1969|7.0|5.0|Earth and Planetary Science Letters|COMPARISON OF THE 1968 P TABLES WITH TIMES FROM NUCLEAR EXPLOSIONS. II. THE MARSHALL ISLANDS AND SAHARA SERIES.
1970|13.0|8.0|American Journal of Cardiology|Comparative ultrastructure of cardiac cell membrane specializations. A review
1971|6.0|3.0|Psychophysiology|BASAL PALMAR SKIN POTENTIAL AND THE ELECTROCARDIOGRAM TWAVE
1972|24.0|4.0|The Journal of General Physiology|Conduction of the Cardiac Impulse : III. Characteristics of very slow conduction
1973|15.0|6.5|The Journal of General Physiology|The Electrical Activity of Canine Cardiac Purkinje Fibers in Sodium-Free, Calcium-Rich Solutions
1974|46.0|3.0|The Journal of General Physiology|Effects of Epinephrine on the Pacemaker Potassium Current of Cardiac Purkinje Fibers
1975|27.0|8.0|The Journal of General Physiology|Multiple effects of calcium antagonists on plateau currents in cardiac Purkinje fibers.
1976|19.0|3.0|The Journal of General Physiology|Control of action potential duration by calcium ions in cardiac Purkinje fibers.
1977|10.0|5.0|The Journal of General Physiology|Two levels of resting potential in cardiac Purkinje fibers.
1978|8.0|2.0|Journal of Molecular and Cellular Cardiology|Structural proteins in cow Purkinje and ordinary ventricular fibresA marked difference
1979|18.0|8.0|The Journal of General Physiology|Influence of chloride, potassium, and tetraethylammonium on the early outward current of sheep cardiac Purkinje fibers.
1980|7.0|3.0|American Journal of Cardiology|Effect of drugs in the wolff-parkinson-white syndrome: Importance of initial length of effective refractory period of the accessory pathway
1981|7.0|2.0|Journal of Geophysical Research|Lunar seismology - The internal structure of the moon
1982|18.0|4.0|Journal of Molecular and Cellular Cardiology|Comparative evaluation of contraction and relaxation of isolated heart muscle with decreased calcium concentration in the perfusate, acidosis, and metabolic blockade
1983|29.0|4.5|The Journal of General Physiology|Lidocaine block of cardiac sodium channels
1984|47.0|2.0|Journal of Molecular and Cellular Cardiology|Regulation of cardiac calcium channel current and contractile activity by the dihydropyridine Bay K 8644 is voltage-dependent.
1985|8.0|3.0|British Journal of Pharmacology|Electrophysiological mechanisms for the antiarrhythmic action of mexiletine on digitalis, reperfusion and reoxygenationinduced arrhythmias
1986|24.0|2.5|Earth and Planetary Science Letters|Historical seismicity near Chagos: a complex deformation zone in the equatorial Indian Ocean
1987|10.0|1.0|Journal of Geophysical Research|Source parameters for 11 earthquakes in the Tien Shan, central Asia, determined by P and SH waveform inversion
1988|26.0|1.0|Journal of Molecular and Cellular Cardiology|Abnormal electrical activity induced by free radical generating systems in isolated cardiocytes
1989|9.0|1.5|Journal of Molecular and Cellular Cardiology|Modification of cardiac action potential by photosensitizer-generated reactive oxygen
1990|16.0|1.0|Geophysical Journal International|An investigation, of the upper mantle beneath NW Australia using a hybrid seismograph array
1991|15.0|2.0|Journal of Molecular and Cellular Cardiology|Alterations in electrical and contractile behavior of isolated cardiomyocytes by hydrogen peroxide: Possible ionic mechanisms
1992|54.0|2.0|Neuroscience Letters|Nitric oxide synthase immunoreactivity and NADPH-diaphorase activity in a subpopulation of intrinsic neurones of the guinea-pig heart.
1993|48.0|2.0|Journal of Clinical Investigation|The antiinflammatory mechanism of methotrexate. Increased adenosine release at inflamed sites diminishes leukocyte accumulation in an in vivo model of inflammation.
1994|26.0|3.0|IEEE Transactions on Biomedical Engineering|Ventricular late potentials characterization in time-frequency domain by means of a wavelet transform
1995|71.0|2.5|Geophysical Journal International|Constraints on seismic velocities in the Earth from traveltimes
1996|55.0|2.0|Journal of Geophysical Research|Poisson's ratio and crustal seismology
1997|69.0|2.0|Journal of Clinical Investigation|Slow ventricular conduction in mice heterozygous for a connexin43 null mutation.
1998|130.0|3.0|Journal of Geophysical Research|Closing the gap between regional and global travel time tomography
1999|101.0|3.0|JAMA|Prognostic Value of the Admission Electrocardiogram in Acute Coronary Syndromes
2000|99.0|3.0|Proceedings of the National Academy of Sciences of the United States of America|Preventing ventricular fibrillation by flattening cardiac restitution.
2001|145.0|3.5|Circulation Research|Conduction slowing and sudden arrhythmic death in mice with cardiac-restricted inactivation of connexin43.
2002|50.0|3.5|Heart|Cirrhotic cardiomyopathy: a pathophysiological review of circulatory dysfunction in liver disease.
2003|213.0|5.0|Heart|High prevalence of left ventricular systolic and diastolic asynchrony in patients with congestive heart failure and normal QRS duration
2004|127.0|5.0|Journal of Cardiovascular Electrophysiology|Relationship Between QRS Duration and Left Ventricular Dyssynchrony in Patients with EndStage Heart Failure
2005|131.0|7.0|Circulation|Cardiac Dyssynchrony Analysis Using Circumferential Versus Longitudinal Strain Implications for Assessing Cardiac Resynchronization
2006|123.0|5.0|Journal of the American College of Cardiology|T-Wave Alternans and the Susceptibility to Ventricular Arrhythmias
