----  Field Name Cell theory: 
----  Field Level 2.0: 
----  Field Papers Number 7862:
----  All time max citation paper: A five-site model for liquid water and the reproduction of the density anomaly by rigid, nonpolarizable potential functions, 2000, (829.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1940|4.0|1.5|American Journal of Anatomy|Experimental intersexuality. The effects of estrogens on the antenatal sexual development of the rat.
1941|0|0.0|JAMA|Herpes Simplex Following Artificial Fever Therapy. Smallpox Vaccination as a Factor in its Prevention.
1950|4.0|4.0|Anatomical Record-advances in Integrative Anatomy and Evolutionary Biology|The induction of involution in the male reproductive system by treatment with adrenocorticotropin.
1955|0|0.0|British Journal of Tuberculosis and Diseases of The Chest|The Tuberculin Jelly Test without the Use of Flourpaper.
1956|1.0|1.0|Archives of Dermatology|Kissing bug bite
1960|1.0|1.0|Experimental Parasitology|Glycogen distribution during the embryonic development of the cestode Diorchis ransoini Schultz 1940.
1963|5.0|3.0|Physiologia Plantarum|The Water Relations of Tree Seedlings I. Growth and Water Use in Relation to Soil Water Potential
1965|11.0|1.0|Virology|Replication of Poliovirus in HeLa Cells: Electron Microscopic Observations.
1966|6.0|3.0|Agricultural Meteorology|Theory for thermocouple psychrometers used to measure water potential in soil and plant samples
1967|14.0|2.0|Journal of Clinical Investigation|Concomitant Alterations of Sodium Flux and Membrane Phospholipid Metabolism in Red Blood Cells: Studies in Hereditary Spherocytosis*
1968|14.0|5.0|Journal of Clinical Investigation|The mechanisms of sodium absorption in the human small intestine
1969|8.0|5.0|Journal of Cell Biology|THE DEVELOPMENT OF SURFACE SPECIALIZATION IN THE SECRETORY EPITHELIUM OF THE AVIAN SALT GLAND IN RESPONSE TO OSMOTIC STRESS
1970|13.0|3.0|Parasitology|Fine structure of the nervous system and specialized nerve endings in the miracidium of Fasciola hepatica.
1971|17.0|2.0|Journal of Clinical Investigation|On the Mechanism of Inhibition in Fluid Reabsorption by the Renal Proximal Tubule of the Volume-Expanded Rat
1972|21.0|4.5|Planta|Oscillations in Stomatal Conductance and Plant Functioning Associated with Stomatal Conductance: Observations and a Model
1973|10.0|1.5|Plant Physiology|Stomatal Behavior and Water Status of Maize, Sorghum, and Tobacco under Field Conditions I. At High Soil Water Potential
1974|7.0|2.0|Journal of Clinical Investigation|Osmotic Extraction of Hypotonic Fluid from the Lungs
1975|11.0|2.0|Oecologia|The Role of Air Humidity and Leaf Temperature in Controlling Stomatal Resistance of Prunus armeniaca L. under Desert Conditions II. The Significance of Leaf Water Status and Internal Carbon Dioxide Concentration
1976|48.0|2.5|The New England Journal of Medicine|Adenine arabinoside therapy of herpes zoster in the immunosuppressed. NIAID collaborative antiviral study.
1977|15.0|2.0|Oecologia|Water Relations and Photosynthesis of a Barrel Cactus, Ferocactus acanthodes, in the Colorado Desert
1978|23.0|3.0|Journal of Molecular Evolution|The genetic code as a periodic table.
1979|15.0|2.0|Planta|Short-Term and Long-Term Effects of Plant Water Deficits on Stomatal Response to Humidity in Corylus aveilana L.
1980|27.0|4.0|Planta|Correlation between loss of turgor and accumulation of abscisic acid in detached leaves
1981|42.0|5.0|Brain Research|Long term culture of bovine oligodendroglia isolated with a percoll gradient
1982|34.0|2.0|FEBS Letters|A protein essential for recovering oxygen evolution in cholate-treated chloroplasts
1983|19.0|2.0|Gamete Research|Isolation of motile spermatozoa by density gradient centrifugation in Percoll
1984|32.0|2.0|Planta|Transpiration-induced changes in the photosynthetic capacity of leaves
1985|20.0|3.0|The Journal of Comparative Neurology|The distribution of synapses on the two fields of neurites of spiking local interneurones in the locust
1986|53.0|2.0|Brain Research|A rapid method for isolation of synaptosomes on Percoll gradients
1987|38.0|3.0|Planta|Cooperation of epidermis and inner tissues in auxin-mediated growth of maize coleoptiles
1988|17.0|4.0|Irrigation Science|Measurement of plant water status by the pressure chamber technique
1989|29.0|2.0|Journal of Chemical Physics|Structures and vibrational frequencies of small water complexes from electrical molecular mechanics
1990|44.0|2.0|Journal of Chemical Physics|A new water potential including polarization: Application to gasphase, liquid, and crystal properties of water
1991|17.0|2.0|Agricultural and Forest Meteorology|Aerodynamic and surface resistances affecting energy transport in a sparse crop
1992|26.0|2.0|Microbial Ecology|Microbiology of vadose zone paleosols in south-central Washington State
1993|72.0|3.0|The EMBO Journal|Caveolae and Sorting in the Trans-Golgi Network of Epithelial-Cells
1994|72.0|3.0|Journal of Chemical Physics|Dynamical fluctuating charge force fields: Application to liquid water
1995|103.0|3.0|Science|Digging Into Caveolae
1996|43.0|3.0|Journal of Chemical Physics|The potential energy surface of H2 16O
1997|94.0|3.0|Cell|A Novel Rab5 GDP/GTP Exchange Factor Complexed to Rabaptin-5 Links Nucleotide Exchange to Effector Recruitment and Function
1998|105.0|4.0|The EMBO Journal|Initial docking of ER-derived vesicles requires Uso1p and Ypt1p but is independent of SNARE proteins.
1999|116.0|4.0|Nature Cell Biology|Late endosomal membranes rich in lysobisphosphatidic acid regulate cholesterol transport
2000|144.0|6.0|Journal of Chemical Physics|A five-site model for liquid water and the reproduction of the density anomaly by rigid, nonpolarizable potential functions
2001|163.0|7.0|Trends in Cell Biology|Rab GTPases: specifying and deciphering organelle identity and function.
2002|131.0|9.0|Trends in Cell Biology|Mechanisms of enveloped RNA virus budding
2003|131.0|7.0|Proceedings of the National Academy of Sciences of the United States of America|Abnormal osmotic regulation in trpv4-/- mice
2004|101.0|9.0|Journal of Chemical Physics|Development of an improved four-site water model for biomolecular simulations: TIP4P-Ew
2005|154.0|7.0|Journal of Cell Biology|Ultrastructural identification of uncoated caveolin-independent early endocytic vehicles
2006|159.0|9.0|Plant Journal|Methods and concepts in quantifying resistance to drought, salt and freezing, abiotic stresses that affect plant water status
2007|239.0|8.0|Annual Review of Cell and Developmental Biology|The Cell Biology of Synaptic Plasticity: AMPA Receptor Trafficking
2008|140.0|8.0|Soil Biology & Biochemistry|Relationships between soil respiration and soil moisture
2009|183.0|8.0|The Plant Cell|Pausing of Golgi bodies on microtubules regulates secretion of cellulose synthase complexes in Arabidopsis.
2010|307.0|8.0|Nature Cell Biology|Rab27a and Rab27b control different steps of the exosome secretion pathway
