----  Field Name Ceramic engineering: 
----  Field Level 2.0: 
----  Field Papers Number 52011:
----  All time max citation paper: Ceramic Fuel Cells, 1993, (2243.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1934|2.0|2.0|Genetica|Inherited changes produced by heat-treatment in Drosophila melanogaster
1939|0|0.0|Journal of Dairy Science|Effects of the Cold Storage Temperature, Heat Treatment, and Homogenization Pressure on the Properties of Frozen Condensed Milk
1940|2.0|2.0|Journal of Dairy Science|The Coagulation Temperature of Milk as Affected by pH, Salts, Evaporation and Previous Heat Treatment
1942|0|0.0|Journal of Dairy Science|Factors Affecting Swiss Cheese Starter Activity. Effect of Heat-Treatment and Source of Milk
1945|0|0.0|Journal of Dairy Science|Influence of Incubation at Low Temperatures on Heat Resistance of Swiss Cheese Starter Cultures1
1946|7.0|1.0|Journal of Dairy Science|Vitamin C, Hydrogen Peroxide, Copper and the Tallowy Flavor in Milk
1948|10.0|3.0|Journal of Dairy Science|The Reducing Capacity of Milk and Milk Products as Measured by a Modified Ferricyanide Method1,2
1950|7.0|3.0|Journal of Dairy Science|The Reducing Capacity of Milk as Measured by an Iodimetric Titration1
1951|4.0|1.0|Journal of the American Ceramic Society|Reactions in the System TiO2SiO2; Revision of the Phase Diagram
1952|4.0|1.0|Journal of Applied Physics|The Measurement of Ultrasonic Attenuation in Solids by the Pulse Technique and Some Results in Steel
1953|6.0|1.5|Journal of the American Ceramic Society|Relation Between Roughness of Interface and Adherence of Porcelain Enamel to Steel
1954|2.0|2.0|Geochimica et Cosmochimica Acta|Contribution of metallurgy to the origin of meteorites: Part IStructure of metallic meteorites, their composition and the effect of pressure
1955|6.0|1.0|Journal of Dairy Science|Natural Variation of Milk Serum Proteins as a Limitation of Their Use in Evaluating the Heat Treatment of Milk
1956|3.0|1.5|Journal of Dairy Science|Stability of Small Concentrations of Penicillin in Milk as Affected by Heat Treatment and Storage1
1957|5.0|1.0|Journal of Dairy Science|Volatile Carbonyl Compounds Produced in Skimmilk by High-Heat Treatment
1958|11.0|1.0|Journal of Applied Physics|Work Function and Sorption Properties of Silicon Crystals
1959|32.0|2.0|Journal of Chemical Physics|Structure and Adsorption Characteristics of Clean Surfaces of Germanium and Silicon
1960|29.0|4.0|Journal of Chemical Physics|SelfDiffusion of Oxygen in Single Crystal and Polycrystalline Aluminum Oxide
1961|8.0|1.0|Journal of Dairy Science|Relation of Milk Serum Proteins and Milk Salts to the Effects of Heat Treatment on Rennet Clotting1
1962|31.0|3.0|Journal of Applied Physics|Effect of Impurities on the Flow Stress of LiF Crystals
1963|26.0|2.0|Journal of Geophysical Research|On the lunar origin of tektites
1964|13.0|1.0|Journal of Applied Physics|Effect of Crystallization Conditions and Heat Treatment on Polyethylene: Lamellar Thickness, Melting Temperature, and Density
1965|17.0|1.0|Geochimica et Cosmochimica Acta|ON THE SIMULTANEOUS ORIGIN OF TEKTITES AND OTHER NATURAL GLASSES
1966|8.0|1.0|Journal of the American Ceramic Society|Numerical Data for Some Commonly Used Solid State Reaction Equations
1967|10.0|1.0|Geochimica et Cosmochimica Acta|The abundance of antimony in meteorites, tektites and rocks by neutron activation analysis
1968|12.0|2.0|Earth and Planetary Science Letters|Excess argon in deep-sea rocks.
1969|13.0|2.0|Contributions to Mineralogy and Petrology|Atomic movements in plagioclase feldspars: Kinetic interpretation
1970|13.0|2.0|Journal of Geophysical Research|Lunar glasses of impact origin: Physical and chemical characteristics and geologic implications
1971|33.0|2.0|Earth and Planetary Science Letters|The composition and derivation of Apollo 12 soils
1972|18.0|1.0|Earth and Planetary Science Letters|Petrology of a portion of the Mare Fecunditatis regolith.
1973|19.0|1.0|Geochimica et Cosmochimica Acta|The Luna 20 lithic fragments, and the composition and origin of the lunar highlands.
1974|26.0|1.0|Cancer|Hyperthermia: Potential as an antitumor agent
1975|18.0|1.0|Journal of Dairy Science|Rumen Bypass and Protection of Proteins and Amino Acids
1976|22.0|1.0|Applied Physics Letters|Visible interference effects in silicon caused by highcurrenthighdose implantation
1977|37.0|2.0|Journal of Geophysical Research|Noble gases in separated meteoritic minerals: Murchison (C2), Ornans (C3), Karoonda (C5), and Abee (E4)
1978|32.0|2.0|Applied Physics Letters|A SIMS analysis of deuterium diffusion in hydrogenated amorphous silicon
1979|24.0|2.0|Journal of Applied Physics|Comparison of two kinds of oxygen donors in silicon by resistivity measurements
1980|33.0|1.0|Journal of Applied Physics|Shallow junctions by highdose As implants in Si: experiments and modeling
1981|28.0|1.0|Journal of the American Ceramic Society|HighAlumina Tailored Nuclear Waste Ceramics
1982|18.0|0.0|Journal of Experimental Medicine|In vitro differentiation of human monocytes. Differences in monocyte phenotypes induced by cultivation on glass or on collagen.
1983|25.0|1.0|Journal of the American Ceramic Society|Kinetics of Crystallization of ZrF4Ba2LaF3 Glass by Differential Scanning Calorimetry
1984|79.0|2.0|Journal of Applied Physics|Early stages of oxygen segregation and precipitation in silicon
1985|88.0|2.0|Acta Metallurgica|Effect of boron on grain-boundaries in Ni 3 Al
1986|76.0|2.0|Applied Physics Letters|Formation of amorphous alloys by the mechanical alloying of crystalline powders of pure metals and powders of intermetallics
1987|48.0|2.0|Journal of Materials Research|Ni, Pd, and Pt on GaAs: A comparative study of interfacial structures, compositions, and reacted film morphologies
1988|75.0|2.0|Journal of Applied Physics|Rapid isothermal processing
1989|39.0|2.0|Journal of the American Ceramic Society|Interfacial Bonding and Friction in Silicon Carbide [Filament]Reinforced Ceramic and GlassMatrix Composites
1990|76.0|3.0|Journal of the American Ceramic Society|Direct Observation and Analysis of Indentation Cracking in Glasses and Ceramics
1991|107.0|2.0|Journal of the American Ceramic Society|Theory of Mechanical Properties of CeramicMatrix Composites
1992|93.0|2.0|international symposium on computer architecture|The turn model for adaptive routing
1993|152.0|2.0|Journal of the American Ceramic Society|Ceramic Fuel Cells
1994|66.0|2.0|Journal of the American Ceramic Society|In SituToughened Silicon Carbide
1995|92.0|2.0|Electronics Letters|Silicon on insulator material technology
1996|52.0|2.0|Journal of Chromatography A|Experiences with packed capillary electrochromatography at ambient pressure
1997|110.0|2.0|Nature|Controlled production of aligned-nanotube bundles
1998|137.0|2.0|Circulation|Chlamydial Heat Shock Protein 60 Localizes in Human Atheroma and Regulates Macrophage Tumor Necrosis Factor- and Matrix Metalloproteinase Expression
1999|74.0|3.0|American Journal of Surgery|Clinical short-term results of Radiofrequency ablation in primary and secondary liver tumors
2000|138.0|3.0|Journal of Applied Physics|Relaxation in glassforming liquids and amorphous solids
2001|161.0|3.0|Progress in Materials Science|Manufacture, characterisation and application of cellular metals and metal foams
2002|207.0|4.0|Applied Physics Letters|Carbon nanotube composites for thermal management
2003|258.0|4.0|Biomaterials|Novel bioactive materials with different mechanical properties
2004|243.0|4.0|Applied Physics Letters|Phase transitional behavior and piezoelectric properties of (Na0.5K0.5)NbO3LiNbO3 ceramics
2005|209.0|4.0|Applied Physics Letters|Piezoelectric properties of Li- and Ta-modified (K0.5Na0.5)NbO3 ceramics
2006|165.0|4.0|Journal of the American Ceramic Society|Processing Routes to Macroporous Ceramics: A Review
2007|455.0|5.0|Science|Mussel-Inspired Surface Chemistry for Multifunctional Coatings
2008|761.0|5.0|Nature|Anatase TiO2 single crystals with a large percentage of reactive facets
2009|640.0|5.0|Carbon|Chemical analysis of graphene oxide films after heat and chemical treatments by X-ray photoelectron and Micro-Raman spectroscopy
2010|215.0|5.0|Thin Solid Films|The M(n+1)AX(n) phases: Materials science and thin-film processing
