----  Field Name Clinical nutrition: 
----  Field Level 2.0: 
----  Field Papers Number 1669:
----  All time max citation paper: Apple phytochemicals and their health benefits, 2004, (452.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1998|0|0.0|Lwt - Food Science and Technology|Production and Characterization of Enzymatic Hydrolysate from Soy Protein Isolate
1999|13.0|13.0|Clinical Nutrition|Clinical nutrition in Danish hospitals: a questionnaire-basednutrition among doctors and nurses
2000|37.0|13.0|Journals of Gerontology Series A-biological Sciences and Medical Sciences|Nutritional Management in Long-Term Care Development of a Clinical Guideline
2001|22.0|22.0|Nutrition|Effect of glutamine supplementation of the diet on tissue protein synthesis rate of glucocorticoid-treated rats
2002|35.0|5.5|Nutrition Journal|EFFECT OF GARLIC ON CARDIOVASCULAR DISORDERS: A REVIEW
2003|52.0|19.0|Nutrition Journal|Vitamin C in human health and disease is still a mystery ? An overview
2004|103.0|24.0|Nutrition Journal|Apple phytochemicals and their health benefits
2005|77.0|21.0|Nutrition & Metabolism|Fructose, insulin resistance, and metabolic dyslipidemia
2006|64.0|14.0|Nutrition & Metabolism|Chocolate and prevention of cardiovascular disease: a systematic review
2007|84.0|28.5|Nutrition Journal|A survey of energy drink consumption patterns among college students
2008|76.0|27.0|Nutrition Journal|Soy isoflavones, estrogen therapy, and breast cancer risk: analysis and commentary
2009|89.0|32.0|Nutrition Journal|Food consumption frequency and perceived stress and depressive symptoms among students in three European countries.
2010|214.0|52.0|Nutrition Journal|The total antioxidant content of more than 3100 foods, beverages, spices, herbs and supplements used worldwide.
