----  Field Name Computational intelligence: 
----  Field Level 2.0: 
----  Field Papers Number 2379:
----  All time max citation paper: Ant colony optimization, 2006, (1360.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1983|9.0|9.0|IEEE Computer|Protecting Public Keys and Signature Keys
1985|8.0|8.0|New Directions for Child and Adolescent Development|Integrating human and computer intelligence
1986|18.0|18.0|international conference on robotics and automation|On parallel stereo
1988|28.0|14.0|international conference on computer vision|Eye Fixation And Early Vision: Kinetic Depth
1989|7.0|7.0|IEEE Transactions on Knowledge and Data Engineering|An intelligent search method for query optimization by semijoins
1990|31.0|1.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Geometric reasoning for recognition of three-dimensional object features
1991|8.0|4.0|computer vision and pattern recognition|A dynamic system for object description and correspondence
1992|3.0|1.5|IEEE Computer|RCS: a reference model architecture for intelligent control
1993|2.0|1.0|international conference on robotics and automation|Integration of reactive navigation with a flexible parallel hardware architecture
1994|16.0|1.0|IEEE Transactions on Fuzzy Systems|A generalized fuzzy Petri net model
1995|9.0|5.0|international conference on computer vision|Reflectance function estimation and shape recovery from image sequence of a rotating object
1996|18.0|7.0|ACM Transactions on Mathematical Software|PYTHIA: a knowledge-based system to select scientific algorithms
1997|22.0|2.0|BioSystems|Ant colonies for the travelling salesman problem
1998|31.0|1.0|IEEE Transactions on Systems, Man, and Cybernetics|Making use of population information in evolutionary artificial neural networks
1999|30.0|3.0||Vision-Based Gesture Recognition: A Review
2000|55.0|3.0|Ibm Systems Journal|Out of context: computer systems that adapt to, and learn from, context
2001|89.0|2.5|Proceedings of the IEEE|Interactive evolutionary computation: fusion of the capabilities of EC optimization and human evaluation
2002|130.0|2.0|Natural Computing|Evolution strategies A comprehensive introduction
2003|70.0|3.0|Fuzzy Sets and Systems|On the relationship between some extensions of fuzzy set theory
2004|37.0|2.0|International Journal of Hybrid Intelligent Systems|Hybrid Intelligence in Software Release Planning
2005|245.0|3.0|Journal of Machine Learning Research|Large Margin Methods for Structured and Interdependent Output Variables
2006|816.0|2.0|IEEE Computational Intelligence Magazine|Ant colony optimization
2007|144.0|1.0|IEEE Transactions on Evolutionary Computation|Intrinsic Motivation Systems for Autonomous Mental Development
2008|159.0|2.0|Evolutionary Intelligence|Genetic fuzzy systems: taxonomy, current research trends and prospects
2009|142.0|1.0|computational intelligence and security|A detailed analysis of the KDD CUP 99 data set
2010|284.0|3.0|Information Sciences|Advanced nonparametric tests for multiple comparisons in the design of experiments in computational intelligence and data mining: Experimental analysis of power
