----  Field Name Computational mechanics: 
----  Field Level 2.0: 
----  Field Papers Number 10941:
----  All time max citation paper: The Faculty of Language: What Is It, Who Has It, and How Did It Evolve?, 2002, (1186.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1967|0|0.0|Il Nuovo Cimento B|Coherent Raman amplification.
1969|10.0|10.0|IEEE Transactions on Information Theory|Communication under the Poisson regime
1972|0|0.0|Computer Physics Communications|Programs for computing the logarithm of the gamma function, and the digamma function, for complex argument.
1973|3.0|1.5||Graphics, problem solving and virtual systems
1975|7.0|7.0|IEEE Transactions on Biomedical Engineering|Absorption Characteristics of Multilayered Sphere Models Exposed to UHF/Microwave Radiation
1977|2.0|2.0|IEEE Transactions on Biomedical Engineering|Electromagnetic Power Deposition in Prolate Spheroid Models of Man and Animals at Resonance
1978|2.0|0.0|IEEE Transactions on Antennas and Propagation|Electromagnetic modeling of composite wire and surface geometries
1979|3.0|1.0|Proceedings of the IEEE|Electromagnetic induction effects at an ocean coast
1980|2.0|1.0|IEEE Transactions on Biomedical Engineering|Thermal Response Model of a Simulated Cranial Structure Exposed to Radiofrequency Radiation
1981|6.0|4.0|Computers & Structures|ARCHITECTURE OF A DISTRIBUTED ANALYSIS NETWORK FOR COMPUTATIONAL MECHANICS
1982|4.0|3.0|IEEE Transactions on Power Apparatus and Systems|Accuarte Modelling of Frequency-Dependent Transmission Lines in Electromagnetic Transient Simulations
1983|7.0|2.0|IEEE Transactions on Biomedical Engineering|A Computational Model of the Electromagnetic Heating of Biological Tissue with Application to Hyperthermic Cancer Therapy
1984|6.0|1.0|Electronics Letters|Longitudinal static-field model for DH lasers
1985|26.0|1.0|international joint conference on artificial intelligence|On the comparison of theories: preferring the most specific explanation
1986|59.0|1.5|compiler construction|ORBIT: an optimizing compiler for scheme
1987|128.0|1.0|Psychological Review|Seeing and Imagining in the Cerebral Hemispheres: A Computational Approach.
1988|17.0|2.0|Neuroscience|Antibodies against GABA and glutamate label neurons with morphologically distinct synaptic vesicles in the locust central nervous system
1989|78.0|2.0|programming language design and implementation|Process decomposition through locality of reference
1990|20.0|1.0|IEEE Transactions on Biomedical Engineering|A model of the stimulation of a nerve fiber by electromagnetic induction
1991|78.0|2.0|high performance computing|The Nas Parallel Benchmarks
1992|42.0|3.0|Computer Methods in Applied Mechanics and Engineering|Adaptive finite element methods in computational mechanics
1993|25.0|3.0|IEEE Journal on Selected Areas in Communications|Concepts and results for 3D digital terrain-based wave propagation models: an overview
1994|43.0|2.5|Communications of The ACM|Massively parallel methods for engineering and science problems
1995|67.0|3.0|Proceedings of the IEEE|EM interaction of handset antennas and a human in personal communications
1996|50.0|3.0|IEEE Transactions on Microwave Theory and Techniques|Electromagnetic absorption in the human head and neck for mobile telephones at 835 and 1900 MHz
1997|45.0|3.0|IEEE Transactions on Geoscience and Remote Sensing|An entropy based classification scheme for land applications of polarimetric SAR
1998|71.0|3.0|Computational Mechanics|A new meshless local Petrov-Galerkin (MLPG) approach in computational mechanics
1999|60.0|3.0|IEEE Transactions on Microwave Theory and Techniques|A uniplanar compact photonic-bandgap (UC-PBG) structure and its applications for microwave circuit
2000|60.0|3.0|IEEE Journal of Selected Topics in Quantum Electronics|Numerical techniques for modeling guided-wave photonic devices
2001|52.0|3.5|Journal of Elasticity|Computational Mechanics of the Heart
2002|329.0|3.0|Science|The Faculty of Language: What Is It, Who Has It, and How Did It Evolve?
2003|65.0|3.0|IEEE Transactions on Antennas and Propagation|Microstrip antennas integrated with electromagnetic band-gap (EBG) structures: a low mutual coupling design for array applications
2004|108.0|4.0|IEEE Transactions on Microwave Theory and Techniques|A novel composite right-/left-handed coupled-line directional coupler with arbitrary coupling level and broad bandwidth
2005|185.0|3.0|Artificial Intelligence Review|Review on Computational Trust and Reputation Models
2006|190.0|3.0|Solar Energy Materials and Solar Cells|A review on highly ordered, vertically oriented TiO 2 nanotube arrays: Fabrication, material properties, and solar energy applications
2007|344.0|3.0|Nature Photonics|Nano-optics from sensing to waveguiding
2008|116.0|2.0|Trends in Cognitive Sciences|Hierarchical models of behavior and prefrontal function
2009|150.0|2.0|Computer Methods in Applied Mechanics and Engineering|The stochastic finite element method: Past, present and future
2010|229.0|3.0|human factors in computing systems|Who are the crowdworkers?: shifting demographics in mechanical turk
