----  Field Name Computational neuroscience: 
----  Field Level 2.0: 
----  Field Papers Number 4564:
----  All time max citation paper: The neural basis of decision making., 2007, (967.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1967|4.0|4.0|Physiology & Behavior|A head-mounted manipulator for chronic single unit recording from the squirrel monkey
1969|21.0|21.0|Acta Physiologica Scandinavica|Single Unit Recordings from Muscle Nerves in Human Subjects
1970|1.0|1.0|Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology|Comparative studies of auditory physiology in reptiles
1971|2.0|2.0|Vision Research|The response of the human visual system to moving spatially-periodic patterns: Further analysis
1972|3.0|2.5|Pflgers Archiv: European Journal of Physiology|Reflex Activity of Single Sympathetic Fibres to Skeletal Muscle Produced by Electrical Stimulation of Somatic and Vago-Depressor Afferent Nerves in the Cat
1973|2.0|1.0|Electroencephalography and Clinical Neurophysiology|Tungsten ball microelectrode for extracellular single-unit recording
1974|16.0|5.0|Quarterly Journal of Experimental Psychology|Relative motion and the adjacency principle
1975|13.0|11.0|Physiology & Behavior|Lateral preoptic and lateral hypothalamic units: In search of the osmoreceptors for thirst
1976|27.0|10.0|Nature|Antagonistic effects of GABA and benzodiazepines on vestibular and cerebellar neurones
1977|31.0|4.0|Brain Research|Single unit recording in the midbrain of rats during shock-elicited fighting behavior
1978|19.0|1.0||Physiological Basis of Motion Perception
1979|6.0|4.0|IEEE Transactions on Biomedical Engineering|Simultaneous Single Unit Recording in vitro with a Photoetched Laser Deinsulated Gold Multimicroelectrode Surface
1980|34.0|9.0|Brain Research|Effects of muscimol and picrotoxin on single unit activity of substantia nigra neurons
1981|45.0|3.0|Neuroscience Letters|Single unit recordings in the nuclei raphe dorsalis and magnus during the sleep-waking cycle of semi-chronic prepared cats
1982|22.0|4.0|Vision Research|The basis of area and dot number effects in random dot motion perception
1983|23.0|8.0|Neurobiology of Aging|Loss of place specificity in hippocampal complex spike cells of senescent rat
1984|13.0|2.0|Journal of the Optical Society of America|Perceived velocity of moving chromatic gratings
1985|80.0|7.0|Journal of The Optical Society of America A-optics Image Science and Vision|Model of human visual-motion sensing.
1986|51.0|7.5|European Journal of Pharmacology|Inhibition of serotonergic dorsal raphe neurons by systemic and iontophoretic administration of buspirone, a non-benzodiazepine anxiolytic drug.
1987|84.0|7.0|Brain Research|Stimulation of both D 1 and D 2 dopamine receptors appears necessary for full expression of postsynaptic effects of dopamine agonists: a neurophysiological study
1988|43.0|6.0|Journal of The Optical Society of America A-optics Image Science and Vision|Drift-balanced random stimuli: a general basis for studying non-Fourier motion perception
1989|49.0|4.5|Vision Research|Occlusion and the solution to the aperture problem for motion
1990|25.0|5.5|Vision Research|Effect of contrast on the perceived direction of a moving plaid
1991|37.0|3.0|The Journal of Neuroscience|Interaction of colocalized neuropeptides: functional significance in the circadian timing system
1992|92.0|6.5|Visual Neuroscience|A psychophysically motivated model for two-dimensional motion perception.
1993|55.0|7.0|Neuroscience Letters|Prefrontal cortex regulates burst firing and transmitter release in rat mesolimbic dopamine neurons studied in vivo.
1994|69.0|3.0|Nature|A thalamic nucleus specific for pain and temperature sensation.
1995|142.0|5.0|The Journal of Neuroscience|Functional analysis of human MT and related visual cortical areas using magnetic resonance imaging
1996|95.0|6.0|Molecular and Cellular Biology|A hierarchical network of interreceptor interactions determines signal transduction by Neu differentiation factor/neuregulin and epidermal growth factor.
1997|129.0|7.0|The EMBO Journal|ErbB-2, the preferred heterodimerization partner of all ErbB receptors, is a mediator of lateral signaling.
1998|139.0|7.0|Proceedings of the National Academy of Sciences of the United States of America|Frontoparietal cortical networks for directing attention and the eye to visual locations: Identical, independent, or overlapping neural systems?
1999|132.0|7.0|Proceedings of the National Academy of Sciences of the United States of America|Functional MRI reveals spatially specific attentional modulation in human primary visual cortex
2000|121.0|8.0|The Journal of Neuroscience|Dissociable Neural Responses in Human Reward Systems
2001|112.0|7.0|Neuron|Patterning of Muscle Acetylcholine Receptor Gene Expression in the Absence of Motor Innervation
2002|194.0|7.0|Proceedings of the National Academy of Sciences of the United States of America|Dorsal anterior cingulate cortex: A role in reward-based decision making
2003|217.0|9.0|Experimental Cell Research|Neuregulins: functions, forms, and signaling strategies
2004|85.0|9.0|Proceedings of the National Academy of Sciences of the United States of America|Repetition suppression of faces is modulated by emotion
2005|182.0|9.0|Annual Review of Neuroscience|STRUCTURE AND FUNCTION OF VISUAL AREA MT
2006|168.0|10.0|Nature Reviews Neuroscience|The short-latency dopamine signal: a role in discovering novel actions?
2007|514.0|9.0|Annual Review of Neuroscience|The neural basis of decision making.
2008|673.0|10.0|Journal of Vision|Mobile computation: spatiotemporal integration of the properties of objects in motion.
2009|873.0|9.0|PLOS ONE|Imagined Self-Motion Differs from Perceived Self-Motion: Evidence from a Novel Continuous Pointing Method
2010|697.0|9.0|Journal of Vision|Humans do not have direct access to retinal flow during walking
