----  Field Name Computer-assisted translation: 
----  Field Level 2.0: 
----  Field Papers Number 4558:
----  All time max citation paper: The trigeminovascular system and migraine : studies characterizing cerebrovascular and neuropeptide changes seen in humans and cats, 1993, (435.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1964|11.0|9.0|Experimental Neurology|Evoked responses from the auditory cortex.
1965|16.0|10.0|Experimental Neurology|The spinocervical tract- dorsal column linkage, conduction velocity, primary afferent spectrum
1966|10.0|8.5|Electroencephalography and Clinical Neurophysiology|Relationships of neuronal spike populations and EEG activity in chronic cats.
1967|0|0.0|European Journal of Pharmacology|A study of the action of angiogensin on the superior cervical ganglion in comparison with other ganglion stimulating agents
1969|10.0|6.5|Developmental Psychobiology|Ontogenesis of the states of sleep in rat, cat, and guinea pig during the first postnatal month
1970|8.0|8.0|Respiration Physiology|Ventilatory response to alterations of H + ion concentration in small areas of the ventral medullary surface
1971|6.0|3.0|Brain Research|Conduction velocity as a parameter in the organisation of the afferent relay in the cat's lateral geniculate nucleus
1972|6.0|3.0|Physiology & Behavior|Delayed alternation in cats with lesions of the prefrontal cortex and the caudate nucleus
1973|11.0|2.0|Physiology & Behavior|Alterations in short-term retention, conditioned avoidance response acquisition and motivation following aluminum induced neurofibrillary degeneration
1974|9.0|6.0|Physiology & Behavior|Insular-temporal lesions and vibrotactile temporal pattern discrimination in cats
1975|13.0|3.5|Epilepsia|Effects of Taurine on Kindled Amygdaloid Seizures in Rats, Cats, and Photosensitive Baboons
1976|10.0|10.0|Acta Physiologica Scandinavica|Vagal Influence on Serotonin Concentration in Enterochromaffin Cells in the Cat
1977|4.0|3.0||Postmortem changes in stereological parameters of cerebral capillaries
1978|11.0|5.0|Experimental Eye Research|Taurine fluxes in isolated cat and rat retinas: Effects of illumination
1979|12.0|4.0|Respiration Physiology|Experimentally induced cheyne-stokes breathing
1980|35.0|3.0|Brain Research|Uptake of [ 3 H]glycine and [ 3 H]GABA by amacrine cells in the cat retina
1981|27.0|4.0|Acta Physiologica Scandinavica|Tissue concentration and release of substance Plike immunoreactivity in the dental pulp
1982|31.0|5.0|Neuroscience Letters|The distribution of serotonin, met-enkephalin and -lipotropin-like immunoreactivity in neuronal perikarya of the cat brainstem
1983|34.0|5.0|Brain Research|Serotonergic excitation of sympathetic preganglionic neurons: a microiontophoretic study
1984|63.0|5.0|Brain Research|Site-specific enhancement and suppression of desynchronized sleep signs following cholinergic stimulation of three brainstem regions
1985|52.0|3.0|Neuroscience Letters|Perivascular peptides relax cerebral arteries concomitant with stimulation of cyclic adenosine monophosphate accumulation or release of an endothelium-derived relaxing factor in the cat
1986|47.0|4.0|Brain Research|Neuropeptide Y-immunoreactive neurons in the striatum of cat and monkey: Morphological characteristics, intrinsic organization and co-localization with somatostatin
1987|78.0|5.0|Animal Genetics|DNA fingerprints of dogs and cats.
1988|84.0|5.0|Behavioural Brain Research|Rubrospinal and rubrobulbospinal influences on dynamic and static -motoneurones
1989|55.0|4.0|Brain Research Reviews|Animal models of the epilepsies.
1990|41.0|3.5|Journal of Neurochemistry|Rat Brain Glutamic Acid Decarboxylase Sequence Deduced from a Cloned cDNA
1991|40.0|3.0|Neuroscience Letters|Excitatory amino acid receptors mediate synaptic responses to visual stimuli in superior colliculus neurones of the rat
1992|50.0|4.0|Vision Research|Directionally selective complex cells and the computation of motion energy in cat visual cortex
1993|49.0|4.0|Annals of Neurology|The trigeminovascular system and migraine : studies characterizing cerebrovascular and neuropeptide changes seen in humans and cats
1994|28.0|4.0|FEBS Letters|The primary oxygen sensor of the cat carotid body is cytochrome a 3 of the mitochondrial respiratory chain
1995|32.0|3.5|Brain Research|Microdialysis measurement of cortical and hippocampal acetylcholine release during sleep-wake cycle in freely moving cats
1996|61.0|4.0|Journal of Clinical Microbiology|Experimental transmission of Bartonella henselae by the cat flea.
1997|54.0|3.0|European Journal of Neuroscience|The Perceptual Grouping Criterion of Colinearity is Reflected by Anisotropies of Connections in the Primary Visual Cortex
1998|36.0|5.0|The Journal of Allergy and Clinical Immunology|Relationship of indoor allergen exposure to skin test sensitivity in inner-city children with asthma
1999|53.0|4.0|Neuroscience & Biobehavioral Reviews|Neuropharmacology of brain-stimulation-evoked aggression
2000|36.0|6.0|Journal of Neurology, Neurosurgery, and Psychiatry|Recovery from optic neuritis is associated with a change in the distribution of cerebral response to visual stimulation: a functional magnetic resonance imaging study.
2001|53.0|5.0|The Journal of Allergy and Clinical Immunology|Metropolitan home living conditions associated with indoor endotoxin levels
2002|119.0|6.0|Nature|Precise inhibition is essential for microsecond interaural time difference coding
2003|56.0|5.0|Annals of the New York Academy of Sciences|Comparative Aspects of Amygdala Connectivity
2004|52.0|6.0|The Journal of Neuroscience|Encoding of Natural Scene Movies by Tonic and Burst Spikes in the Lateral Geniculate Nucleus
2005|99.0|5.0|Veterinary Research|Factors associated with the rapid emergence of zoonotic Bartonella infections
2006|72.0|6.0|The Plant Cell|ELONGATED UPPERMOST INTERNODE Encodes a Cytochrome P450 Monooxygenase That Epoxidizes Gibberellins in a Novel Deactivation Reaction in Rice
2007|195.0|6.5|Intelligence|Intelligence and educational achievement
2008|79.0|5.0|Food Chemistry|Relative antioxidant and cytoprotective activities of common herbs
2009|277.0|5.0|Journal of Molecular and Cellular Cardiology|What is the mitochondrial permeability transition pore?
2010|112.0|6.0|Magnetic Resonance in Medicine|Reconstruction of the orientation distribution function in single- and multiple-shell q-ball imaging within constant solid angle.
