----  Field Name Computer-mediated communication: 
----  Field Level 2.0: 
----  Field Papers Number 7806:
----  All time max citation paper: Computer-Mediated Communication: Impersonal, Interpersonal, and Hyperpersonal Interaction, 1996, (1236.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1969|0|0.0|IEEE Transactions on Computers|Asynchronous Sequential Circuits with Feedback
1973|2.0|2.0||A multi-processing approach to natural language
1974|8.0|4.0|IEEE Transactions on Computers|Towards a Theory of Universal Speed-Independent Modules
1976|1.0|1.0|international symposium on computer architecture|Hardware support for inter-process communication and processor sharing
1977|4.0|3.5|Proceedings of the IEEE|Synchronization methods for TDMA
1978|5.0|5.0|international symposium on computer architecture|A language implementation design for a multiprocessor computer system
1980|0|0.0|IEEE Transactions on Communications|Network Timing/Synchronization for Defense Communications
1981|1.0|1.0|international symposium on computer architecture|An architecture for extended abstract data flow
1982|9.0|9.0|ACM Sigarch Computer Architecture News|Fault-tolerant wafer-scale architectures for VLSI
1983|15.0|14.5|Information Processing Letters|A distributed solution of the distributed termination problem
1984|18.0|9.0|Journal of Abnormal Child Psychology|Social Information Processing in Child Psychiatric Populations
1985|41.0|17.0|symposium on operating systems principles|The structuring of systems using upcalls
1986|43.0|13.0|Organizational Behavior and Human Decision Processes|Group processes in computer-mediated communication
1987|101.0|5.0|ACM Transactions on Computer Systems|Reliable communication in the presence of failures
1988|59.0|2.0|conference on computer supported cooperative work|Design of a multi-media vehicle for social browsing
1989|24.0|4.5||A Temporal-Logic Based Compositional Proof System for Real-Time Message Passing
1990|19.0|2.0|Management Science|User satisfaction with computer-mediated communication systems
1991|49.0|2.0|symposium on operating systems principles|First-class user-level threads
1992|26.0|4.0|Child Development|Some Consequences of Early Harsh Discipline: Child Aggression and a Maladaptive Social Information Processing Style
1993|51.0|4.0|IEEE Transactions on Communications|Shared buffer memory switch for an ATM exchange
1994|37.0|3.0|Information Systems Research|Computer-Mediated Communication for Intellectual Teamwork: An Experiment in Group Writing
1995|41.0|3.0|IEEE Transactions on Computers|The stochastic rendezvous network model for performance of synchronous client-server-like distributed software
1996|83.0|3.0|Communication Research|Computer-Mediated Communication: Impersonal, Interpersonal, and Hyperpersonal Interaction
1997|91.0|4.0|conference on object-oriented programming systems, languages, and applications|The design and performance of a real-time CORBA event service
1998|77.0|3.5|Journal of Computer-Mediated Communication|Communication and Trust in Global Virtual Teams
1999|51.0|5.0|european conference on computer supported cooperative work|The adoption and use of 'BABBLE': a field study of chat in the workplace
2000|183.0|5.0|conference on computer supported cooperative work|Interaction and outeraction: instant messaging in action
2001|116.0|3.5|human factors in computing systems|ConNexus to awarenex: extending awareness to mobile users
2002|75.0|5.0|Journal of Autism and Developmental Disorders|Visual scanning of faces in autism.
2003|161.0|6.0|Review of Sociology|Computer Networks as Social Networks: Collaborative Work, Telework, and Virtual Community
2004|270.0|6.0|international world wide web conferences|Analysis of interacting BPEL web services
2005|195.0|5.0|Personality and Social Psychology Review|Embodiment in attitudes, social perception, and emotion.
2006|170.0|5.0|Computers in Education|Content analysis schemes to analyze transcripts of online asynchronous discussion groups: A review
2007|135.0|6.0|Developmental Psychology|Involvement in traditional and electronic bullying among adolescents
2008|276.0|7.0|Journal of Child Psychology and Psychiatry|Cyberbullying: Its Nature and Impact in Secondary School Pupils.
2009|411.0|6.0|American Journal of Distance Education|Critical thinking, cognitive presence, and computer conferencing in distance education
2010|231.0|6.0|human factors in computing systems|Microblogging during two natural hazards events: what twitter may contribute to situational awareness
