----  Field Name Conflict resolution: 
----  Field Level 2.0: 
----  Field Papers Number 8444:
----  All time max citation paper: The framing of decisions and the psychology of choice, 1981, (5072.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1958|2.0|2.0|Journal of Conflict Resolution|A systematization of Gandhian ethics of conflict resolution
1969|0|0.0|Journal of Conflict Resolution|Conflict resolution in the medieval morality plays
1970|5.0|5.0|Physiology & Behavior|Pre- and post-operative approach training and conflict resolution by septal and hippocampal lesioned rats
1971|0|0.0|Journal of School Psychology|Students against the school establishment: Crisis intervention in school conflicts and organizational change
1972|10.0|9.0||Extensions of packet communication technology to a hand held personal terminal
1974|2.0|0.0|acm special interest group on data communication|Research areas in computer communication
1975|3.0|1.5|Organizational Behavior and Human Performance|The effects of organizational level on perceptions of role conflict resolution strategy
1976|3.0|0.0|Journal of Conflict Resolution|Some Determinants of Preference for Modes of Conflict Resolution
1977|0|0.0|Human Communication Research|THE LANGUAGE OF PARTICIPATION AND THE LANGUAGE OF RESISTANCE1
1978|16.0|2.0|Evaluation and Program Planning|Ethical problems in program evaluation: Advice for trapped evaluators
1979|13.0|1.0|Journal of Consulting and Clinical Psychology|Interpersonal and Impersonal Problem-Solving Skills in Mildly and Clinically Depressed University Students.
1980|44.0|1.5|IEEE Transactions on Computers|On a Class of Multistage Interconnection Networks
1981|251.0|1.0|Science|The framing of decisions and the psychology of choice
1982|11.0|1.0|Management Science|User Involvement in Information System Development: A Conflict Model and Empirical Test
1983|3.0|1.0|Journal of Conflict Resolution|Third Party Consultation as a Method of Intergroup Conflict Resolution: A Review of Studies
1984|20.0|4.0|ACM Transactions on Programming Languages and Systems|The drinking philosophers problem
1985|25.0|1.0|Information & Management|NEGOgroup decision support system
1986|38.0|1.0|ACM Transactions on Information Systems|Offices are open systems
1987|13.0|1.0|Personnel Psychology|REFERENT SELECTION IN DETERMINING EQUITY PERCEPTIONS: DIFFERENTIAL EFFECTS ON BEHAVIORAL AND ATTITUDINAL OUTCOMES
1988|17.0|2.0|Child Development|Conflict and the Friendship Relations of Young Children.
1989|46.0|3.0|Academy of Management Journal|Making Fast Strategic Decisions In High-Velocity Environments
1990|37.0|2.0|real-time systems symposium|Dynamic real-time optimistic concurrency control
1991|38.0|3.0|IEEE Transactions on Systems, Man, and Cybernetics|Supporting conflict resolution in cooperative design systems
1992|24.0|1.5|Management Science|Negotiation analysis: a characterization and review
1993|38.0|1.0||Experience with disconnected operation in a mobile computing environment
1994|46.0|1.5|Strategic Management Journal|Characteristics of partnership success: Partnership attributes, communication behavior, and conflict resolution techniques
1995|68.0|2.0|symposium on operating systems principles|Managing update conflicts in Bayou, a weakly connected replicated storage system
1996|51.0|3.0|International Journal of Cooperative Information Systems|Agent-Based Business Process Management
1997|58.0|3.0|Artificial Intelligence|Coalitions among computationally bounded agents
1998|116.0|2.0|Robotics and Autonomous Systems|Negotiation Decision Functions for Autonomous Agents
1999|83.0|2.0|IEEE Transactions on Software Engineering|Conflicts in policy-based distributed systems management
2000|73.0|3.0|Proceedings of the National Academy of Sciences of the United States of America|Dissociation of response conflict, attentional selection, and expectancy with functional magnetic resonance imaging
2001|146.0|3.0|ACM Transactions on Database Systems|Flexible support for multiple access control policies
2002|250.0|3.0|Electronic Commerce Research and Applications|The Web Service Modeling Framework WSMF
2003|179.0|3.5||Breaking the conflict trap : civil war and development policy
2004|420.0|5.0|Behavior Research Methods|SPSS and SAS procedures for estimating indirect effects in simple mediation models
2005|246.0|4.0|Annual Review of Environment and Resources|ADAPTIVE GOVERNANCE OF SOCIAL-ECOLOGICAL SYSTEMS
2006|117.0|4.0|Philosophical Transactions of the Royal Society B|Sexual conflict over mating and fertilization: an overview
2007|489.0|4.0|symposium on operating systems principles|Dynamo: amazon's highly available key-value store
2008|246.0|3.0|Information Sciences|Is there a need for fuzzy logic?
2009|164.0|3.0|Current Directions in Psychological Science|Current Directions in Mediation Analysis.
2010|241.0|4.0|Long Range Planning|From Strategy to Business Models and onto Tactics
