----  Field Name Conservation biology
----  Field Level 2.0
----  Field Papers Number 117602
----  All time max citation paper Biodiversity hotspots for conservation priorities, 2000, (7820.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1930|6.0|3.0|Genetica|Ontogeny, genetics and cytology of Nicotiana hybrids.
1933|1.0|1.0||A Comparison of Aonidiella aurantii and Aonidiella citrina, including a Study of the Internal Anatomy of the Latter.
1934|0|0.0||Thrips Resistance in the Onion.
1935|7.0|3.5|Parasitology|A Description of a Necrotic Virus Disease affecting Tobacco and Other Plants.
1938|1.0|1.0|Botanical Review|Ecology of the Grassland
1940|0|0.0|Journal of Cellular and Comparative Physiology|Ionic permeability. The comparative effects of environmental changes on the permeability of the cat erythrocyte membrane to sodium and potassium
1944|0|0.0||Bionomics and Control of the Nigra Scale, Saissetia nigra.
1947|0|0.0||The soya bean.
1950|2.0|2.0|Annals of Applied Biology|ON THE BACTERIA RESPONSIBLE FOR SOFT ROT IN STORED POTATOES, AND THE REACTION OF THE TUBER TO INVASION BY BACTERIUM CAROTOVORUM (JONES) LEHMANN & NEUMANN
1951|0|0.0||Forest Succession in the Valparaiso and Packerton Moraines in Indiana
1952|0|0.0|Population Ecology|Interspecific competition between two species of the bean weevil
1954|3.0|2.0||Aphid Transmission of nonpersistent Plant Viruses with special Reference to the Brassica nigra Virus.
1956|0|0.0||The ecology of Lodgepole Pine in Alberta and its role in forest succession
1957|1.0|0.5|Ecological Entomology|A REVIEW OF BRITISH GLASSHOUSE THYSANOPTERA
1958|5.0|5.0|Journal of Dairy Science|Comparative Utilization of Alfalfa-Bromegrass Pasture Under Rotational and Daily Strip Grazing1
1960|2.0|0.0|Transactions of The Royal Society of Tropical Medicine and Hygiene|Schistosome infections as zoonoses in Africa.
1961|2.0|1.0|Journal of Dairy Science|Causes and Estimation of Environmental Changes in a Dairy Herd1
1962|17.0|17.0|Journal of Chemical Physics|Nuclear Magnetic Resonance Effects in Aqueous Solutions of 11 Electrolytes
1963|7.0|4.0|Radiation Botany|Predicted and observed effects of chronic gamma radiation on a near-climax forest ecosystem
1964|5.0|3.0|Ecological Monographs|Some vegetation of the California coastal Redwood region in relation to gradients of moisture, nutrients, light, and temperature.
1965|2.0|1.0|Tribology Transactions|On the Mechanisms of MoS 2 -Film Failure in Sliding Friction
1966|2.0|1.0|Naturwissenschaften|Molecular and ultrastructural correlates of function in neurons, neuronal nets, and the brain.
1967|5.0|0.0|Journal of Dairy Science|Estimation of Genetic Trends in Dairy Cattle Populations1
1968|4.0|2.0|Journal of Ecology|DIMENSION AND PRODUCTION RELATIONS OF TREES AND SHRUBS IN THE BROOKHAVEN FOREST, NEW YORK.
1969|3.0|1.0|Animal Behaviour|Effects of visual complexity during rearing on chicks' reactions to environmental change
1970|14.0|1.0|Biochemical Genetics|Glutamate oxalate transaminase (GOT) genetics in Mus musculus: linkage, polymorphism, and phenotypes of the Got-2 and Got-1 loci.
1971|5.0|1.0|Marine Biology|Diversit du microplancton du Golfe de Marseille en 1964
1972|5.0|1.0|Journal of Geophysical Research|A study of the roughness parameters of sea ice from wind profiles
1973|20.0|2.0|Deep Sea Research and Oceanographic Abstracts|THE ENVIRONMENTAL FATE OF STRANDED CRUDE OIL
1974|17.0|3.0||Abyssal community analysis from replicate box cores in the central North Pacific
1975|16.0|2.0||Economic analysis of projects
1976|29.0|2.0|Geophysical Research Letters|Upper limits on atmospheric ozone reductions following increased application of fixed nitrogen to the soil
1977|10.0|2.0|Oecologia|A model of renewable resources and limitation of deposit-feeding benthic populations
1978|24.0|2.0|Biological Conservation|Patch dynamics and the design of nature reserves
1979|41.0|2.0|Nature|Particulate organic matter flux and planktonic new production in the deep ocean
1980|18.0|2.0|Journal of Geophysical Research|Vertical mixing of lake sediments by tubificid oligochaetes
1981|20.0|2.0|Biological Conservation|Criteria used in assessing wildlife conservation potential.
1982|56.0|2.0|Geochimica et Cosmochimica Acta|Ocean chemistry during glacial time
1983|24.0|2.0|Limnology and Oceanography|Sulfate reduction in the salt marshes at Sapelo Island, Georgia
1984|21.0|2.0|Environmental Management|New perspectives in ecotoxicology
1985|36.0|2.0|The Journal of Business|Evaluating Natural Resource Investments
1986|46.0|2.0|Advances in Ecological Research|Ecology of Coarse Woody Debris in Temperate Ecosystems
1987|38.0|2.0|The American Naturalist|Plant Succession: Life History and Competition
1988|43.0|3.0|Ecological Modelling|A general model of forest ecosystem processes for regional applications I. Hydrologic balance, canopy gas exchange and primary production processes
1989|62.0|2.0|BioScience|Nitrogen Saturation in Northern Forest Ecosystems
1990|49.0|3.0|Ethology and Sociobiology|Evolutionary economics of human reproduction
1991|112.0|3.0|Biological Journal of The Linnean Society|Metapopulation dynamics: brief history and conceptual domain
1992|57.0|3.0|Applied Physics Letters|Laser deposition of biaxially textured yttriastabilized zirconia buffer layers on polycrystalline metallic alloys for high critical current YBaCuO thin films
1993|76.0|3.0|Reviews of Geophysics|Mantle dynamics, uplift of the Tibetan Plateau, and the Indian Monsoon
1994|133.0|3.0|Journal of Animal Ecology|Directions in conservation biology
1995|192.0|3.0|Current Opinion in Cell Biology|Proteolytic remodeling of extracellular matrix.
1996|169.0|3.0|Biological Journal of The Linnean Society|Some genetic consequences of ice ages, and their role in divergence and speciation
1997|143.0|4.0|Ecological Applications|HUMAN ALTERATION OF THE GLOBAL NITROGEN CYCLE: SOURCES AND CONSEQUENCES
1998|238.0|4.0|Nature|Mycorrhizal fungal diversity determines plant biodiversity, ecosystem variability and productivity
1999|276.0|5.0|Progress in Neurobiology|The induction of pain: an integrative review.
2000|958.0|6.0|Nature|Molecular portraits of human breast tumours
2001|434.0|6.0|Science|Historical overfishing and the recent collapse of coastal ecosystems
2002|369.0|7.0|Genome Biology|Exploring the conditional coregulation of yeast gene expression through fuzzy k-means clustering
2003|496.0|8.0|Annual Review of Ecology, Evolution, and Systematics|The Population Biology of Invasive Species
2004|992.0|8.0|Nature|EXTINCTION RISK FROM CLIMATE CHANGE
2005|1561.0|9.0|IEEE Journal on Selected Areas in Communications|Cognitive radio: brain-empowered wireless communications
2006|687.0|9.0|Science|Impacts of Biodiversity Loss on Ocean Ecosystem Services
2007|1029.0|9.0|Nature Protocols|Locating proteins in the cell using TargetP, SignalP and related tools.
2008|2058.0|10.0|Nature Protocols|Analyzing real-time PCR data by the comparative CT method
2009|5660.0|10.0|Nature Protocols|Systematic and integrative analysis of large gene lists using DAVID bioinformatics resources.
2010|2391.0|9.0|Nature Reviews Genetics|Sequencing technologies  the next generation
