----  Field Name Constrained optimization: 
----  Field Level 2.0: 
----  Field Papers Number 8609:
----  All time max citation paper: A fast and elitist multiobjective genetic algorithm: NSGA-II, 2002, (6164.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1960|0|0.0|Mycopathologia|A review of fungus infections of the central nervous system.
1965|4.0|4.0||Serial arithmetic techniques
1967|4.0|3.0|IEEE Transactions on Information Theory|Decision making in Markov chains applied to the problem of pattern recognition
1969|5.0|3.0|symposium on the theory of computing|Properties of deterministic top down grammars
1970|6.0|3.0|IEEE Transactions on Reliability|Optimal Reliability of a Complex System
1971|12.0|1.5|IEEE Transactions on Reliability|A Method of Solving Redundancy Optimization Problems
1972|9.0|4.0|IEEE Transactions on Reliability|A Simple Approach for Constrained Redundancy Optimization Problem
1973|9.0|0.5|IEEE Transactions on Reliability|Optimal Reliability Design of a System: A New Look
1974|5.0|2.5|winter simulation conference|A gradientregression search procedure for simulation experimentation
1975|12.0|2.0|Journal of the ACM|A Proof Procedure Using Connection Graphs
1976|6.0|1.0|Journal of the ACM|Transforming LR( k ) Grammars to LR(1), SLR(1), and (1,1) Bounded Right-Context Grammars
1977|8.0|1.5|IEEE Transactions on Reliability|A Heuristic Method for Determining Optimal Reliability Allocation
1978|14.0|2.0|ACM Transactions on Mathematical Software|Design and Testing of a Generalized Reduced Gradient Code for Nonlinear Programming
1979|10.0|1.0|Water Resources Research|A Chance Constrained Optimization Model for reservoir design and operation
1980|11.0|5.0|Journal of Chemical Physics|MCSCF wave functions for excited states of polar molecules: Application to BeO
1981|4.0|3.0|Transactions of the American Mathematical Society|Preservation of convergence of convex sets and functions in finite dimensions
1982|11.0|3.0|ACM Transactions on Programming Languages and Systems|Efficient Computation of LALR(1) Look-Ahead Sets
1983|11.0|3.0|Trends in Neurosciences|Amphibian skin peptides in mammals  looking ahead
1984|18.0|2.0|Computer Methods in Applied Mechanics and Engineering|Shape optimal design using B-splines
1985|20.0|5.5|IEEE Computer|Multiprocessing of Combinatorial Search Problems
1986|38.0|4.0|design automation conference|HAL: A Multi-Paradigm Approach to Automatic Data Path Synthesis
1987|17.0|2.0|IEEE Transactions on Acoustics, Speech, and Signal Processing|Arbitrarily high sampling rate adaptive filters
1988|21.0|2.5|parallel computing|State-of-the-art in parallel nonlinear optimization
1989|36.0|2.0|Structural and Multidisciplinary Optimization|Optimal shape design as a material distribution problem
1990|54.0|1.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Boundary detection by constrained optimization
1991|79.0|4.0|Numerische Mathematik|QMR: a Quasi-Minimal Residual Method for Non-Hermitian Linear Systems
1992|59.0|2.0||Look-ahead techniques for micro-opportunistic job shop scheduling
1993|91.0|4.0|international conference on computer graphics and interactive techniques|Adaptive display algorithm for interactive frame rates during visualization of complex virtual environments
1994|46.0|2.0|IEEE Transactions on Image Processing|Bit allocation for dependent quantization with applications to multiresolution and MPEG video coders
1995|35.0|2.0|Neuropsychologia|Are the frontal lobes implicated in planning functions? Interpreting data from the Tower of Hanoi
1996|57.0|2.0|IEEE Transactions on Parallel and Distributed Systems|Dynamic critical-path scheduling: an effective technique for allocating task graphs to multiprocessors
1997|72.0|3.0|computer vision and pattern recognition|Autocalibration and the absolute quadric
1998|158.0|3.0|international conference on management of data|Efficiently mining long patterns from databases
1999|85.0|4.0|international conference on computer communications|Adaptive FEC-based error control for Internet telephony
2000|156.0|3.0|Journal of Economic Literature|The New Institutional Economics: Taking Stock, Looking Ahead
2001|111.0|4.0|IEEE Journal of Solid-state Circuits|Concepts and methods in optimization of integrated LC VCOs
2002|690.0|4.0|IEEE Transactions on Evolutionary Computation|A fast and elitist multiobjective genetic algorithm: NSGA-II
2003|115.0|4.0|Proceedings of the IEEE|Collaborative signal and information processing: an information-directed approach
2004|225.0|4.0|IEEE Transactions on Evolutionary Computation|Handling multiple objectives with particle swarm optimization
2005|143.0|3.0|IEEE Transactions on Power Systems|A particle swarm optimization for economic dispatch with nonsmooth cost functions
2006|282.0|4.0|Mathematical Programming|On the implementation of an interior-point filter line-search algorithm for large-scale nonlinear programming
2007|190.0|3.0|IEEE Transactions on Software Engineering|Adaptive Service Composition in Flexible Processes
2008|342.0|3.0|IEEE Transactions on Evolutionary Computation|Particle Swarm Optimization: Basic Concepts, Variants and Applications in Power Systems
2009|741.0|3.0|Journal of Vision|Looking ahead: The perceived direction of gaze shifts before the eyes move
2010|565.0|4.0|Journal of Statistical Software|Zero-Coupon Yield Curve Estimation with the Package termstrc
