----  Field Name Construction management: 
----  Field Level 2.0: 
----  Field Papers Number 9437:
----  All time max citation paper: The Standardization of Terminology of Lower Urinary Tract Function in Children and Adolescents: Report from the Standardisation Committee of the International Childrens Continence Society, 2006, (600.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1977|1.0|0.5|Transportation Research|Some studies of the temporal stability of person trip generation models
1980|3.0|0.5|Journal of Stored Products Research|Heated-air Drying of Oilseeds
1981|0|0.0|International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts|ROCK MECHANICS REVIEW. SITE INVESTIGATION FOR TUNNELS
1982|0|0.0|design automation conference|RIOT -- A Simple Graphical Chip Assembly Tool
1983|1.0|0.5|Journal of Construction Engineering and Management-asce|Issues in Professional Construction Management
1984|4.0|2.5|Journal of Construction Engineering and Management-asce|Project Scheduling Using Fuzzy Set Concepts
1985|5.0|3.0|Journal of Water Resources Planning and Management|A uniform technique for flood frequency analysis.
1986|9.0|1.0|Journal of Construction Engineering and Management-asce|Potential Mechanisms for Construction Innovation
1987|14.0|1.0|Journal of Computing in Civil Engineering|Expert System for Construction Planning
1988|9.0|0.0|Journal of Construction Engineering and Management-asce|Artificial Intelligence Techniques for Generating Construction Project Plans
1989|8.0|0.0|Journal of Irrigation and Drainage Engineering-asce|Irrigation and Drainage Strategies in SalinityAffected Regions
1990|9.0|1.0|Journal of Construction Engineering and Management-asce|Expert Systems Applications in Construction Management and Engineering
1991|8.0|5.0|Journal of Construction Engineering and Management-asce|Neural networks as tools in construction
1992|30.0|4.0|international conference on software engineering|GENOA: a customizable language- and front-end independent code analyzer
1993|25.0|2.0|International Journal of Radiation Oncology Biology Physics|Commissioning and quality assurance of treatment planning computers
1994|7.0|2.0|Journal of Computing in Civil Engineering|NEUROMODEX - NEURAL NETWORK SYSTEM FOR MODULAR CONSTRUCTION DECISION MAKING
1995|22.0|1.0|Journal of Architectural Engineering|Software Environment to Support Early Phases in Building Design (SEED): Overview
1996|20.0|1.0|Computer-aided Design|Modelling multiple views of design objects in a collaborative cad environment
1997|15.0|1.0|Journal of Computing in Civil Engineering|Using Genetic Algorithms to Solve Construction Time-Cost Trade-Off Problems
1998|12.0|2.0|Journal of Construction Engineering and Management-asce|Regularization Neural Network for Construction Cost Estimation
1999|30.0|1.0|Journal of Construction Engineering and Management-asce|GENERAL-PURPOSE SYSTEMS FOR EFFECTIVE CONSTRUCTION SIMULATION
2000|48.0|1.0|Journal of the American Medical Informatics Association|When conversation is better than computation.
2001|32.0|2.0|Behaviour Change|A Universal Prevention Trial of Anxiety and Depressive Symptomatology in Childhood: Preliminary Data from an Australian Study
2002|98.0|2.0|Twin Research|Netherlands Twin Register: A Focus on Longitudinal Research
2003|69.0|2.0|Twin Research|Theory and Practice in Quantitative Genetics
2004|27.0|2.0|PLOS Biology|Mathematics is Biology's Next Microscope, Only Better; Biology is Mathematics' Next Physics, Only Better
2005|46.0|2.0|Twin Research and Human Genetics|Twin Studies on ObsessiveCompulsive Disorder: A Review
2006|278.0|2.0|The Journal of Urology|The Standardization of Terminology of Lower Urinary Tract Function in Children and Adolescents: Report from the Standardisation Committee of the International Childrens Continence Society
2007|76.0|2.0|Twin Research and Human Genetics|Young Netherlands Twin Register (Y-NTR): A longitudinal multiple informant study of problem behavior.
2008|95.0|2.0|International Journal of Radiation Oncology Biology Physics|Commissioning and Quality Assurance of RapidArc Radiotherapy Delivery System
2009|533.0|3.0||Education at a glance
2010|129.0|2.0|Journal of Membrane Science|The effects of mechanical and chemical modification of TiO 2 nanoparticles on the surface chemistry, structure and fouling performance of PES ultrafiltration membranes
