----  Field Name Control system
----  Field Level 2.0
----  Field Papers Number 78650
----  All time max citation paper Identification and control of dynamical systems using neural networks, 1990, (2831.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1935|0|0.0||A method of exciting the aerial system of a rotating radio beacon
1947|0|0.0|Transactions of The American Institute of Electrical Engineers|An Improved Cable Carrier System
1950|0|0.0||A new precision a.c. voltage stabilizer
1952|5.0|4.0|Journal of Chemical Physics|CRITICAL PHENOMENA IN THE CYCLOHEXANE-ANILINE SYSTEM
1953|3.0|3.0|Journal of Dairy Science|A Semi-Automatic Cryoscope for Determining the Freezing Point of Milk
1957|5.0|2.5|Journal of Dairy Science|Factors Influencing Metabolic Activity of Bull Spermatozoa. I. 37, 21, and 5 C
1958|12.0|5.0|Physica D: Nonlinear Phenomena|The viscosity of gaseous He, Ne, H 2 and D 2 below 80K
1959|3.0|0.0|Journal of The Franklin Institute-engineering and Applied Mathematics|A class of optimum control systems
1960|4.0|3.0|Solar Energy|Optical characteristics of silicon solar cells and of coatings for temperature control
1961|19.0|1.0|Journal of Mathematical Analysis and Applications|VARIATIONAL METHODS IN PROBLEMS OF CONTROL AND PROGRAMMING
1962|4.0|1.0|Journal of The Franklin Institute-engineering and Applied Mathematics|CONTRIBUTIONS TO THE THEORY OF TIME-OPTIMAL CONTROL
1963|158.0|1.0|Journal of Molecular Biology|Allosteric proteins and cellular control systems
1964|5.0|1.0|Journal of Mathematical Analysis and Applications|A general theory of nonlinear estimation problems in control systems
1965|8.0|2.5|Journal of Differential Equations|Stability in general control systems.
1966|5.0|0.0|Journal of The Franklin Institute-engineering and Applied Mathematics|Stability of control systems with multiple nonlinearities
1967|6.0|1.0|Proceedings of the IEEE|Linear and adaptive delta modulation
1968|11.0|2.0|Proceedings of the IEEE|The oculomotor control system: A review
1969|14.0|1.0|IEEE Transactions on Power Apparatus and Systems|Concepts of Synchronous Machine Stability as Affected by Excitation Control
1970|6.0|1.0|Attention Perception & Psychophysics|Model of visual adaptation and contrast detection
1971|17.0|1.0|IEEE Transactions on Automatic Control|Status of noninteracting control
1972|18.0|1.0|Vision Research|Corrective movements following refixation saccades: Type and control system analysis
1973|23.0|1.0||Production Systems: Models of Control Structures
1974|28.0|1.0|Journal of Geophysical Research|Initial ion composition results from the Isis 2 satellite
1975|16.0|2.0|FEBS Letters|Lipogenesis in maintenance cultures of rat hepatocytes
1976|30.0|1.5|Artificial Intelligence|Viewing control structures as patterns of passing messages
1977|11.0|1.0|IEEE Transactions on Computers|On the Effective Bandwidth of Parallel Memories
1978|66.0|1.0|Psychological Review|Quantitative analysis of purposive systems: Some spadework at the foundations of scientific psychology.
1979|24.0|1.0|international conference on management of data|An optimality theory of concurrency control for databases
1980|32.0|1.0|The Journal of General Physiology|Some Properties of Potassium-stimulated Calcium Influx in Presynaptic Nerve Endings
1981|53.0|2.0|IEEE Transactions on Communications|Local-Area Subnetworks: A Performance Comparison
1982|133.0|1.0|Behavioral and Brain Sciences|Prcis of The neuropsychology of anxiety: An enquiry into the functions of the septo-hippocampal system
1983|74.0|1.0|Cell|A short nucleotide sequence required for regulation of HIS4 by the general control system of yeast
1984|46.0|2.5|Automatica|Singular perturbations and time-scale methods in control theory: Survey 1976-1983
