----  Field Name Cooperative learning: 
----  Field Level 2.0: 
----  Field Papers Number 6401:
----  All time max citation paper: Ant colony system: a cooperative learning approach to the traveling salesman problem, 1997, (2454.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1957|1.0|1.0|Behaviour|Social "Learning" in Domestic Chicks )
1960|1.0|1.0|Psychological Review|SOME IMPLICATIONS OF A SOCIAL LEARNING THEORY FOR THE PREDICTION OF GOAL DIRECTED BEHAVIOR FROM TESTING PROCEDURES1
1964|5.0|5.0|Behaviour Research and Therapy|A social learning therapy programme with an autistic child
1966|1.0|1.0|Behaviour Research and Therapy|Modification of speech output of near-mute schizophrenics through social-learning procedures
1972|5.0|5.0|Developmental Psychology|Sex Typing in Nursery School Children's Play Interests.
1973|12.0|0.0|Behavior Therapy|Placebo versus social learning effects in parent training procedures designed to alter the behavior of aggressive boys
1974|4.0|2.0|Human Ecology|The development of personal space: Proxemic behavior of children 6 through 16
1975|15.0|2.0|Journal of Psycholinguistic Research|Is language acquired through imitation?
1976|14.0|1.0|Journal of Personality|Social learning (locus of control) versus attributional (causal stability) interpretations of expectancy of success1
1977|3.0|0.0|Journal of Communication|Sex and Violence: Can Research Have It Both Ways?
1978|3.0|3.0|Contemporary Educational Psychology|A Social Learning Explanation of Moral Development.
1979|15.0|1.5|American Sociological Review|Social learning and deviant behavior: a specific test of a general theory.
1980|32.0|5.0|Review of Educational Research|Cooperative Learning in Small Groups: Recent Methods and Effects on Achievement, Attitudes, and Ethnic Relations
1981|34.0|1.5|Child Development|Effectiveness of a social learning method for enhancing children's social interaction and peer acceptance.
1982|9.0|1.0|Preventive Medicine|Social learning effects on trial and adoption of cigarette smoking in children: The Bogalusa heart study
1983|24.0|5.0|Psychological Bulletin|When does cooperative learning increase student achievement?
1984|6.0|3.0|Archives of Sexual Behavior|Psychosocial development of heterosexual, bisexual, and homosexual behavior.
1985|16.0|3.0|Journal of Social Issues|Cooperative Learning: Applying Contact Theory in Desegregated Schools
1986|19.0|1.0|Child Development|Cognitive Social Learning Mediators of Aggression.
1987|13.0|2.0|Child Development|Developmental and motivational perspectives on cooperative learning: a reconciliation
1988|9.0|1.0|Science Education|Cognitive preference and learning mode as determinants of meaningful learning through concept mapping
1989|46.0|2.0|Journal of Educational Computing Research|Computer-Supported Intentional Learning Environments.
1990|16.0|2.0|American Educational Research Journal|Enhancing Peer Interaction and Learning in the Classroom through Reciprocal Questioning.
1991|43.0|2.0|Science Education|Constructivist perspectives on science and mathematics learning
1992|41.0|3.0|Animal Behaviour|Ontogeny of pine cone opening behaviour in the black rat, Rattus rattus
1993|54.0|2.0|Educational Researcher|Toward a White Discourse on White Racism
1994|49.0|2.0|Management Information Systems Quarterly|Computer-mediated collaborative learning: an empirical evaluation
1995|51.0|2.0|Psychological Bulletin|Reviewing theories of adolescent substance use: organizing pieces in the puzzle.
1996|34.0|2.0|Contemporary Educational Psychology|Research on Cooperative Learning and Achievement: What We Know, What We Need to Know.
1997|122.0|2.0|IEEE Transactions on Evolutionary Computation|Ant colony system: a cooperative learning approach to the traveling salesman problem
1998|62.0|3.0|Journal of Economic Theory|Why Imitate, and If So, How?: A Boundedly Rational Approach to Multi-armed Bandits
1999|35.0|4.0|Nature|Peacocks lek with relatives even in the absence of social and environmental cues
2000|42.0|4.0|Hippocampus|Long-term memory underlying hippocampus-dependent social recognition in mice.
2001|71.0|5.0|Behavioral and Brain Sciences|Culture in whales and dolphins
2002|98.0|4.0|Proceedings of the National Academy of Sciences of the United States of America|Social intelligence, innovation, and enhanced brain size in primates
2003|142.0|7.0|Journal of Economic Geography|Tacit knowledge and the economic geography of context, or The undefinable tacitness of being (there)
2004|211.0|6.0|IEEE Transactions on Evolutionary Computation|A Cooperative approach to particle swarm optimization
2005|485.0|5.0|Behavioral and Brain Sciences|Understanding and sharing intentions: The origins of cultural cognition
2006|294.0|5.0|Global Environmental Change-human and Policy Dimensions|Resilience: The emergence of a perspective for socialecological systems analyses
2007|118.0|7.0|Educational Psychology|Trends in Peer Learning
2008|192.0|6.0|Nature|Associative learning of social value
2009|338.0|7.0|Journal of Environmental Management|Evolution of co-management: Role of knowledge generation, bridging organizations and social learning
2010|159.0|6.0|Journal of Environmental Management|Integrating local and scientific knowledge for environmental management
